Crew_ID,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-0001,Baggage and Cargo Handling,2023-04-01,59.88,19.78,573.72,9.82,Cloudy,Equipment_D,6,18.38,0,2023-01-01 18:01:00,2
C-0002,Equipment Operation and Maintenance,2023-10-31,16.79,13.9,561.88,6.27,Windy,Equipment_B,9,2.93,1,2023-01-01 06:01:00,4
C-0003,Aircraft and Passenger Operations,2023-06-27,73.27,40.92,483.03,2.57,Rainy,Equipment_A,9,12.93,1,2023-01-01 22:25:00,3
C-0004,Equipment Operation and Maintenance,2023-05-23,29.29,6.72,567.17,9.68,Rainy,Equipment_B,9,18.23,0,2023-01-01 15:46:00,1
C-0005,Aircraft Servicing,2023-12-28,86.47,25.0,545.4,1.1,Rainy,Equipment_C,1,2.73,0,2023-01-01 08:25:00,3
C-0006,Equipment Operation and Maintenance,2023-10-31,53.98,21.39,500.31,8.46,Windy,Equipment_A,8,11.1,1,2023-01-01 17:08:00,1
C-0007,Communication and Coordination,2023-01-02,23.21,22.21,520.89,1.94,Rainy,Equipment_C,6,1.25,0,2023-01-01 16:51:00,3
C-0008,Safety and Maintenance Support,2023-08-24,75.35,28.18,590.05,7.59,Windy,Equipment_C,6,3.26,1,2023-01-01 09:28:00,1
C-0009,Aircraft and Passenger Operations,2023-08-31,38.24,23.36,517.2,6.72,Windy,Equipment_D,3,19.03,0,2023-01-01 21:58:00,2
C-0010,Safety and Maintenance Support,2023-06-13,64.96,54.52,483.67,5.15,Windy,Equipment_B,5,4.61,0,2023-01-01 14:59:00,1
C-0011,Equipment Operation and Maintenance,2023-01-04,90.79,51.23,517.39,2.75,Rainy,Equipment_C,1,7.54,0,2023-01-01 20:35:00,3
C-0012,Aircraft Servicing,2023-09-21,62.29,46.93,578.93,8.43,Windy,Equipment_A,6,18.87,0,2023-01-01 18:24:00,3
C-0013,Aircraft Servicing,2023-02-22,46.34,20.49,588.42,1.73,Rainy,Equipment_A,2,17.19,0,2023-01-01 14:12:00,2
C-0014,Aircraft Servicing,2023-08-09,42.94,35.38,580.53,9.46,Windy,Equipment_A,7,14.02,1,2023-01-01 03:00:00,4
C-0015,Safety and Maintenance Support,2023-06-20,44.22,24.3,486.6,1.17,Sunny,Equipment_A,4,16.91,0,2023-01-01 07:52:00,1
C-0016,Aircraft and Passenger Operations,2023-10-27,65.9,39.82,494.74,6.9,Cloudy,Equipment_D,8,13.82,0,2023-01-01 00:27:00,3
C-0017,Equipment Operation and Maintenance,2023-05-31,72.62,57.0,548.29,3.3,Cloudy,Equipment_D,7,9.86,0,2023-01-01 19:35:00,3
C-0018,Aircraft and Passenger Operations,2023-08-01,81.19,44.26,586.47,7.94,Windy,Equipment_C,7,11.24,1,2023-01-01 02:15:00,1
C-0019,Safety and Maintenance Support,2023-08-12,118.88,14.53,484.42,8.73,Windy,Equipment_A,5,18.17,0,2023-01-01 02:17:00,2
C-0020,Communication and Coordination,2023-12-07,115.27,22.88,584.2,5.51,Rainy,Equipment_B,5,11.73,1,2023-01-01 02:33:00,2
