crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-10-27,10.447902901724012,73,96,99,86,79,97,84,73,80
C-002,2023-05-13,10.219370285908512,84,73,84,79,65,91,97,65,79
C-003,2023-09-04,14.666358159292194,87,79,92,85,66,84,84,72,98
C-004,2023-02-24,3.063776911308392,85,84,73,79,66,87,60,82,64
C-005,2023-01-12,1.3999072297203976,91,96,81,79,88,70,62,60,81
C-006,2023-01-07,11.70599880851035,76,88,74,75,70,83,84,60,77
C-007,2023-01-14,12.54450565881556,98,95,86,95,100,94,76,99,73
C-008,2023-11-29,12.871378620089388,62,75,81,73,80,87,60,73,80
C-009,2023-07-21,11.82658421591341,70,97,82,96,86,69,92,79,67
C-010,2023-10-25,13.503971492941274,68,66,92,72,83,93,68,92,76
C-011,2023-01-19,2.795240251242423,69,69,72,74,68,63,92,70,84
C-012,2023-04-15,13.228848388680214,81,93,95,75,94,91,69,84,66
C-013,2023-01-24,2.0521102197670715,62,96,82,63,66,93,86,85,68
C-014,2023-12-17,1.273764543876113,72,65,76,98,63,87,71,72,88
C-015,2023-06-04,10.753557286892523,79,60,96,72,78,83,100,67,88
C-016,2023-05-19,10.098579522426002,75,93,84,93,80,99,100,94,72
C-017,2023-06-09,9.970944733866963,60,70,68,84,69,77,87,65,98
C-018,2023-03-03,12.763977062137798,79,99,100,93,61,69,71,93,60
C-019,2023-10-14,8.936566515453531,88,82,93,95,98,94,88,74,61
C-020,2023-07-19,5.943869440222814,91,61,87,83,65,61,83,72,96
C-021,2023-07-15,2.5569465096955044,81,67,80,77,86,82,69,91,74
C-022,2023-07-20,8.900208919482864,94,91,93,61,90,62,82,75,64
C-023,2023-01-22,1.413642467315279,71,64,96,70,89,94,90,91,70
C-024,2023-07-25,12.77842671787058,95,99,78,78,61,62,69,61,79
C-025,2023-01-13,5.249553965071246,91,77,93,94,68,98,77,100,87
C-026,2023-06-20,1.3977125813333644,90,85,71,70,97,98,70,96,81
C-027,2023-09-06,14.091696416702343,68,97,75,83,93,81,83,62,74
C-028,2023-05-09,6.20026584820485,68,68,77,91,68,66,73,65,84
C-029,2023-03-02,6.7975875474757395,76,93,96,67,94,79,60,95,90
C-030,2023-07-17,13.147588258828486,64,93,61,71,89,66,69,68,82
C-031,2023-05-14,1.6893541085760304,62,64,66,86,95,78,98,89,66
C-032,2023-06-15,8.045370970365626,65,73,86,80,81,66,88,100,90
C-033,2023-08-31,7.928654915756203,78,87,95,83,60,96,74,98,80
C-034,2023-04-12,4.811663183165272,88,87,60,81,87,88,86,87,80
C-035,2023-03-28,4.026493789769992,98,60,83,81,97,67,98,92,72
C-036,2023-03-09,14.870575463269114,79,97,64,76,87,97,73,77,64
C-037,2023-06-23,1.2239101633887537,68,90,67,72,68,74,97,61,81
C-038,2023-09-15,3.144224847160865,100,78,80,84,82,100,70,74,80
C-039,2023-12-20,9.731549310513312,98,83,78,95,90,98,85,74,88
C-040,2023-12-02,4.691296053449827,97,66,75,79,75,87,98,75,85
C-041,2023-07-24,9.713216539931734,61,96,96,98,69,64,93,98,82
C-042,2023-09-24,14.809534219145142,71,67,65,66,89,85,87,90,95
C-043,2023-08-15,7.721163292087958,80,84,79,72,77,79,63,89,93
C-044,2023-11-18,2.7547442541449714,69,62,64,89,84,94,66,88,82
C-045,2023-10-23,13.430783208512617,72,89,95,63,72,90,89,89,98
C-046,2023-08-19,6.787180807720812,66,98,77,86,65,77,73,63,83
C-047,2023-12-07,4.456251516713779,95,64,61,66,71,96,63,100,63
C-048,2023-08-24,9.707083556851703,96,79,99,74,66,78,75,67,99
C-049,2023-04-23,11.356623445104114,72,98,81,77,76,74,65,62,94
C-050,2023-08-26,1.7308676584586418,61,65,88,78,77,79,80,69,94
C-051,2023-12-27,4.755398855285404,78,69,73,67,100,68,72,78,85
C-052,2023-03-26,14.142478084207855,68,89,62,70,62,64,100,72,98
C-053,2023-09-09,5.304495033775963,100,99,69,92,74,69,78,87,83
C-054,2023-06-21,14.81229189984821,76,60,72,63,66,91,68,65,62
C-055,2023-12-05,9.719517097333073,86,87,70,75,93,90,96,83,86
C-056,2023-09-09,4.742350882312163,80,74,85,63,67,65,89,70,89
C-057,2023-10-28,7.0780647972220585,64,60,93,86,71,92,87,85,95
C-058,2023-03-08,6.404595689831925,92,89,70,96,78,95,100,93,64
C-059,2023-04-21,7.1832097072887,66,99,79,90,80,65,69,86,78
C-060,2023-06-15,14.946223215400723,80,79,96,93,81,81,65,99,60
C-061,2023-07-26,3.9498157646728416,95,92,72,98,74,81,98,97,64
C-062,2023-09-15,0.9596448245488619,99,62,76,65,79,69,88,98,72
C-063,2023-06-07,3.095195406298451,65,61,87,97,85,93,92,86,77
C-064,2023-05-11,6.407988328282229,69,78,64,75,84,72,62,68,94
C-065,2023-02-05,7.998953482935126,64,90,67,89,81,73,98,88,97
C-066,2023-10-27,10.653551723735966,78,88,93,82,84,68,84,74,67
C-067,2023-03-14,14.597559339496405,72,97,91,74,99,96,98,67,75
C-068,2023-08-11,3.611238610413066,98,67,60,92,77,80,96,81,89
C-069,2023-04-23,0.7206416561142952,77,77,100,95,80,84,78,88,69
C-070,2023-04-01,1.663462751599508,73,84,95,87,62,84,82,87,73
C-071,2023-02-24,9.151433946626346,65,80,86,81,62,78,80,88,71
C-072,2023-06-19,9.323744245049367,80,62,84,84,86,68,98,85,72
C-073,2023-02-13,1.8583036081463744,68,92,66,71,61,85,78,77,94
C-074,2023-09-12,11.817990791821765,90,99,77,63,64,81,86,99,85
C-075,2023-07-17,1.7471247768703366,67,66,91,97,90,76,83,94,97
C-076,2023-10-13,1.389715188583041,98,88,89,86,90,91,70,72,100
C-077,2023-03-12,9.660856211359999,62,99,62,98,83,91,87,80,71
C-078,2023-01-18,2.7607737348699,71,61,93,82,100,68,90,91,94
C-079,2023-10-10,9.68667689736929,78,84,70,75,77,75,60,65,83
C-080,2023-05-16,6.4501531346618854,68,94,83,61,85,83,92,60,73
C-081,2023-07-21,11.198669518077596,75,90,63,93,87,99,70,64,99
C-082,2023-03-21,9.48496473703049,70,88,93,83,86,89,76,83,87
C-083,2023-08-14,13.272180067626815,100,69,78,71,89,93,75,61,77
C-084,2023-04-05,8.30406729804091,93,72,93,96,62,94,72,63,60
C-085,2023-03-22,3.690527436637509,68,79,96,62,87,61,67,70,61
C-086,2023-03-04,13.820599406659761,75,72,80,65,96,69,89,97,73
C-087,2023-01-19,12.420381808576456,73,94,98,81,78,63,84,90,68
C-088,2023-04-26,7.883407901954366,73,92,88,64,71,87,70,67,76
C-089,2023-12-21,2.2384055519480475,70,97,84,68,91,90,94,64,61
C-090,2023-09-07,1.3189619916367692,72,72,60,80,65,77,78,64,84
C-091,2023-09-01,13.010183527384175,74,100,83,70,97,89,81,94,90
C-092,2023-06-23,13.270178925435824,98,83,61,93,88,84,82,99,88
C-093,2023-12-09,6.897485019388125,100,95,84,83,89,88,98,96,69
C-094,2023-07-26,3.521133565640245,99,74,78,82,90,85,76,76,88
C-095,2023-03-13,13.37281714837761,90,91,93,91,65,91,78,71,91
C-096,2023-04-04,14.88706347440636,79,81,84,93,91,96,60,69,78
C-097,2023-04-13,14.33162172533464,100,71,98,64,75,80,75,80,69
C-098,2023-03-21,12.344202421423253,69,74,90,66,75,68,98,75,78
C-099,2023-11-10,9.671268187488982,94,98,99,62,69,79,62,100,71
C-100,2023-05-25,6.844440251065155,74,63,91,97,73,100,77,82,91
C-101,2023-09-06,6.634436449147743,64,60,61,100,66,63,67,62,66
C-102,2023-05-09,13.678917832055607,90,98,60,67,81,81,60,78,100
