crew_id,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-001,Baggage and Cargo Handling,2023-11-25,101.28,50.31,585.05,2.63,Sunny,Equipment_B,1,18.94,1,2023-01-01 12:38:00,2
C-002,Baggage and Cargo Handling,2023-05-20,103.39,59.1,519.24,5.26,Rainy,Equipment_B,6,10.75,0,2023-01-01 11:11:00,3
C-003,Safety and Maintenance Support,2023-09-14,17.35,29.26,547.41,2.46,Windy,Equipment_A,5,5.64,0,2023-01-01 05:06:00,2
C-004,Emergency and Contingency Tasks,2023-08-21,55.3,49.92,578.84,5.62,Rainy,Equipment_C,2,4.0,1,2023-01-01 16:46:00,1
C-005,Baggage and Cargo Handling,2023-09-14,22.98,27.88,558.2,6.84,Windy,Equipment_D,2,5.2,1,2023-01-01 00:23:00,3
C-006,Baggage and Cargo Handling,2023-01-19,88.9,37.47,485.33,7.7,Cloudy,Equipment_A,6,15.97,1,2023-01-01 01:36:00,1
C-007,Aircraft and Passenger Operations,2023-08-14,48.06,10.39,570.74,9.33,Rainy,Equipment_A,8,16.36,1,2023-01-01 22:45:00,2
C-008,Aircraft and Passenger Operations,2023-08-21,96.41,42.81,546.55,2.31,Sunny,Equipment_D,3,5.49,0,2023-01-01 07:07:00,2
C-009,Aircraft and Passenger Operations,2023-10-06,60.55,9.75,572.46,6.01,Windy,Equipment_A,1,10.68,1,2023-01-01 08:49:00,2
C-010,Emergency and Contingency Tasks,2023-09-11,66.15,47.17,516.45,2.2,Rainy,Equipment_A,9,18.64,0,2023-01-01 13:21:00,3
C-011,Aircraft and Passenger Operations,2023-08-20,101.66,35.32,501.47,2.77,Rainy,Equipment_B,9,19.76,0,2023-01-01 05:48:00,2
C-012,Aircraft and Passenger Operations,2023-11-10,107.07,43.01,569.59,4.82,Windy,Equipment_B,3,5.04,0,2023-01-01 13:26:00,3
C-013,Emergency and Contingency Tasks,2023-05-12,17.13,12.88,501.47,1.56,Windy,Equipment_B,4,8.07,0,2023-01-01 06:17:00,1
C-014,Emergency and Contingency Tasks,2023-04-22,83.09,18.28,585.95,4.63,Cloudy,Equipment_B,9,6.92,0,2023-01-01 19:25:00,1
C-015,Aircraft Servicing,2023-09-18,16.02,29.6,545.22,6.13,Cloudy,Equipment_D,5,6.67,1,2023-01-01 08:44:00,1
C-016,Baggage and Cargo Handling,2023-10-28,81.06,20.13,574.69,7.83,Sunny,Equipment_A,4,8.84,1,2023-01-01 14:19:00,1
C-017,Baggage and Cargo Handling,2023-11-22,95.29,35.41,526.04,3.2,Cloudy,Equipment_D,8,7.81,0,2023-01-01 22:28:00,1
C-018,Baggage and Cargo Handling,2023-10-10,86.66,57.12,498.62,2.23,Cloudy,Equipment_B,4,1.12,1,2023-01-01 02:54:00,4
C-019,Aircraft and Passenger Operations,2023-03-07,115.17,20.64,580.51,3.84,Rainy,Equipment_B,9,7.89,1,2023-01-01 09:02:00,3
C-020,Safety and Maintenance Support,2023-10-05,46.05,48.9,578.98,9.28,Cloudy,Equipment_A,5,14.18,0,2023-01-01 12:28:00,4
C-021,Communication and Coordination,2023-11-18,117.95,11.85,567.24,1.88,Windy,Equipment_B,1,10.51,0,2023-01-01 16:26:00,1
C-022,Equipment Operation and Maintenance,2023-10-03,15.56,43.39,528.57,9.11,Windy,Equipment_D,1,4.51,1,2023-01-01 07:42:00,1
C-023,Communication and Coordination,2023-09-13,101.65,8.05,499.52,3.78,Windy,Equipment_C,2,19.87,1,2023-01-01 01:58:00,3
C-024,Equipment Operation and Maintenance,2023-08-22,65.16,57.78,597.28,4.74,Sunny,Equipment_A,3,6.73,0,2023-01-01 21:28:00,3
C-025,Equipment Operation and Maintenance,2023-12-14,59.73,34.42,558.14,2.32,Windy,Equipment_A,3,10.59,1,2023-01-01 09:36:00,1
C-026,Baggage and Cargo Handling,2023-09-10,22.52,25.96,507.33,5.6,Cloudy,Equipment_B,7,13.9,1,2023-01-01 19:50:00,2
C-027,Baggage and Cargo Handling,2023-04-30,42.66,33.02,549.49,9.07,Cloudy,Equipment_C,9,11.28,0,2023-01-01 13:32:00,3
C-028,Aircraft and Passenger Operations,2023-12-20,93.8,59.01,480.71,6.74,Windy,Equipment_B,2,1.38,1,2023-01-01 06:03:00,2
C-029,Aircraft and Passenger Operations,2023-01-08,61.76,8.19,576.32,9.7,Sunny,Equipment_C,8,8.71,1,2023-01-01 06:02:00,4
C-030,Emergency and Contingency Tasks,2023-10-25,79.77,49.6,562.58,1.84,Cloudy,Equipment_D,3,14.81,0,2023-01-01 08:21:00,4
C-031,Safety and Maintenance Support,2023-10-11,46.73,56.12,578.93,1.49,Windy,Equipment_A,4,1.07,1,2023-01-01 04:33:00,2
C-032,Baggage and Cargo Handling,2023-04-22,82.53,22.06,517.97,6.34,Rainy,Equipment_D,9,10.86,0,2023-01-01 13:23:00,3
C-033,Equipment Operation and Maintenance,2023-10-15,76.01,46.68,494.51,9.14,Cloudy,Equipment_B,3,8.81,0,2023-01-01 06:40:00,1
C-034,Communication and Coordination,2023-05-07,84.67,48.82,531.39,8.59,Cloudy,Equipment_D,1,15.89,0,2023-01-01 15:02:00,2
C-035,Communication and Coordination,2023-07-13,51.98,43.35,514.68,6.3,Windy,Equipment_D,9,14.67,1,2023-01-01 18:52:00,3
C-036,Aircraft Servicing,2023-10-09,69.69,56.2,532.2,6.27,Rainy,Equipment_A,6,8.35,1,2023-01-01 22:27:00,3
C-037,Equipment Operation and Maintenance,2023-06-21,80.53,11.9,486.86,3.68,Rainy,Equipment_B,4,5.22,1,2023-01-01 13:02:00,3
C-038,Emergency and Contingency Tasks,2023-01-17,119.19,11.14,495.46,8.48,Sunny,Equipment_A,1,7.36,0,2023-01-01 17:38:00,4
C-039,Safety and Maintenance Support,2023-02-07,76.88,12.15,570.01,1.34,Rainy,Equipment_C,9,6.81,0,2023-01-01 15:12:00,3
C-040,Communication and Coordination,2023-10-28,30.6,14.41,564.34,5.41,Rainy,Equipment_B,8,10.84,1,2023-01-01 20:40:00,3
C-041,Emergency and Contingency Tasks,2023-02-11,66.7,38.14,532.95,7.49,Rainy,Equipment_A,2,12.52,1,2023-01-01 11:54:00,2
C-042,Safety and Maintenance Support,2023-01-29,71.86,14.25,547.01,2.29,Sunny,Equipment_C,5,17.18,1,2023-01-01 07:23:00,3
C-043,Baggage and Cargo Handling,2023-05-05,87.89,58.51,515.07,1.7,Cloudy,Equipment_C,3,9.82,1,2023-01-01 18:11:00,4
C-044,Aircraft and Passenger Operations,2023-04-30,65.34,41.45,528.32,3.2,Cloudy,Equipment_B,2,8.51,1,2023-01-01 09:28:00,1
C-045,Equipment Operation and Maintenance,2023-10-02,61.15,10.93,493.0,8.41,Windy,Equipment_D,8,1.1,1,2023-01-01 20:23:00,4
C-046,Emergency and Contingency Tasks,2023-05-21,107.93,51.99,578.65,3.83,Windy,Equipment_D,6,3.23,1,2023-01-01 07:58:00,3
C-047,Safety and Maintenance Support,2023-06-16,69.49,59.66,503.65,7.82,Sunny,Equipment_B,3,9.98,1,2023-01-01 04:25:00,3
C-048,Safety and Maintenance Support,2023-10-21,79.17,30.82,500.27,8.04,Sunny,Equipment_B,9,10.98,1,2023-01-01 05:24:00,1
C-049,Safety and Maintenance Support,2023-08-20,96.48,32.97,554.73,8.41,Sunny,Equipment_C,5,4.32,0,2023-01-01 19:46:00,2
C-050,Baggage and Cargo Handling,2023-01-02,114.35,58.17,554.33,8.85,Rainy,Equipment_D,2,17.12,0,2023-01-01 23:47:00,4
C-051,Aircraft Servicing,2023-01-02,76.18,19.66,573.5,8.42,Cloudy,Equipment_B,9,1.65,0,2023-01-01 23:51:00,2
C-052,Communication and Coordination,2023-08-15,24.2,18.16,498.45,4.73,Windy,Equipment_D,5,7.15,0,2023-01-01 20:31:00,4
C-053,Baggage and Cargo Handling,2023-12-07,55.54,15.75,517.67,8.53,Rainy,Equipment_C,2,7.41,1,2023-01-01 20:58:00,1
C-054,Emergency and Contingency Tasks,2023-12-30,38.73,12.19,576.91,6.3,Rainy,Equipment_A,9,15.04,1,2023-01-01 08:43:00,4
C-055,Safety and Maintenance Support,2023-11-04,93.46,5.84,543.99,6.65,Sunny,Equipment_D,7,11.81,1,2023-01-01 07:16:00,4
C-056,Aircraft Servicing,2023-12-14,50.27,30.28,579.94,3.93,Rainy,Equipment_C,6,5.22,1,2023-01-01 06:15:00,4
C-057,Aircraft and Passenger Operations,2023-12-03,105.49,42.37,568.29,8.7,Sunny,Equipment_B,2,9.88,0,2023-01-01 02:11:00,1
