crew_id,date,task_completion_rate,quality_score,feedback_text
C-001,2023-03-11,82.48451894660349,78,Demonstrates excellent leadership qualities
C-001,2023-12-10,87.11112378068137,100,Shows strong initiative in problem-solving
C-001,2023-11-16,79.18705247726545,81,Shows strong initiative in problem-solving
C-001,2023-03-17,84.9390619547601,99,Shows strong initiative in problem-solving
C-001,2024-03-06,91.3320231894881,71,Shows strong initiative in problem-solving
C-001,2023-03-21,80.88901365504638,78,Demonstrates excellent leadership qualities
C-001,2024-03-02,75.89662342926381,94,Consistently follows safety procedures
C-002,2024-02-26,88.38991710242021,88,Shows strong initiative in problem-solving
C-002,2023-11-22,97.31855663208991,77,Shows strong initiative in problem-solving
C-002,2023-07-17,76.39207774588552,73,Needs additional support with technical tasks
C-002,2023-08-24,82.73104831543394,93,Could improve communication with team members
C-002,2023-01-28,79.35186408962534,98,Shows strong initiative in problem-solving
C-002,2024-01-24,84.27784369173612,81,Consistently follows safety procedures
C-002,2024-01-13,84.6139488440057,90,Could improve communication with team members
C-002,2023-03-13,93.42334544516164,94,Could improve communication with team members
C-003,2023-07-02,88.12726402803008,92,Shows strong initiative in problem-solving
C-003,2023-08-24,89.33589359800747,91,Shows strong initiative in problem-solving
C-003,2023-10-31,88.71679932222732,98,Shows strong initiative in problem-solving
C-003,2023-09-30,88.90543373588824,91,Consistently follows safety procedures
C-003,2023-10-22,79.20157496227168,75,Consistently follows safety procedures
C-004,2023-02-02,94.20203557906035,91,Consistently follows safety procedures
C-004,2023-08-01,85.25698649204035,96,Could improve communication with team members
C-004,2023-03-14,99.8979458734192,88,Required more training on equipment operation
C-004,2023-07-02,79.59982884081609,77,Could improve communication with team members
C-004,2023-01-22,75.92440677208965,93,Could improve communication with team members
C-004,2023-01-24,76.53354676075823,72,Required more training on equipment operation
C-004,2023-05-28,85.65508595066653,78,Consistently follows safety procedures
C-004,2023-07-12,96.82026812777153,94,Consistently follows safety procedures
C-004,2024-03-08,76.49557061868784,85,Needs additional support with technical tasks
C-004,2024-02-02,91.95260452280199,87,Consistently follows safety procedures
C-005,2024-01-13,81.15226682054478,100,Demonstrates excellent leadership qualities
C-005,2023-12-14,82.39607561504569,94,Needs additional support with technical tasks
C-005,2023-10-08,76.85095098917242,84,Consistently follows safety procedures
C-005,2023-07-05,84.72967232643363,88,Required more training on equipment operation
C-005,2023-10-12,81.21243149309285,72,Consistently follows safety procedures
C-005,2023-11-13,85.96887799469931,91,Required more training on equipment operation
C-005,2023-02-06,76.73291968504279,84,Needs additional support with technical tasks
C-006,2023-01-05,77.18300095217155,74,Shows strong initiative in problem-solving
C-006,2023-09-10,99.02239809605643,78,Consistently follows safety procedures
C-006,2023-03-18,86.83292196396071,78,Could improve communication with team members
C-006,2023-05-03,87.4456868668437,86,Required more training on equipment operation
C-006,2023-07-22,93.73158913817657,82,Demonstrates excellent leadership qualities
C-006,2024-01-12,93.00770049342317,81,Required more training on equipment operation
C-006,2023-09-04,75.16051738667258,97,Required more training on equipment operation
C-006,2024-01-27,81.47222319545209,88,Shows strong initiative in problem-solving
C-006,2023-01-23,85.25674295109721,86,Shows strong initiative in problem-solving
C-007,2023-10-29,89.35157808934211,70,Demonstrates excellent leadership qualities
C-007,2023-11-10,97.74753219100502,83,Could improve communication with team members
C-007,2023-12-01,81.81890628162004,95,Consistently follows safety procedures
C-007,2024-02-07,94.71903238480517,86,Needs additional support with technical tasks
C-007,2024-02-23,82.11395298356796,96,Required more training on equipment operation
C-007,2024-01-15,91.4939660353156,91,Needs additional support with technical tasks
C-008,2024-02-13,88.86122932058777,89,Needs additional support with technical tasks
C-008,2023-09-23,89.76672815657281,73,Needs additional support with technical tasks
C-008,2023-02-01,81.59021203869204,75,Shows strong initiative in problem-solving
C-008,2023-05-01,83.6289445772749,100,Demonstrates excellent leadership qualities
C-008,2023-07-13,77.59818710587437,80,Required more training on equipment operation
C-008,2023-11-05,88.04091632850397,82,Required more training on equipment operation
