crew_id,training_module,completion_date,score,feedback
C-001,Equipment Handling,2023-07-20,77,Strong theoretical knowledge but requires practice
C-001,Leadership Development,2023-08-20,89,Outstanding performance and engagement
C-001,Basic Safety Training,2023-09-27,85,Outstanding performance and engagement
C-001,Leadership Development,2023-08-08,86,Excellent understanding of concepts
C-001,Leadership Development,2024-01-30,79,Good progress but needs more confidence
C-002,Advanced Technical Operations,2023-10-27,94,Needs improvement in practical application
C-002,Emergency Response Protocol,2023-11-11,76,Needs improvement in practical application
C-002,Communication Workshop,2024-01-21,86,Good progress but needs more confidence
C-003,Risk Assessment,2023-03-07,86,Strong theoretical knowledge but requires practice
C-003,Team Building,2024-03-06,79,Needs improvement in practical application
C-003,Risk Assessment,2024-02-07,81,Outstanding performance and engagement
C-004,Quality Management Systems,2023-11-04,96,Needs improvement in practical application
C-004,Advanced Technical Operations,2024-02-02,95,Outstanding performance and engagement
C-004,Basic Safety Training,2023-07-20,72,Outstanding performance and engagement
C-005,Emergency Response Protocol,2023-03-29,82,Needs improvement in practical application
C-005,Emergency Response Protocol,2023-04-05,80,Excellent understanding of concepts
C-005,Basic Safety Training,2023-01-16,81,Outstanding performance and engagement
C-005,Team Building,2023-04-30,91,Demonstrates great potential for advancement
C-006,Risk Assessment,2023-07-03,93,Demonstrates great potential for advancement
C-006,Leadership Development,2024-02-21,96,Excellent understanding of concepts
C-006,Equipment Handling,2023-11-27,76,Outstanding performance and engagement
C-006,Equipment Handling,2023-08-18,82,Needs improvement in practical application
C-006,Team Building,2024-03-19,72,Demonstrates great potential for advancement
C-006,Team Building,2023-08-27,99,Excellent understanding of concepts
C-006,Leadership Development,2023-06-13,72,Demonstrates great potential for advancement
C-007,Basic Safety Training,2023-01-01,86,Needs improvement in practical application
C-007,Communication Workshop,2023-03-21,87,Strong theoretical knowledge but requires practice
C-007,Leadership Development,2023-02-05,96,Excellent understanding of concepts
C-007,Basic Safety Training,2024-01-05,82,Good progress but needs more confidence
C-007,Team Building,2023-01-30,95,Outstanding performance and engagement
C-007,Leadership Development,2023-03-09,82,Excellent understanding of concepts
C-007,Basic Safety Training,2023-11-09,75,Outstanding performance and engagement
C-008,Communication Workshop,2023-09-20,81,Good progress but needs more confidence
C-008,Quality Management Systems,2023-04-22,84,Needs improvement in practical application
C-009,Emergency Response Protocol,2023-01-21,91,Demonstrates great potential for advancement
C-009,Quality Management Systems,2023-02-10,94,Excellent understanding of concepts
C-009,Advanced Technical Operations,2024-02-16,79,Needs improvement in practical application
C-009,Equipment Handling,2023-04-18,72,Strong theoretical knowledge but requires practice
C-010,Risk Assessment,2023-03-14,84,Needs improvement in practical application
C-010,Risk Assessment,2023-01-04,83,Excellent understanding of concepts
C-010,Team Building,2023-07-03,87,Good progress but needs more confidence
C-010,Advanced Technical Operations,2023-08-08,82,Good progress but needs more confidence
C-011,Communication Workshop,2023-04-13,80,Needs improvement in practical application
C-011,Advanced Technical Operations,2023-11-16,90,Needs improvement in practical application
C-011,Emergency Response Protocol,2023-09-07,88,Excellent understanding of concepts
C-011,Emergency Response Protocol,2023-07-25,77,Strong theoretical knowledge but requires practice
C-012,Team Building,2024-03-24,82,Outstanding performance and engagement
C-012,Communication Workshop,2024-03-01,97,Excellent understanding of concepts
C-012,Team Building,2024-01-09,93,Needs improvement in practical application
C-012,Equipment Handling,2023-11-20,100,Good progress but needs more confidence
C-012,Basic Safety Training,2023-07-18,74,Outstanding performance and engagement
C-013,Leadership Development,2023-04-05,79,Demonstrates great potential for advancement
C-013,Emergency Response Protocol,2023-04-24,73,Needs improvement in practical application
C-013,Equipment Handling,2023-07-30,81,Strong theoretical knowledge but requires practice
C-013,Quality Management Systems,2023-05-31,86,Good progress but needs more confidence
C-014,Basic Safety Training,2023-06-13,81,Excellent understanding of concepts
C-014,Basic Safety Training,2024-03-18,76,Needs improvement in practical application
