crew_id,date,task_completion_rate,quality_score,feedback_text
C-001,2024-02-11,97.27249525901556,74,Demonstrates excellent leadership qualities
C-001,2023-06-21,92.57369425084957,71,Required more training on equipment operation
C-001,2023-10-11,97.67061208389704,84,Could improve communication with team members
C-001,2023-09-24,83.90006814615505,76,Needs additional support with technical tasks
C-001,2023-10-10,99.92709176211945,97,Demonstrates excellent leadership qualities
C-001,2023-04-24,94.28938079947612,91,Needs additional support with technical tasks
C-001,2023-11-25,84.0732881136551,81,Could improve communication with team members
C-001,2024-01-24,97.41895412327182,76,Could improve communication with team members
C-001,2024-03-13,78.04642849536751,73,Shows strong initiative in problem-solving
C-002,2023-06-24,76.88571021280137,88,Needs additional support with technical tasks
C-002,2023-04-11,98.12884049845836,83,Shows strong initiative in problem-solving
C-002,2024-03-26,76.78106467044762,72,Shows strong initiative in problem-solving
C-002,2023-10-05,93.44600516464817,72,Could improve communication with team members
C-002,2023-01-09,82.4746721360653,99,Needs additional support with technical tasks
C-002,2023-07-17,89.18347698984829,92,Required more training on equipment operation
C-002,2024-02-15,78.6896002713696,70,Required more training on equipment operation
C-002,2023-06-10,82.13365987000012,82,Shows strong initiative in problem-solving
C-002,2023-09-24,80.25746083010836,91,Consistently follows safety procedures
C-003,2023-07-20,96.60235963859219,74,Demonstrates excellent leadership qualities
C-003,2023-12-14,85.03494635403959,70,Required more training on equipment operation
C-003,2023-11-03,85.68046850101867,97,Could improve communication with team members
C-003,2023-04-22,92.79830477422333,77,Required more training on equipment operation
C-003,2024-02-07,88.72269477345253,86,Shows strong initiative in problem-solving
C-003,2024-02-09,80.66335121858992,91,Consistently follows safety procedures
C-004,2023-07-16,95.89693928412876,87,Could improve communication with team members
C-004,2023-02-23,88.86876908729795,86,Shows strong initiative in problem-solving
C-004,2023-03-03,93.95243689386712,97,Required more training on equipment operation
C-004,2023-08-17,88.87333561069518,74,Demonstrates excellent leadership qualities
C-004,2023-06-09,84.81720372002135,81,Demonstrates excellent leadership qualities
C-004,2023-06-07,93.31101943157516,79,Needs additional support with technical tasks
C-004,2023-08-20,86.59851395217581,93,Needs additional support with technical tasks
C-004,2023-12-03,81.80954053325226,90,Required more training on equipment operation
C-005,2023-08-19,99.69684226905667,100,Needs additional support with technical tasks
C-005,2023-01-21,75.24161117031443,73,Consistently follows safety procedures
C-005,2023-02-26,78.06050433150433,79,Demonstrates excellent leadership qualities
