crew_id,training_module,completion_date,score,feedback
C-001,Equipment Handling,2023-08-06,80,Good progress but needs more confidence
C-001,Basic Safety Training,2023-12-18,71,Needs improvement in practical application
C-001,Equipment Handling,2024-01-18,86,Strong theoretical knowledge but requires practice
C-001,Advanced Technical Operations,2023-02-21,78,Excellent understanding of concepts
C-002,Leadership Development,2023-01-23,77,Excellent understanding of concepts
C-002,Advanced Technical Operations,2023-10-17,80,Excellent understanding of concepts
C-002,Advanced Technical Operations,2024-02-26,85,Outstanding performance and engagement
C-003,Basic Safety Training,2023-02-14,88,Excellent understanding of concepts
C-003,Quality Management Systems,2023-08-25,91,Excellent understanding of concepts
C-003,Equipment Handling,2023-04-24,90,Strong theoretical knowledge but requires practice
C-003,Team Building,2023-09-07,84,Needs improvement in practical application
C-003,Leadership Development,2023-09-20,70,Good progress but needs more confidence
C-003,Team Building,2023-03-12,80,Strong theoretical knowledge but requires practice
C-004,Advanced Technical Operations,2023-02-17,85,Good progress but needs more confidence
C-004,Team Building,2023-07-18,91,Good progress but needs more confidence
C-004,Risk Assessment,2023-03-09,94,Excellent understanding of concepts
C-004,Emergency Response Protocol,2023-08-14,95,Needs improvement in practical application
C-004,Equipment Handling,2023-01-12,93,Demonstrates great potential for advancement
C-005,Basic Safety Training,2023-07-19,76,Good progress but needs more confidence
C-005,Communication Workshop,2023-06-20,89,Excellent understanding of concepts
C-006,Team Building,2023-10-15,77,Needs improvement in practical application
C-006,Risk Assessment,2023-12-05,77,Needs improvement in practical application
C-007,Emergency Response Protocol,2023-01-05,75,Excellent understanding of concepts
C-007,Advanced Technical Operations,2023-09-13,99,Good progress but needs more confidence
C-007,Basic Safety Training,2023-03-02,89,Outstanding performance and engagement
C-007,Communication Workshop,2023-01-20,82,Demonstrates great potential for advancement
C-008,Quality Management Systems,2024-03-01,80,Strong theoretical knowledge but requires practice
C-008,Team Building,2023-10-30,85,Needs improvement in practical application
C-009,Basic Safety Training,2023-05-03,96,Demonstrates great potential for advancement
C-009,Equipment Handling,2023-06-04,79,Demonstrates great potential for advancement
C-009,Risk Assessment,2023-04-07,79,Strong theoretical knowledge but requires practice
C-010,Risk Assessment,2023-10-17,86,Demonstrates great potential for advancement
C-010,Communication Workshop,2023-01-03,91,Needs improvement in practical application
C-010,Basic Safety Training,2024-01-11,70,Needs improvement in practical application
C-010,Advanced Technical Operations,2023-07-30,99,Strong theoretical knowledge but requires practice
C-010,Team Building,2023-04-20,91,Excellent understanding of concepts
C-010,Basic Safety Training,2023-01-17,99,Good progress but needs more confidence
C-011,Communication Workshop,2023-05-15,89,Needs improvement in practical application
C-011,Communication Workshop,2023-04-27,78,Good progress but needs more confidence
C-011,Emergency Response Protocol,2024-01-28,92,Demonstrates great potential for advancement
C-011,Quality Management Systems,2023-01-19,95,Strong theoretical knowledge but requires practice
C-011,Basic Safety Training,2023-01-27,84,Strong theoretical knowledge but requires practice
C-011,Communication Workshop,2023-07-04,95,Excellent understanding of concepts
C-011,Quality Management Systems,2023-10-28,88,Good progress but needs more confidence
C-012,Advanced Technical Operations,2024-01-13,77,Demonstrates great potential for advancement
C-012,Basic Safety Training,2023-11-27,84,Good progress but needs more confidence
C-012,Basic Safety Training,2023-11-19,81,Demonstrates great potential for advancement
C-013,Basic Safety Training,2023-09-08,97,Good progress but needs more confidence
C-013,Equipment Handling,2023-03-28,98,Good progress but needs more confidence
C-013,Advanced Technical Operations,2024-03-15,72,Demonstrates great potential for advancement
C-013,Quality Management Systems,2023-02-24,91,Strong theoretical knowledge but requires practice
C-013,Equipment Handling,2023-02-11,78,Good progress but needs more confidence
C-013,Advanced Technical Operations,2024-03-05,93,Strong theoretical knowledge but requires practice
C-013,Communication Workshop,2023-07-03,85,Outstanding performance and engagement
C-014,Team Building,2023-02-02,83,Excellent understanding of concepts
C-014,Emergency Response Protocol,2023-09-28,72,Demonstrates great potential for advancement
C-014,Team Building,2023-09-05,95,Strong theoretical knowledge but requires practice
C-014,Risk Assessment,2023-09-07,83,Excellent understanding of concepts
C-014,Leadership Development,2023-04-02,70,Needs improvement in practical application
C-014,Risk Assessment,2023-12-26,89,Strong theoretical knowledge but requires practice
C-015,Quality Management Systems,2024-02-08,77,Good progress but needs more confidence
C-015,Emergency Response Protocol,2024-02-16,89,Excellent understanding of concepts
C-015,Team Building,2024-02-24,91,Demonstrates great potential for advancement
C-015,Emergency Response Protocol,2024-01-15,76,Needs improvement in practical application
C-015,Communication Workshop,2023-09-12,91,Outstanding performance and engagement
C-016,Communication Workshop,2024-01-10,77,Excellent understanding of concepts
C-016,Basic Safety Training,2023-12-13,76,Excellent understanding of concepts
C-016,Team Building,2023-03-21,97,Demonstrates great potential for advancement
C-016,Emergency Response Protocol,2023-03-18,94,Outstanding performance and engagement
C-016,Team Building,2024-03-04,71,Outstanding performance and engagement
C-016,Communication Workshop,2023-07-04,82,Excellent understanding of concepts
C-016,Quality Management Systems,2023-10-15,93,Strong theoretical knowledge but requires practice
C-017,Basic Safety Training,2024-03-02,90,Needs improvement in practical application
C-017,Team Building,2023-10-28,75,Strong theoretical knowledge but requires practice
C-017,Quality Management Systems,2023-09-03,98,Outstanding performance and engagement
C-018,Leadership Development,2023-12-07,83,Good progress but needs more confidence
C-018,Quality Management Systems,2023-12-25,82,Excellent understanding of concepts
C-018,Communication Workshop,2023-06-22,81,Demonstrates great potential for advancement
C-018,Communication Workshop,2023-08-22,94,Good progress but needs more confidence
C-018,Emergency Response Protocol,2023-08-08,71,Outstanding performance and engagement
C-018,Leadership Development,2023-08-19,100,Needs improvement in practical application
C-018,Equipment Handling,2024-02-18,79,Excellent understanding of concepts
C-018,Communication Workshop,2023-12-29,74,Good progress but needs more confidence
C-019,Advanced Technical Operations,2023-04-04,71,Demonstrates great potential for advancement
C-019,Team Building,2024-03-11,73,Good progress but needs more confidence
C-019,Quality Management Systems,2023-08-15,95,Strong theoretical knowledge but requires practice
C-019,Leadership Development,2024-01-19,75,Good progress but needs more confidence
C-019,Risk Assessment,2023-12-04,86,Good progress but needs more confidence
C-019,Basic Safety Training,2023-11-16,75,Good progress but needs more confidence
C-019,Team Building,2023-08-17,100,Strong theoretical knowledge but requires practice
C-019,Basic Safety Training,2023-01-09,74,Excellent understanding of concepts
C-020,Advanced Technical Operations,2023-12-08,96,Outstanding performance and engagement
C-020,Communication Workshop,2023-12-18,90,Outstanding performance and engagement
C-020,Communication Workshop,2023-03-22,86,Excellent understanding of concepts
C-020,Risk Assessment,2024-01-25,95,Excellent understanding of concepts
C-020,Communication Workshop,2023-12-21,86,Needs improvement in practical application
C-020,Communication Workshop,2024-01-17,84,Good progress but needs more confidence
C-020,Equipment Handling,2023-09-12,83,Needs improvement in practical application
C-020,Emergency Response Protocol,2023-11-14,94,Excellent understanding of concepts
C-021,Leadership Development,2023-12-17,80,Strong theoretical knowledge but requires practice
C-021,Team Building,2023-11-01,96,Strong theoretical knowledge but requires practice
C-021,Risk Assessment,2023-01-04,90,Excellent understanding of concepts
C-021,Advanced Technical Operations,2023-07-25,71,Excellent understanding of concepts
C-021,Emergency Response Protocol,2023-05-04,87,Good progress but needs more confidence
C-021,Team Building,2023-03-11,83,Needs improvement in practical application
C-022,Team Building,2023-08-17,84,Excellent understanding of concepts
C-022,Leadership Development,2023-07-20,88,Needs improvement in practical application
C-022,Communication Workshop,2023-04-11,77,Needs improvement in practical application
C-022,Communication Workshop,2024-01-18,81,Excellent understanding of concepts
C-022,Risk Assessment,2023-05-19,90,Good progress but needs more confidence
C-022,Communication Workshop,2024-01-19,83,Needs improvement in practical application
C-022,Leadership Development,2023-08-09,98,Outstanding performance and engagement
C-023,Team Building,2023-11-01,71,Strong theoretical knowledge but requires practice
C-023,Quality Management Systems,2023-10-16,88,Needs improvement in practical application
C-023,Risk Assessment,2023-01-21,98,Outstanding performance and engagement
C-023,Risk Assessment,2023-05-11,73,Excellent understanding of concepts
C-023,Communication Workshop,2024-01-10,100,Strong theoretical knowledge but requires practice
C-023,Leadership Development,2023-07-17,75,Good progress but needs more confidence
C-023,Communication Workshop,2023-10-02,83,Good progress but needs more confidence
C-023,Equipment Handling,2023-11-24,81,Demonstrates great potential for advancement
