crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-12-24,13.477050073863854,72,74,99,98,92,76,81,74,66
C-002,2023-07-03,11.087540922973695,64,92,83,69,77,89,78,71,60
C-003,2023-07-19,9.385784783128761,65,91,82,80,97,63,92,96,98
C-004,2023-05-08,13.963410958353617,88,71,79,60,81,62,61,74,93
C-005,2023-04-08,8.951924689885123,92,66,88,65,68,75,83,78,85
C-006,2023-11-01,8.373000185427664,77,83,91,81,73,62,72,88,91
C-007,2023-09-15,14.11513212397669,60,94,93,91,78,96,83,71,85
C-008,2023-01-05,10.118361024374906,97,62,85,62,83,61,99,68,81
C-009,2023-01-02,8.410198501319783,69,70,77,87,72,62,64,61,91
C-010,2023-11-28,14.35886989851294,83,74,97,92,97,89,93,80,92
C-011,2023-09-08,11.060479216403705,85,62,81,100,100,87,67,87,74
C-012,2023-07-01,0.5253270767559592,65,84,95,99,64,87,82,81,80
C-013,2023-09-05,3.6467476943852235,92,65,68,73,74,91,69,84,73
C-014,2023-12-15,6.980372842387351,62,87,63,73,78,96,74,81,97
C-015,2023-02-12,9.563374138111762,99,60,94,82,96,64,63,70,93
C-016,2023-10-15,12.286286578013849,61,81,75,89,70,77,71,63,90
C-017,2023-11-09,6.639378923655215,96,81,86,77,85,93,76,62,92
C-018,2023-04-18,3.6610486521411194,78,82,98,60,82,74,94,68,92
C-019,2023-05-04,14.245566364945365,93,80,75,74,90,70,98,90,79
C-020,2023-08-12,9.17515438042499,99,99,77,97,97,96,78,94,100
C-021,2023-05-13,14.207668073629753,76,89,84,85,79,83,100,63,82
C-022,2023-05-17,6.392743642860287,95,63,67,99,86,67,96,84,61
C-023,2023-01-14,5.023833527661131,95,60,93,88,63,72,82,97,68
C-024,2023-08-15,14.629318730440945,68,92,97,84,96,74,79,92,64
C-025,2023-05-19,0.8742965182082596,76,85,70,97,70,77,81,91,69
C-026,2023-08-18,8.760472229809402,82,82,75,75,62,92,84,75,83
C-027,2023-03-16,12.816859637222603,70,98,65,74,79,92,96,66,71
C-028,2023-01-30,10.954488003782934,87,97,79,80,79,96,81,91,68
C-029,2023-04-01,8.949001306134427,74,67,98,71,92,96,87,97,87
C-030,2023-08-27,11.265444060925946,67,89,84,100,98,90,62,78,66
C-031,2023-11-22,6.190274031707296,93,63,80,61,95,98,77,80,96
C-032,2023-04-03,5.1716380817288226,84,98,95,62,64,89,68,100,98
C-033,2023-01-08,13.146587007682891,92,91,66,71,94,62,86,88,63
C-034,2023-12-09,12.923709043707822,99,91,66,75,98,89,83,76,87
C-035,2023-09-07,7.327011650523197,92,62,70,74,90,94,87,70,63
C-036,2023-09-23,0.7065722345760286,79,77,88,73,80,94,96,61,80
C-037,2023-09-05,11.222102947050463,93,98,80,70,62,95,75,95,97
C-038,2023-12-31,2.258771916463967,89,91,66,63,60,87,66,68,67
C-039,2023-06-04,13.134265344284216,90,77,97,72,98,90,89,92,65
C-040,2023-09-17,11.31958928985443,78,81,91,77,100,72,91,75,69
C-041,2023-03-01,12.376248144132076,86,95,83,87,96,97,76,83,65
C-042,2023-09-18,5.466233558075953,89,64,65,64,60,88,88,96,96
C-043,2023-03-29,13.089507800916214,99,82,68,74,95,60,60,72,98
C-044,2023-08-18,2.6160113508561134,63,60,89,97,79,80,66,71,92
C-045,2023-12-28,6.376195453031932,80,92,70,72,82,88,91,76,89
C-046,2023-01-12,6.350192405904289,79,90,60,91,69,72,93,69,64
C-047,2023-03-12,13.84948897368735,76,75,81,62,99,88,77,96,69
C-048,2023-06-17,13.92999391888377,82,100,72,74,100,67,68,72,69
C-049,2023-01-25,11.952427223460772,99,66,94,65,74,100,67,61,97
C-050,2023-11-02,13.321279116948832,83,67,99,76,92,79,70,60,72
C-051,2023-10-14,9.616987600304006,100,64,67,71,73,92,89,96,91
C-052,2023-06-21,6.1922211739671225,64,84,60,74,64,73,68,64,77
C-053,2023-05-15,3.7400226520841895,63,67,75,76,64,93,64,65,98
C-054,2023-03-11,6.773199715672432,78,68,66,76,81,64,77,74,81
C-055,2023-02-09,4.4659963681899555,64,69,67,64,66,77,66,81,96
C-056,2023-11-18,5.806204185443936,68,65,75,96,82,64,65,83,72
C-057,2023-12-09,11.594275735488509,72,88,90,98,95,60,69,64,60
C-058,2023-12-07,4.36067546810737,85,99,75,64,95,69,63,83,90
C-059,2023-09-26,6.184728745098458,85,79,67,84,79,89,95,75,99
C-060,2023-07-21,5.45763682381412,83,90,75,60,90,85,66,81,64
C-061,2023-01-28,2.703543027596707,78,64,96,76,82,64,80,63,61
C-062,2023-05-27,6.615500011315824,66,99,69,66,85,71,83,88,95
C-063,2023-07-05,6.664923804427267,82,89,93,63,98,100,80,79,96
C-064,2023-07-29,2.8439916390058375,89,73,72,88,69,89,96,97,99
C-065,2023-09-16,1.9114473453194352,73,83,75,99,74,69,94,84,91
C-066,2023-08-05,1.053507221805464,99,88,85,62,89,78,94,100,88
C-067,2023-06-26,4.228549043728597,88,100,72,61,82,98,85,78,67
C-068,2023-11-24,3.6978212441206098,61,90,87,78,62,84,87,85,66
C-069,2023-12-16,0.9785768651887499,95,92,81,70,82,83,72,87,100
C-070,2023-08-17,5.869824447651697,100,96,80,66,80,74,61,66,75
C-071,2023-11-24,9.248155601134638,62,84,86,87,71,79,90,78,98
C-072,2023-09-27,10.98375159050211,85,75,86,76,87,72,87,88,78
C-073,2023-05-07,4.949302919917836,88,65,92,95,78,94,75,77,66
C-074,2023-10-15,4.445090238815444,89,62,92,85,90,78,100,92,98
C-075,2023-02-05,4.40956336324959,98,83,80,98,64,61,78,91,82
C-076,2023-07-31,11.946206053064403,95,98,89,66,72,92,68,97,68
C-077,2023-01-31,11.585157296704457,83,98,83,72,61,69,63,67,82
C-078,2023-02-27,14.084060599515508,68,69,81,97,84,85,86,91,65
C-079,2023-03-13,4.744992615459604,100,80,80,99,63,97,91,74,82
C-080,2023-03-29,2.9400284895100834,93,87,81,71,60,93,67,64,99
C-081,2023-07-23,4.603169693224,65,75,91,69,90,73,93,74,70
C-082,2023-08-31,9.824681277115957,73,99,86,65,81,95,73,75,98
C-083,2023-09-07,0.6836819590657621,80,92,78,93,64,89,82,75,81
C-084,2023-09-18,9.714188588125374,65,96,72,99,76,76,78,73,87
C-085,2023-05-13,13.482612050439172,65,92,81,74,70,65,61,61,71
C-086,2023-03-30,11.709227922293348,74,74,94,64,62,77,91,60,64
C-087,2023-06-22,0.863684666892448,79,77,89,97,65,91,62,97,89
C-088,2023-01-21,12.431405617179056,86,70,81,78,77,97,85,62,82
C-089,2023-04-17,5.4378372636428765,99,85,91,100,63,65,75,88,87
C-090,2023-07-06,10.112736830585202,90,94,89,99,74,60,80,81,73
C-091,2023-04-29,8.913338538017445,74,98,80,80,63,94,63,80,67
C-092,2023-10-29,13.937295884593658,92,82,81,91,91,62,68,80,68
C-093,2023-07-12,9.004565246761679,73,82,99,90,77,91,79,67,89
C-094,2023-06-28,11.10224374583895,90,94,74,65,92,92,79,65,73
C-095,2023-04-17,1.7349480168034317,77,99,79,75,85,77,87,85,94
C-096,2023-12-14,6.801452002032551,90,60,90,100,62,83,90,69,88
C-097,2023-03-12,13.401163943808418,99,92,83,70,71,91,74,90,63
C-098,2023-11-25,14.808734637175238,90,68,68,78,93,74,87,98,72
C-099,2023-08-04,8.391495747838814,72,89,67,73,95,70,94,79,81
C-100,2023-01-09,4.567976777644125,86,75,89,81,81,65,88,79,60
C-101,2023-06-14,10.715066003284251,93,93,64,68,73,63,68,62,81
C-102,2023-05-07,14.262497790835654,70,88,83,68,80,65,100,69,89
C-103,2023-05-14,0.8980275763360381,64,79,97,76,100,74,65,64,94
C-104,2023-12-01,11.276035979895706,85,98,97,82,72,77,95,61,76
C-105,2023-01-18,1.3284335264615161,60,93,60,96,72,97,99,77,81
C-106,2023-01-20,3.836315496002748,75,72,83,74,61,81,91,78,84
C-107,2023-10-23,4.254681679936383,79,80,92,77,82,74,92,71,91
C-108,2023-06-23,9.331351996882374,69,67,96,88,97,98,92,75,73
