Crew_ID,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-001,Aircraft and Passenger Operations,2023-05-17,42.06,21.37,504.63,5.43,Sunny,Equipment_B,4,3.06,0,2023-01-01 05:09:00,1
C-002,Equipment Operation and Maintenance,2023-09-08,30.91,47.47,481.76,8.05,Rainy,Equipment_A,7,12.74,1,2023-01-01 08:24:00,2
C-003,Emergency and Contingency Tasks,2023-10-20,26.75,36.13,593.5,9.5,Windy,Equipment_A,3,7.08,0,2023-01-01 04:51:00,4
C-004,Aircraft and Passenger Operations,2023-10-05,14.27,47.39,581.69,4.65,Cloudy,Equipment_B,4,15.66,1,2023-01-01 21:00:00,1
C-005,Aircraft Servicing,2023-03-04,96.38,50.71,538.72,2.53,Windy,Equipment_A,2,16.08,1,2023-01-01 01:43:00,1
C-006,Equipment Operation and Maintenance,2023-07-17,59.34,11.12,555.11,2.25,Windy,Equipment_C,8,17.04,0,2023-01-01 10:14:00,3
C-007,Communication and Coordination,2023-12-21,113.89,52.56,529.97,5.18,Sunny,Equipment_B,5,4.77,0,2023-01-01 07:19:00,3
C-008,Aircraft and Passenger Operations,2023-07-01,119.79,44.44,567.43,5.82,Sunny,Equipment_B,1,10.51,1,2023-01-01 10:51:00,1
C-009,Safety and Maintenance Support,2023-10-19,80.38,21.02,572.53,3.43,Rainy,Equipment_A,5,19.82,1,2023-01-01 21:12:00,3
C-010,Baggage and Cargo Handling,2023-10-07,15.07,50.54,483.39,5.91,Rainy,Equipment_C,5,12.68,1,2023-01-01 10:55:00,4
C-011,Emergency and Contingency Tasks,2023-07-12,114.09,12.85,493.34,4.67,Windy,Equipment_D,2,13.39,0,2023-01-01 13:37:00,3
C-012,Aircraft and Passenger Operations,2023-07-23,28.23,55.26,528.75,3.14,Sunny,Equipment_D,8,5.14,0,2023-01-01 10:04:00,2
C-013,Safety and Maintenance Support,2023-02-10,40.59,34.25,511.79,3.44,Rainy,Equipment_A,7,18.38,1,2023-01-01 07:53:00,1
C-014,Safety and Maintenance Support,2023-06-21,98.31,50.94,551.07,1.83,Cloudy,Equipment_A,3,8.57,1,2023-01-01 04:35:00,4
C-015,Aircraft and Passenger Operations,2023-03-05,30.95,17.85,572.66,6.44,Rainy,Equipment_D,5,19.35,1,2023-01-01 23:32:00,1
C-016,Aircraft and Passenger Operations,2023-06-10,115.52,44.2,589.91,8.56,Cloudy,Equipment_D,1,19.12,0,2023-01-01 23:53:00,3
C-017,Emergency and Contingency Tasks,2023-05-22,24.19,24.09,594.62,5.96,Sunny,Equipment_C,2,2.57,0,2023-01-01 09:26:00,1
C-018,Communication and Coordination,2023-03-03,116.0,30.34,506.39,8.73,Cloudy,Equipment_A,7,2.34,1,2023-01-01 05:54:00,1
C-019,Safety and Maintenance Support,2023-11-11,100.66,17.79,534.02,6.99,Cloudy,Equipment_C,6,15.27,0,2023-01-01 20:15:00,1
C-020,Communication and Coordination,2023-07-19,81.49,29.28,535.53,3.03,Rainy,Equipment_D,8,14.64,0,2023-01-01 10:00:00,3
C-021,Aircraft Servicing,2023-05-30,30.58,41.5,493.94,1.44,Rainy,Equipment_C,1,16.68,0,2023-01-01 18:24:00,4
C-022,Equipment Operation and Maintenance,2023-12-16,69.44,53.19,545.48,1.63,Sunny,Equipment_C,8,14.38,0,2023-01-01 18:31:00,3
C-023,Emergency and Contingency Tasks,2023-04-21,80.35,56.33,521.92,2.81,Windy,Equipment_C,3,10.39,0,2023-01-01 10:24:00,4
C-024,Equipment Operation and Maintenance,2023-08-04,12.44,20.39,562.1,9.98,Sunny,Equipment_C,3,1.04,1,2023-01-01 11:38:00,2
C-025,Aircraft and Passenger Operations,2023-11-24,117.85,8.28,578.91,7.3,Rainy,Equipment_C,1,8.29,0,2023-01-01 13:01:00,3
C-026,Aircraft Servicing,2023-07-14,34.64,37.92,571.37,6.57,Rainy,Equipment_D,2,2.86,1,2023-01-01 18:40:00,1
C-027,Emergency and Contingency Tasks,2023-10-21,69.75,44.5,556.77,6.48,Cloudy,Equipment_A,7,13.75,0,2023-01-01 11:19:00,4
C-028,Aircraft Servicing,2023-04-22,94.44,17.98,588.08,4.8,Windy,Equipment_C,6,2.99,1,2023-01-01 05:41:00,1
C-029,Baggage and Cargo Handling,2023-01-28,25.07,40.72,588.85,5.16,Windy,Equipment_A,4,5.53,0,2023-01-01 02:57:00,1
C-030,Safety and Maintenance Support,2023-07-26,54.99,15.79,516.96,1.01,Cloudy,Equipment_A,8,17.65,0,2023-01-01 00:54:00,1
C-031,Equipment Operation and Maintenance,2023-08-21,106.0,26.62,541.44,7.77,Cloudy,Equipment_D,3,10.41,1,2023-01-01 12:54:00,3
C-032,Aircraft and Passenger Operations,2023-02-21,55.95,19.3,515.92,6.25,Sunny,Equipment_D,9,18.9,1,2023-01-01 15:28:00,1
C-033,Aircraft Servicing,2023-05-06,93.6,20.47,485.34,8.11,Windy,Equipment_D,6,15.26,1,2023-01-01 14:04:00,3
C-034,Baggage and Cargo Handling,2023-07-04,79.84,44.36,564.22,8.04,Cloudy,Equipment_D,4,10.88,0,2023-01-01 14:36:00,4
C-035,Aircraft Servicing,2023-07-19,17.3,58.35,482.14,2.3,Cloudy,Equipment_B,5,11.52,0,2023-01-01 06:08:00,1
C-036,Safety and Maintenance Support,2023-10-22,49.36,58.78,582.82,2.19,Rainy,Equipment_C,3,18.97,1,2023-01-01 13:51:00,2
C-037,Equipment Operation and Maintenance,2023-05-21,66.31,35.99,544.66,4.69,Windy,Equipment_B,6,12.01,0,2023-01-01 01:01:00,1
C-038,Emergency and Contingency Tasks,2023-03-12,84.56,12.93,540.61,7.27,Rainy,Equipment_C,5,7.14,0,2023-01-01 06:11:00,3
C-039,Baggage and Cargo Handling,2023-12-02,16.11,24.08,540.08,5.23,Cloudy,Equipment_C,9,15.23,1,2023-01-01 01:29:00,4
C-040,Equipment Operation and Maintenance,2023-10-23,95.17,40.65,593.46,8.27,Cloudy,Equipment_C,5,12.97,1,2023-01-01 03:18:00,3
C-041,Emergency and Contingency Tasks,2023-10-16,114.04,35.92,565.42,8.67,Windy,Equipment_B,8,9.52,1,2023-01-01 15:15:00,2
C-042,Communication and Coordination,2023-09-13,96.12,46.06,553.54,9.37,Sunny,Equipment_B,1,17.32,1,2023-01-01 17:16:00,4
C-043,Communication and Coordination,2023-12-30,107.24,5.33,585.78,2.78,Cloudy,Equipment_B,8,16.66,1,2023-01-01 19:54:00,3
C-044,Communication and Coordination,2023-04-21,16.6,41.18,574.12,7.8,Sunny,Equipment_A,3,11.3,0,2023-01-01 17:48:00,1
C-045,Communication and Coordination,2023-06-02,34.03,23.44,534.82,6.59,Windy,Equipment_D,2,18.97,1,2023-01-01 18:34:00,1
