crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-08-25,7.826810428455973,68,87,98,67,76,96,60,85,86
C-002,2023-07-29,4.52831740563454,93,67,100,76,95,70,79,92,85
C-003,2023-12-12,11.440458374317954,66,82,85,69,65,84,61,64,64
C-004,2023-12-05,3.378012724899311,61,88,86,92,76,63,77,79,94
C-005,2023-04-08,8.134932043336757,99,81,65,72,80,77,79,72,86
C-006,2023-10-03,11.895199507962552,69,99,89,78,97,79,76,65,85
C-007,2023-12-12,6.466247000045893,97,64,61,61,74,78,66,78,92
C-008,2023-10-18,3.0159694015712315,72,61,91,83,86,81,83,64,71
C-009,2023-07-14,11.077784758960382,74,75,65,62,96,61,100,60,85
C-010,2023-09-20,3.8114131846806223,76,79,77,86,68,95,80,74,77
C-011,2023-11-06,12.842003194913492,69,68,65,84,75,93,86,85,98
C-012,2023-12-25,1.462748997946235,79,75,80,61,62,66,100,63,78
C-013,2023-12-08,13.845045902838457,90,90,69,79,97,70,79,96,72
C-014,2023-03-18,8.949367543721026,71,78,90,93,91,96,67,90,92
C-015,2023-03-09,9.964654243167647,75,83,65,77,88,79,80,83,70
C-016,2023-11-14,13.104194040732889,96,98,73,75,85,99,83,77,61
C-017,2023-05-15,2.2465677803055963,61,71,71,99,76,88,89,78,85
C-018,2023-12-29,11.945479242480426,68,100,62,79,63,71,79,81,86
C-019,2023-07-01,4.29151234388167,76,82,74,99,78,72,100,71,62
C-020,2023-02-07,9.200999695300023,84,94,68,91,72,72,80,83,95
C-021,2023-01-08,10.55096546663695,69,94,78,64,82,80,100,63,99
C-022,2023-01-30,8.93144383830816,67,67,69,62,79,73,73,97,76
C-023,2023-06-29,7.8110572447993265,66,71,64,98,99,71,60,82,87
C-024,2023-09-15,1.220284640531694,95,82,75,89,79,95,80,74,86
C-025,2023-09-26,4.564221032943119,85,72,72,96,70,88,68,90,85
C-026,2023-04-12,9.19645343070612,89,94,79,93,80,93,69,81,85
C-027,2023-04-11,11.631353210496249,78,71,78,82,95,84,72,85,84
C-028,2023-07-11,8.087019735826939,83,98,89,90,84,99,88,88,71
C-029,2023-09-04,7.560770950212945,74,60,71,92,66,71,78,96,69
C-030,2023-04-10,0.8327524504390355,100,98,90,79,64,79,100,80,98
C-031,2023-01-16,2.927497284649468,98,100,94,87,91,94,62,67,80
C-032,2023-11-07,7.463261867280181,70,82,78,79,71,83,79,92,99
C-033,2023-06-05,11.437690791897614,93,98,87,63,65,95,76,66,87
C-034,2023-08-02,7.966333635159505,87,95,88,87,87,61,60,84,66
C-035,2023-01-01,5.234221372589664,94,92,97,95,95,98,80,85,70
