Crew_ID,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-001,Aircraft Servicing,2023-01-22,51.63,22.91,561.88,7.01,Sunny,Equipment_B,2,7.48,0,2023-01-01 04:02:00,3
C-002,Safety and Maintenance Support,2023-01-23,84.82,32.38,528.84,9.79,Cloudy,Equipment_C,2,12.84,0,2023-01-01 22:39:00,4
C-003,Emergency and Contingency Tasks,2023-01-28,34.1,52.79,543.64,5.71,Cloudy,Equipment_D,3,15.0,1,2023-01-01 20:42:00,2
C-004,Aircraft Servicing,2023-05-27,21.78,34.58,569.86,5.9,Rainy,Equipment_A,2,12.36,1,2023-01-01 02:43:00,4
C-005,Safety and Maintenance Support,2023-10-21,25.88,42.52,583.7,4.28,Rainy,Equipment_D,8,13.78,1,2023-01-01 20:18:00,1
C-006,Emergency and Contingency Tasks,2023-01-01,118.08,47.29,591.08,1.97,Rainy,Equipment_D,8,3.85,0,2023-01-01 21:12:00,3
C-007,Baggage and Cargo Handling,2023-10-20,34.08,44.33,541.17,3.8,Windy,Equipment_B,9,12.11,0,2023-01-01 08:48:00,2
C-008,Communication and Coordination,2023-11-24,59.28,49.55,503.31,5.33,Cloudy,Equipment_B,8,9.77,1,2023-01-01 21:25:00,1
C-009,Emergency and Contingency Tasks,2023-03-21,92.42,12.6,491.63,7.81,Windy,Equipment_C,7,1.69,0,2023-01-01 18:15:00,4
C-010,Equipment Operation and Maintenance,2023-09-01,13.36,58.14,542.28,4.0,Rainy,Equipment_A,2,18.02,1,2023-01-01 07:26:00,2
C-011,Communication and Coordination,2023-04-03,90.99,34.56,567.06,6.02,Sunny,Equipment_B,2,18.45,1,2023-01-01 18:15:00,1
C-012,Communication and Coordination,2023-05-21,103.44,41.68,599.81,1.51,Rainy,Equipment_B,5,12.77,1,2023-01-01 03:07:00,2
C-013,Aircraft and Passenger Operations,2023-04-11,33.89,46.51,550.42,10.0,Cloudy,Equipment_A,2,12.56,0,2023-01-01 23:12:00,4
C-014,Emergency and Contingency Tasks,2023-05-02,37.4,22.44,541.49,5.2,Cloudy,Equipment_B,2,5.85,1,2023-01-01 07:20:00,4
C-015,Aircraft Servicing,2023-05-28,52.91,50.07,530.42,3.29,Windy,Equipment_B,6,5.85,1,2023-01-01 17:37:00,4
C-016,Safety and Maintenance Support,2023-01-09,82.3,46.34,510.17,4.49,Cloudy,Equipment_D,5,16.76,0,2023-01-01 00:28:00,2
C-017,Aircraft and Passenger Operations,2023-11-28,68.6,17.89,577.04,4.04,Windy,Equipment_D,3,6.17,1,2023-01-01 04:08:00,2
