crew_id,date,task_completion_rate,quality_score,feedback_text
C-001,2023-01-29,99.26623136617852,78,Needs additional support with technical tasks
C-001,2023-11-29,90.24917296004888,71,Required more training on equipment operation
C-001,2024-03-09,82.2460847876194,81,Demonstrates excellent leadership qualities
C-001,2023-10-25,86.32977919864499,100,Consistently follows safety procedures
C-001,2023-12-13,85.0501305791062,83,Shows strong initiative in problem-solving
C-001,2023-06-02,78.47714887157144,95,Required more training on equipment operation
C-001,2023-07-16,86.95263275022648,78,Demonstrates excellent leadership qualities
C-001,2023-07-02,93.8551224096629,71,Could improve communication with team members
C-001,2023-07-20,98.33271791304526,94,Needs additional support with technical tasks
C-002,2023-04-10,96.98814453535938,96,Shows strong initiative in problem-solving
C-002,2023-06-23,86.82988409874068,99,Needs additional support with technical tasks
C-002,2023-04-25,85.46536247280562,75,Could improve communication with team members
C-002,2023-05-06,84.63133842869479,93,Could improve communication with team members
C-002,2024-01-20,92.12052500641843,98,Demonstrates excellent leadership qualities
C-003,2023-09-13,75.90477677518123,91,Demonstrates excellent leadership qualities
C-003,2023-02-20,94.7609871371333,76,Needs additional support with technical tasks
C-003,2023-08-25,80.39927570699142,70,Demonstrates excellent leadership qualities
C-003,2023-06-24,97.05142380794588,89,Could improve communication with team members
C-003,2023-09-18,75.32258681795533,92,Shows strong initiative in problem-solving
C-003,2024-03-06,87.51772425084,81,Demonstrates excellent leadership qualities
C-004,2023-10-13,88.60200050412568,93,Required more training on equipment operation
C-004,2023-12-09,94.11493852702539,74,Required more training on equipment operation
C-004,2023-09-08,96.53712274154474,86,Needs additional support with technical tasks
C-004,2023-10-18,75.13683188580556,72,Could improve communication with team members
C-004,2023-12-25,78.37214965502818,88,Demonstrates excellent leadership qualities
C-004,2023-06-30,82.7788775786779,81,Required more training on equipment operation
C-005,2023-05-13,76.518092540394,73,Could improve communication with team members
C-005,2023-12-19,90.49760747840686,97,Required more training on equipment operation
C-005,2023-09-18,77.9898254687621,90,Demonstrates excellent leadership qualities
C-005,2024-02-01,92.1122647569797,91,Could improve communication with team members
C-006,2023-01-04,80.63942210232334,89,Demonstrates excellent leadership qualities
C-006,2023-12-13,89.6119787227736,73,Consistently follows safety procedures
C-006,2023-09-24,95.06562438227428,90,Consistently follows safety procedures
C-006,2023-07-13,91.80711868168626,81,Could improve communication with team members
C-006,2023-07-09,78.84869901163849,75,Required more training on equipment operation
C-006,2023-05-09,99.96050469207509,77,Consistently follows safety procedures
C-006,2023-12-30,85.71213785189153,83,Needs additional support with technical tasks
C-007,2023-06-01,99.2072307090629,93,Needs additional support with technical tasks
C-007,2023-12-17,90.4198057051498,88,Shows strong initiative in problem-solving
C-007,2023-04-30,84.59643371898684,72,Required more training on equipment operation
C-007,2023-03-25,90.09340824663546,96,Could improve communication with team members
C-008,2023-01-20,80.02526722395423,96,Shows strong initiative in problem-solving
