crew_id,training_module,completion_date,score,feedback
C-001,Communication Workshop,2024-03-14,73,Outstanding performance and engagement
C-001,Emergency Response Protocol,2023-03-31,85,Strong theoretical knowledge but requires practice
C-001,Advanced Technical Operations,2023-09-05,94,Good progress but needs more confidence
C-001,Team Building,2023-04-13,100,Demonstrates great potential for advancement
C-001,Equipment Handling,2023-08-30,86,Outstanding performance and engagement
C-001,Leadership Development,2023-09-15,80,Outstanding performance and engagement
C-001,Emergency Response Protocol,2023-11-18,73,Excellent understanding of concepts
C-001,Basic Safety Training,2023-08-06,86,Good progress but needs more confidence
C-002,Emergency Response Protocol,2023-04-29,81,Excellent understanding of concepts
C-002,Emergency Response Protocol,2024-03-13,94,Strong theoretical knowledge but requires practice
C-002,Team Building,2024-02-07,76,Outstanding performance and engagement
C-002,Advanced Technical Operations,2023-06-27,97,Strong theoretical knowledge but requires practice
C-002,Risk Assessment,2023-07-28,92,Strong theoretical knowledge but requires practice
C-002,Leadership Development,2023-02-18,95,Strong theoretical knowledge but requires practice
C-003,Team Building,2023-06-20,95,Excellent understanding of concepts
C-003,Leadership Development,2024-01-11,76,Outstanding performance and engagement
C-003,Basic Safety Training,2024-03-02,97,Good progress but needs more confidence
C-003,Communication Workshop,2024-01-13,95,Outstanding performance and engagement
C-003,Team Building,2024-03-01,90,Needs improvement in practical application
C-003,Quality Management Systems,2024-02-11,93,Demonstrates great potential for advancement
C-003,Communication Workshop,2023-12-19,99,Good progress but needs more confidence
C-004,Leadership Development,2024-03-25,95,Needs improvement in practical application
C-004,Advanced Technical Operations,2023-11-23,73,Demonstrates great potential for advancement
C-004,Equipment Handling,2023-10-31,72,Good progress but needs more confidence
C-004,Basic Safety Training,2024-02-13,97,Good progress but needs more confidence
C-004,Leadership Development,2023-07-06,93,Good progress but needs more confidence
C-004,Emergency Response Protocol,2023-02-21,79,Excellent understanding of concepts
C-005,Leadership Development,2024-02-06,86,Outstanding performance and engagement
C-005,Equipment Handling,2023-12-03,87,Good progress but needs more confidence
C-005,Team Building,2023-03-06,92,Excellent understanding of concepts
C-005,Advanced Technical Operations,2023-08-04,80,Strong theoretical knowledge but requires practice
C-005,Team Building,2023-08-29,91,Good progress but needs more confidence
C-005,Equipment Handling,2023-07-24,93,Needs improvement in practical application
C-006,Risk Assessment,2023-06-13,81,Outstanding performance and engagement
C-006,Emergency Response Protocol,2024-01-29,76,Needs improvement in practical application
C-006,Advanced Technical Operations,2023-02-22,92,Excellent understanding of concepts
C-006,Advanced Technical Operations,2024-03-21,86,Good progress but needs more confidence
C-006,Basic Safety Training,2023-06-22,96,Strong theoretical knowledge but requires practice
C-007,Communication Workshop,2024-02-09,83,Demonstrates great potential for advancement
C-007,Risk Assessment,2023-08-26,96,Outstanding performance and engagement
C-007,Leadership Development,2023-12-30,74,Demonstrates great potential for advancement
C-008,Leadership Development,2023-12-08,95,Outstanding performance and engagement
C-008,Communication Workshop,2023-07-17,98,Excellent understanding of concepts
C-008,Risk Assessment,2023-03-06,76,Outstanding performance and engagement
C-008,Risk Assessment,2023-04-22,75,Good progress but needs more confidence
C-008,Basic Safety Training,2023-01-28,83,Needs improvement in practical application
C-009,Communication Workshop,2023-11-08,96,Needs improvement in practical application
C-009,Leadership Development,2024-01-27,88,Good progress but needs more confidence
C-009,Advanced Technical Operations,2023-06-10,91,Excellent understanding of concepts
C-009,Risk Assessment,2023-01-17,83,Needs improvement in practical application
C-009,Basic Safety Training,2023-08-26,91,Outstanding performance and engagement
C-009,Emergency Response Protocol,2023-12-06,85,Good progress but needs more confidence
C-010,Leadership Development,2024-01-07,71,Excellent understanding of concepts
C-010,Leadership Development,2023-04-24,80,Demonstrates great potential for advancement
C-010,Basic Safety Training,2023-07-03,81,Strong theoretical knowledge but requires practice
C-010,Quality Management Systems,2023-07-28,100,Strong theoretical knowledge but requires practice
C-011,Basic Safety Training,2024-01-31,100,Outstanding performance and engagement
C-011,Advanced Technical Operations,2023-09-28,96,Excellent understanding of concepts
C-011,Team Building,2023-01-08,77,Needs improvement in practical application
C-012,Basic Safety Training,2023-04-04,90,Strong theoretical knowledge but requires practice
C-012,Leadership Development,2023-03-30,75,Outstanding performance and engagement
C-012,Equipment Handling,2023-08-26,91,Excellent understanding of concepts
C-013,Communication Workshop,2023-10-15,78,Strong theoretical knowledge but requires practice
C-013,Emergency Response Protocol,2023-03-22,79,Needs improvement in practical application
C-013,Emergency Response Protocol,2023-12-17,85,Outstanding performance and engagement
C-014,Emergency Response Protocol,2023-12-26,93,Needs improvement in practical application
C-014,Communication Workshop,2023-09-14,82,Good progress but needs more confidence
C-014,Communication Workshop,2023-02-25,82,Excellent understanding of concepts
C-014,Basic Safety Training,2023-09-02,87,Excellent understanding of concepts
C-014,Risk Assessment,2023-04-10,90,Strong theoretical knowledge but requires practice
C-014,Team Building,2023-06-16,82,Outstanding performance and engagement
C-014,Basic Safety Training,2023-12-14,87,Excellent understanding of concepts
C-015,Basic Safety Training,2023-10-05,97,Demonstrates great potential for advancement
C-015,Advanced Technical Operations,2023-11-04,85,Excellent understanding of concepts
C-015,Risk Assessment,2023-04-24,80,Needs improvement in practical application
C-015,Leadership Development,2024-01-17,93,Strong theoretical knowledge but requires practice
C-015,Advanced Technical Operations,2023-01-02,97,Demonstrates great potential for advancement
C-015,Emergency Response Protocol,2023-04-03,70,Excellent understanding of concepts
C-015,Communication Workshop,2023-09-16,73,Good progress but needs more confidence
C-015,Emergency Response Protocol,2023-12-23,84,Good progress but needs more confidence
C-016,Advanced Technical Operations,2023-04-21,81,Demonstrates great potential for advancement
C-016,Basic Safety Training,2023-07-25,93,Outstanding performance and engagement
C-016,Emergency Response Protocol,2023-07-15,72,Excellent understanding of concepts
C-017,Equipment Handling,2023-01-11,92,Strong theoretical knowledge but requires practice
C-017,Equipment Handling,2023-12-09,75,Outstanding performance and engagement
C-017,Risk Assessment,2023-03-08,91,Needs improvement in practical application
C-018,Emergency Response Protocol,2023-02-21,74,Demonstrates great potential for advancement
C-018,Communication Workshop,2023-10-26,73,Demonstrates great potential for advancement
C-019,Equipment Handling,2023-05-16,99,Outstanding performance and engagement
C-019,Team Building,2023-01-14,96,Outstanding performance and engagement
C-019,Communication Workshop,2023-05-06,98,Outstanding performance and engagement
C-019,Basic Safety Training,2023-03-03,83,Good progress but needs more confidence
C-019,Team Building,2023-06-26,77,Needs improvement in practical application
C-020,Communication Workshop,2024-01-04,97,Good progress but needs more confidence
C-020,Risk Assessment,2023-02-06,97,Needs improvement in practical application
C-020,Quality Management Systems,2023-03-12,75,Outstanding performance and engagement
C-020,Team Building,2023-03-22,94,Demonstrates great potential for advancement
C-020,Leadership Development,2024-02-02,72,Outstanding performance and engagement
C-020,Team Building,2024-03-18,77,Excellent understanding of concepts
C-020,Communication Workshop,2024-03-07,85,Needs improvement in practical application
C-021,Emergency Response Protocol,2023-03-16,76,Excellent understanding of concepts
C-021,Communication Workshop,2023-12-15,100,Strong theoretical knowledge but requires practice
C-021,Advanced Technical Operations,2023-11-21,72,Good progress but needs more confidence
C-021,Team Building,2024-01-04,88,Demonstrates great potential for advancement
C-021,Leadership Development,2024-01-13,95,Outstanding performance and engagement
C-021,Advanced Technical Operations,2023-07-16,80,Outstanding performance and engagement
C-022,Quality Management Systems,2023-05-29,90,Excellent understanding of concepts
C-022,Equipment Handling,2023-10-30,92,Good progress but needs more confidence
C-023,Equipment Handling,2024-02-11,74,Excellent understanding of concepts
C-023,Team Building,2023-03-10,91,Strong theoretical knowledge but requires practice
C-023,Emergency Response Protocol,2023-01-16,70,Needs improvement in practical application
C-023,Advanced Technical Operations,2023-03-31,91,Excellent understanding of concepts
C-023,Leadership Development,2023-01-29,97,Excellent understanding of concepts
C-023,Leadership Development,2023-05-30,81,Outstanding performance and engagement
C-023,Team Building,2023-11-22,97,Excellent understanding of concepts
C-024,Quality Management Systems,2023-11-12,72,Demonstrates great potential for advancement
C-024,Advanced Technical Operations,2023-11-01,90,Needs improvement in practical application
C-024,Advanced Technical Operations,2023-05-04,94,Strong theoretical knowledge but requires practice
C-024,Equipment Handling,2023-05-19,99,Needs improvement in practical application
C-024,Risk Assessment,2023-11-02,72,Strong theoretical knowledge but requires practice
C-024,Team Building,2023-09-18,89,Excellent understanding of concepts
C-025,Equipment Handling,2023-06-03,76,Outstanding performance and engagement
C-025,Basic Safety Training,2023-04-28,95,Outstanding performance and engagement
C-025,Communication Workshop,2023-09-03,74,Excellent understanding of concepts
C-025,Team Building,2023-04-17,98,Demonstrates great potential for advancement
C-025,Risk Assessment,2023-11-17,96,Strong theoretical knowledge but requires practice
C-025,Team Building,2023-02-07,92,Needs improvement in practical application
C-025,Leadership Development,2023-12-23,71,Demonstrates great potential for advancement
C-026,Equipment Handling,2023-03-23,75,Outstanding performance and engagement
C-026,Team Building,2023-11-10,83,Needs improvement in practical application
C-026,Communication Workshop,2023-10-12,73,Strong theoretical knowledge but requires practice
C-027,Leadership Development,2023-01-23,77,Outstanding performance and engagement
C-027,Communication Workshop,2023-01-25,81,Outstanding performance and engagement
C-027,Emergency Response Protocol,2023-06-14,100,Strong theoretical knowledge but requires practice
C-027,Team Building,2023-11-22,80,Strong theoretical knowledge but requires practice
C-027,Quality Management Systems,2024-02-28,97,Good progress but needs more confidence
C-028,Communication Workshop,2023-10-31,86,Strong theoretical knowledge but requires practice
C-028,Advanced Technical Operations,2023-12-12,89,Outstanding performance and engagement
C-028,Basic Safety Training,2023-11-05,73,Good progress but needs more confidence
C-028,Equipment Handling,2023-10-31,79,Excellent understanding of concepts
C-028,Advanced Technical Operations,2023-10-15,89,Needs improvement in practical application
C-028,Team Building,2023-10-15,92,Outstanding performance and engagement
C-029,Equipment Handling,2024-02-14,100,Demonstrates great potential for advancement
C-029,Leadership Development,2023-08-18,79,Excellent understanding of concepts
C-029,Basic Safety Training,2024-01-24,81,Demonstrates great potential for advancement
C-029,Communication Workshop,2023-11-21,75,Strong theoretical knowledge but requires practice
C-029,Equipment Handling,2023-01-23,89,Needs improvement in practical application
C-029,Advanced Technical Operations,2023-05-11,94,Excellent understanding of concepts
C-029,Leadership Development,2023-10-21,74,Outstanding performance and engagement
C-030,Team Building,2023-09-21,76,Good progress but needs more confidence
C-030,Advanced Technical Operations,2023-03-30,75,Needs improvement in practical application
C-030,Quality Management Systems,2023-09-09,81,Demonstrates great potential for advancement
C-030,Leadership Development,2023-07-27,94,Good progress but needs more confidence
C-030,Equipment Handling,2023-06-14,86,Strong theoretical knowledge but requires practice
C-030,Advanced Technical Operations,2024-02-13,85,Excellent understanding of concepts
C-030,Emergency Response Protocol,2023-01-25,93,Needs improvement in practical application
C-030,Quality Management Systems,2023-12-03,75,Strong theoretical knowledge but requires practice
C-031,Team Building,2023-12-21,92,Needs improvement in practical application
C-031,Team Building,2023-07-21,71,Needs improvement in practical application
C-031,Quality Management Systems,2023-09-27,98,Strong theoretical knowledge but requires practice
C-031,Quality Management Systems,2023-02-13,81,Excellent understanding of concepts
C-031,Leadership Development,2023-03-19,80,Outstanding performance and engagement
C-031,Emergency Response Protocol,2023-12-30,89,Outstanding performance and engagement
C-031,Team Building,2023-11-01,76,Outstanding performance and engagement
C-032,Advanced Technical Operations,2024-01-03,71,Strong theoretical knowledge but requires practice
C-032,Basic Safety Training,2023-08-20,75,Excellent understanding of concepts
C-032,Communication Workshop,2023-04-29,99,Strong theoretical knowledge but requires practice
C-032,Communication Workshop,2024-03-04,74,Demonstrates great potential for advancement
C-033,Team Building,2024-01-31,90,Good progress but needs more confidence
C-033,Equipment Handling,2023-10-03,96,Good progress but needs more confidence
C-033,Risk Assessment,2023-04-14,92,Demonstrates great potential for advancement
C-033,Emergency Response Protocol,2023-10-07,84,Outstanding performance and engagement
C-033,Equipment Handling,2023-05-24,90,Strong theoretical knowledge but requires practice
C-033,Quality Management Systems,2023-10-12,95,Strong theoretical knowledge but requires practice
C-034,Risk Assessment,2023-09-17,79,Demonstrates great potential for advancement
C-034,Equipment Handling,2024-02-24,86,Demonstrates great potential for advancement
C-034,Quality Management Systems,2023-07-25,79,Demonstrates great potential for advancement
C-035,Communication Workshop,2023-10-22,92,Outstanding performance and engagement
C-035,Communication Workshop,2024-01-11,84,Good progress but needs more confidence
C-035,Risk Assessment,2023-06-17,87,Strong theoretical knowledge but requires practice
C-035,Emergency Response Protocol,2023-04-25,70,Needs improvement in practical application
C-035,Basic Safety Training,2024-03-17,91,Excellent understanding of concepts
C-035,Quality Management Systems,2023-03-01,86,Excellent understanding of concepts
C-035,Communication Workshop,2023-01-25,80,Good progress but needs more confidence
C-036,Risk Assessment,2024-03-19,74,Good progress but needs more confidence
C-036,Emergency Response Protocol,2023-04-22,95,Excellent understanding of concepts
C-037,Team Building,2023-11-06,72,Good progress but needs more confidence
C-037,Leadership Development,2024-03-18,97,Outstanding performance and engagement
C-037,Emergency Response Protocol,2023-01-15,99,Strong theoretical knowledge but requires practice
C-037,Risk Assessment,2023-05-19,88,Excellent understanding of concepts
C-037,Equipment Handling,2023-09-07,84,Good progress but needs more confidence
C-038,Advanced Technical Operations,2023-05-25,87,Demonstrates great potential for advancement
C-038,Communication Workshop,2023-11-17,99,Outstanding performance and engagement
C-038,Quality Management Systems,2023-06-03,77,Outstanding performance and engagement
C-038,Advanced Technical Operations,2023-12-22,93,Needs improvement in practical application
C-038,Leadership Development,2024-01-01,80,Needs improvement in practical application
C-038,Leadership Development,2023-12-04,75,Strong theoretical knowledge but requires practice
C-039,Communication Workshop,2023-08-04,81,Good progress but needs more confidence
C-039,Risk Assessment,2023-04-06,97,Demonstrates great potential for advancement
C-039,Team Building,2023-09-27,80,Good progress but needs more confidence
C-039,Equipment Handling,2023-03-05,93,Good progress but needs more confidence
C-039,Communication Workshop,2023-10-09,80,Demonstrates great potential for advancement
C-039,Risk Assessment,2023-09-18,82,Good progress but needs more confidence
C-039,Emergency Response Protocol,2023-08-04,88,Demonstrates great potential for advancement
C-039,Communication Workshop,2023-09-23,84,Good progress but needs more confidence
C-040,Team Building,2024-02-06,93,Good progress but needs more confidence
C-040,Leadership Development,2023-04-29,78,Strong theoretical knowledge but requires practice
C-040,Team Building,2024-01-26,81,Needs improvement in practical application
C-040,Communication Workshop,2023-08-08,94,Outstanding performance and engagement
C-040,Leadership Development,2023-09-06,93,Good progress but needs more confidence
C-040,Emergency Response Protocol,2023-04-23,83,Outstanding performance and engagement
C-040,Leadership Development,2023-05-11,100,Strong theoretical knowledge but requires practice
C-040,Communication Workshop,2023-10-26,82,Needs improvement in practical application
C-041,Communication Workshop,2024-01-29,99,Outstanding performance and engagement
C-041,Quality Management Systems,2023-07-05,89,Demonstrates great potential for advancement
C-041,Equipment Handling,2023-03-16,74,Excellent understanding of concepts
C-041,Equipment Handling,2023-06-13,71,Good progress but needs more confidence
C-041,Communication Workshop,2023-04-24,70,Demonstrates great potential for advancement
C-042,Basic Safety Training,2023-10-31,94,Strong theoretical knowledge but requires practice
C-042,Risk Assessment,2023-05-17,83,Excellent understanding of concepts
C-042,Quality Management Systems,2023-04-09,73,Good progress but needs more confidence
C-042,Communication Workshop,2023-09-20,89,Excellent understanding of concepts
C-042,Emergency Response Protocol,2023-10-31,100,Demonstrates great potential for advancement
