Crew_ID,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-001,Aircraft Servicing,2023-05-23,59.03,16.88,481.7,5.56,Cloudy,Equipment_B,8,2.95,0,2023-01-01 15:25:00,1
C-002,Emergency and Contingency Tasks,2023-10-29,70.85,18.24,576.35,7.65,Rainy,Equipment_A,7,19.79,1,2023-01-01 08:15:00,2
C-003,Equipment Operation and Maintenance,2023-02-24,22.25,17.0,489.09,7.41,Windy,Equipment_D,6,13.65,0,2023-01-01 23:22:00,1
C-004,Aircraft and Passenger Operations,2023-07-02,104.72,24.9,491.54,9.11,Cloudy,Equipment_B,3,6.98,0,2023-01-01 23:26:00,3
C-005,Baggage and Cargo Handling,2023-03-27,61.68,13.09,489.51,9.33,Windy,Equipment_B,8,14.31,0,2023-01-01 03:35:00,1
C-006,Safety and Maintenance Support,2023-05-31,30.02,48.99,556.69,4.66,Cloudy,Equipment_D,5,8.84,0,2023-01-01 20:37:00,1
C-007,Safety and Maintenance Support,2023-05-16,84.9,54.82,585.6,4.97,Windy,Equipment_A,2,4.34,0,2023-01-01 20:56:00,1
C-008,Equipment Operation and Maintenance,2023-03-07,71.68,45.1,526.1,8.73,Rainy,Equipment_A,1,17.96,1,2023-01-01 02:00:00,3
C-009,Equipment Operation and Maintenance,2023-11-08,113.82,47.29,493.98,4.94,Cloudy,Equipment_C,5,11.99,0,2023-01-01 09:41:00,2
C-010,Equipment Operation and Maintenance,2023-10-31,38.1,43.72,592.32,6.99,Cloudy,Equipment_D,9,18.84,0,2023-01-01 22:02:00,3
C-011,Equipment Operation and Maintenance,2023-06-22,16.37,41.73,528.9,8.8,Sunny,Equipment_B,3,15.61,1,2023-01-01 12:14:00,3
C-012,Communication and Coordination,2023-11-24,58.82,23.53,548.0,4.27,Windy,Equipment_C,2,3.75,1,2023-01-01 01:55:00,2
C-013,Emergency and Contingency Tasks,2023-07-20,105.1,57.6,574.83,9.95,Windy,Equipment_D,1,12.59,1,2023-01-01 14:08:00,4
C-014,Emergency and Contingency Tasks,2023-01-26,22.71,47.19,599.23,2.97,Sunny,Equipment_A,9,7.9,1,2023-01-01 09:09:00,4
C-015,Safety and Maintenance Support,2023-04-19,38.44,16.99,536.91,1.6,Rainy,Equipment_D,3,6.52,1,2023-01-01 09:02:00,4
C-016,Communication and Coordination,2023-04-22,101.38,45.97,485.53,8.0,Cloudy,Equipment_D,2,12.79,1,2023-01-01 07:25:00,2
C-017,Emergency and Contingency Tasks,2023-01-23,31.71,13.09,508.58,9.49,Cloudy,Equipment_B,4,4.38,1,2023-01-01 16:51:00,4
C-018,Equipment Operation and Maintenance,2023-01-29,39.29,51.81,503.18,9.13,Sunny,Equipment_C,5,7.15,1,2023-01-01 10:24:00,3
C-019,Emergency and Contingency Tasks,2023-09-15,86.61,8.82,573.67,8.97,Rainy,Equipment_B,8,1.84,1,2023-01-01 12:33:00,2
C-020,Aircraft and Passenger Operations,2023-12-15,43.44,32.03,498.76,3.7,Windy,Equipment_A,7,16.44,1,2023-01-01 22:56:00,2
C-021,Aircraft and Passenger Operations,2023-04-18,75.97,25.58,508.84,6.19,Cloudy,Equipment_B,7,2.57,1,2023-01-01 07:42:00,1
