crew_id,date,task_completion_rate,quality_score,feedback_text
C-001,2023-05-28,79.32039387749936,91,Shows strong initiative in problem-solving
C-001,2023-08-26,94.51602778701435,80,Needs additional support with technical tasks
C-001,2023-07-10,95.89993753422311,86,Could improve communication with team members
C-001,2023-03-20,84.71978045160301,90,Consistently follows safety procedures
C-001,2024-02-05,91.94982782316289,81,Consistently follows safety procedures
C-002,2023-07-28,88.41037119144119,87,Required more training on equipment operation
C-002,2024-01-27,84.70376643068768,82,Shows strong initiative in problem-solving
C-002,2023-11-25,93.04900526806685,95,Could improve communication with team members
C-002,2023-02-26,98.72983051000108,97,Demonstrates excellent leadership qualities
C-002,2024-03-26,90.75038387323973,70,Could improve communication with team members
C-002,2024-02-11,93.37505835608754,85,Demonstrates excellent leadership qualities
C-003,2023-02-24,99.91334516006069,77,Required more training on equipment operation
C-003,2023-08-20,91.36564520833657,72,Demonstrates excellent leadership qualities
C-003,2023-01-12,95.96952349328396,97,Needs additional support with technical tasks
C-003,2023-10-11,97.9012396277343,74,Consistently follows safety procedures
C-003,2024-03-23,87.66871553591537,71,Shows strong initiative in problem-solving
C-003,2023-03-09,91.26951286730139,85,Needs additional support with technical tasks
C-003,2023-04-28,78.67330253405213,78,Needs additional support with technical tasks
C-003,2024-01-14,94.2593938112336,75,Required more training on equipment operation
C-004,2023-07-21,83.77468595677269,79,Shows strong initiative in problem-solving
C-004,2023-12-08,78.77542659896044,95,Needs additional support with technical tasks
C-004,2023-05-16,92.4010267261657,93,Needs additional support with technical tasks
C-004,2023-05-15,82.84396852283712,97,Demonstrates excellent leadership qualities
C-004,2024-03-12,78.70283944367452,84,Consistently follows safety procedures
C-005,2023-11-12,94.19211974270834,95,Needs additional support with technical tasks
C-005,2023-04-05,99.5703708370119,92,Shows strong initiative in problem-solving
C-005,2023-02-19,87.18365753481812,78,Shows strong initiative in problem-solving
C-005,2023-07-26,81.49068702130411,98,Demonstrates excellent leadership qualities
C-006,2024-01-19,91.48818561998456,84,Could improve communication with team members
C-006,2023-12-01,93.15061360324108,75,Consistently follows safety procedures
C-006,2023-02-05,94.03990417095008,84,Required more training on equipment operation
C-006,2024-01-27,85.0132070259141,81,Could improve communication with team members
C-006,2023-07-02,94.80895684390475,80,Demonstrates excellent leadership qualities
C-006,2023-03-14,86.308077266486,79,Could improve communication with team members
C-006,2024-01-08,82.09411988550279,92,Consistently follows safety procedures
C-006,2023-10-06,94.91730198407919,82,Needs additional support with technical tasks
C-006,2023-01-27,75.51136089859911,96,Demonstrates excellent leadership qualities
C-007,2023-12-10,88.35857560515709,100,Consistently follows safety procedures
C-007,2023-07-18,90.69487315164211,85,Consistently follows safety procedures
C-007,2024-02-18,82.77476012728633,79,Required more training on equipment operation
C-007,2024-01-14,85.01396820470991,71,Shows strong initiative in problem-solving
C-007,2024-01-08,94.40970092279989,70,Consistently follows safety procedures
C-007,2023-07-15,76.51444378633977,72,Consistently follows safety procedures
C-007,2024-02-07,91.51805992245356,83,Needs additional support with technical tasks
C-008,2023-04-29,93.60009394535665,71,Demonstrates excellent leadership qualities
C-008,2023-05-27,80.8734743170153,72,Shows strong initiative in problem-solving
C-008,2023-08-04,84.53983603087835,76,Needs additional support with technical tasks
C-008,2023-06-10,82.93351639466589,98,Could improve communication with team members
C-009,2023-08-17,88.51472707672248,87,Needs additional support with technical tasks
C-009,2023-05-06,77.68126001660681,92,Required more training on equipment operation
C-009,2024-02-29,82.22731885278809,100,Consistently follows safety procedures
C-009,2023-01-22,89.58887467534392,83,Consistently follows safety procedures
C-009,2023-12-19,94.95918076017523,75,Demonstrates excellent leadership qualities
C-009,2023-06-15,90.09414870371505,81,Required more training on equipment operation
C-010,2024-03-05,95.44817444262918,77,Shows strong initiative in problem-solving
C-010,2023-05-29,87.72834897655055,80,Required more training on equipment operation
C-010,2023-04-28,79.53767449102149,74,Demonstrates excellent leadership qualities
C-010,2024-01-22,91.62039527762776,82,Could improve communication with team members
C-010,2023-06-20,96.63869016182714,88,Could improve communication with team members
C-010,2024-01-27,90.81820563331968,97,Could improve communication with team members
C-010,2024-01-31,87.79747871173099,71,Required more training on equipment operation
C-010,2024-02-08,96.42164658705515,72,Consistently follows safety procedures
C-010,2024-03-24,85.6978805374226,98,Could improve communication with team members
C-011,2024-02-12,91.10364285117966,98,Demonstrates excellent leadership qualities
C-011,2023-02-06,82.97091323947714,90,Needs additional support with technical tasks
C-011,2023-08-25,78.03950815281569,71,Shows strong initiative in problem-solving
C-011,2023-04-04,76.97041859409866,84,Required more training on equipment operation
C-011,2023-03-26,93.40380981151253,100,Consistently follows safety procedures
C-012,2023-07-13,94.19664274504322,72,Consistently follows safety procedures
C-012,2023-08-06,87.79056414738974,97,Demonstrates excellent leadership qualities
C-012,2023-06-24,76.88118066725936,87,Needs additional support with technical tasks
C-013,2023-05-24,99.07625260760028,99,Required more training on equipment operation
C-013,2023-06-30,89.98046443528192,83,Could improve communication with team members
C-013,2024-02-15,99.73019942877694,88,Required more training on equipment operation
C-013,2023-07-02,89.47092848479699,78,Demonstrates excellent leadership qualities
C-014,2023-01-06,76.60883603452228,99,Needs additional support with technical tasks
C-014,2023-09-10,90.3006798251226,91,Required more training on equipment operation
C-014,2023-05-15,92.42429411952068,93,Demonstrates excellent leadership qualities
C-015,2023-07-19,84.25840072622307,91,Consistently follows safety procedures
C-015,2024-01-17,77.20148154596976,79,Needs additional support with technical tasks
C-015,2023-09-16,88.23004308004852,84,Demonstrates excellent leadership qualities
C-015,2023-07-17,75.42035421222812,70,Could improve communication with team members
C-015,2023-10-10,97.15246045864421,91,Required more training on equipment operation
C-015,2023-03-18,99.07063599801558,96,Required more training on equipment operation
C-015,2023-03-05,98.6233449336021,100,Demonstrates excellent leadership qualities
C-015,2023-04-21,92.84580704202546,73,Needs additional support with technical tasks
C-016,2023-03-06,78.84871317601093,88,Consistently follows safety procedures
C-016,2023-09-06,92.88947962607831,82,Consistently follows safety procedures
C-016,2023-05-26,82.83569452432049,78,Could improve communication with team members
C-016,2023-02-20,87.53167764849255,79,Demonstrates excellent leadership qualities
C-017,2024-01-24,97.85663886292514,75,Required more training on equipment operation
C-017,2023-05-17,77.00321410111958,94,Demonstrates excellent leadership qualities
C-017,2023-09-29,85.23966421505303,87,Required more training on equipment operation
C-017,2023-10-01,97.84606251172895,80,Needs additional support with technical tasks
C-017,2023-08-14,79.22410193411352,77,Demonstrates excellent leadership qualities
C-017,2023-08-09,82.67065057127567,79,Required more training on equipment operation
C-017,2023-02-08,78.77586935274702,84,Could improve communication with team members
C-017,2023-01-23,92.81479870721591,73,Required more training on equipment operation
C-017,2023-07-08,92.55314862120214,85,Needs additional support with technical tasks
C-018,2023-02-19,88.43062929105682,87,Could improve communication with team members
C-018,2024-01-06,84.40322535052964,76,Required more training on equipment operation
C-018,2024-01-25,95.57775306988657,98,Required more training on equipment operation
C-018,2023-10-26,92.51843428598599,76,Required more training on equipment operation
C-018,2023-06-17,85.95517968546675,99,Required more training on equipment operation
C-019,2024-03-24,91.97628989041579,72,Required more training on equipment operation
C-019,2023-10-31,89.76308676969947,92,Needs additional support with technical tasks
C-019,2024-02-01,90.27973761520605,76,Consistently follows safety procedures
C-019,2024-02-17,84.44023164287402,90,Needs additional support with technical tasks
C-020,2023-10-03,76.74442042081141,77,Shows strong initiative in problem-solving
C-020,2023-02-06,99.00616399298482,82,Required more training on equipment operation
C-020,2023-01-10,81.76111660374433,95,Demonstrates excellent leadership qualities
C-020,2023-01-23,91.7602043385905,75,Demonstrates excellent leadership qualities
C-020,2023-08-05,78.84684487217262,97,Shows strong initiative in problem-solving
C-020,2023-04-04,91.23285700171708,80,Shows strong initiative in problem-solving
C-020,2024-01-21,95.65289143140751,86,Could improve communication with team members
C-020,2023-04-09,96.34707052014457,81,Shows strong initiative in problem-solving
C-020,2024-02-20,96.12705286141922,70,Consistently follows safety procedures
C-021,2023-08-12,78.63772230504568,89,Demonstrates excellent leadership qualities
C-021,2024-01-20,92.94241694205898,100,Could improve communication with team members
C-021,2023-03-11,91.49186748987923,83,Needs additional support with technical tasks
C-021,2024-01-14,93.69255422845524,73,Shows strong initiative in problem-solving
C-021,2024-02-16,90.83675309664368,80,Shows strong initiative in problem-solving
C-021,2023-06-07,82.55512161031457,97,Shows strong initiative in problem-solving
C-022,2023-03-01,92.12233370186527,95,Consistently follows safety procedures
C-022,2023-02-04,89.28896411354629,86,Required more training on equipment operation
