crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-001,2023-06-17,2.1721730961868206,62,78,63,74,70,93,73,75,92
C-002,2023-01-05,3.062042591888279,87,71,84,67,93,71,100,95,89
C-003,2023-05-15,14.390769151373464,69,75,94,61,91,89,68,86,60
C-004,2023-05-30,10.386869335762361,79,81,84,84,70,94,74,78,60
C-005,2023-03-05,11.41550434630166,84,80,79,64,60,96,93,87,86
C-006,2023-02-09,7.08589500341218,91,84,90,88,74,99,81,81,61
C-007,2023-09-10,1.6821578566614215,98,61,90,78,97,76,79,77,81
C-008,2023-04-27,3.7881925568160844,89,95,80,74,86,71,71,89,86
C-009,2023-04-11,14.419964241485426,75,61,82,65,74,81,74,81,71
C-010,2023-06-01,12.106914341307872,77,64,90,77,73,89,70,68,83
C-011,2023-06-14,1.6320287317961086,92,71,75,76,72,71,80,97,73
C-012,2023-04-29,8.518811604512123,93,62,73,65,61,81,78,74,67
C-013,2023-03-11,2.525526006271396,65,74,75,81,90,73,62,82,67
C-014,2023-04-10,3.6853457397390064,94,100,96,72,80,78,82,92,97
C-015,2023-04-17,6.576350706244946,89,92,68,63,99,77,98,65,83
C-016,2023-05-18,12.146299286368537,77,84,85,64,77,78,88,84,85
C-017,2023-01-30,12.878119197798862,63,68,97,82,85,75,76,82,64
C-018,2023-01-15,12.474791894993919,94,82,91,97,97,75,61,87,99
C-019,2023-11-13,14.293070059694983,69,61,100,95,87,91,61,92,100
C-020,2023-04-13,1.5662751971685056,84,76,88,78,81,85,97,69,74
C-021,2023-11-03,2.3504455310569625,70,91,76,97,78,61,93,77,88
C-022,2023-05-22,11.372369825615914,85,89,95,93,75,99,69,77,92
C-023,2023-02-18,6.884931964331616,69,74,97,78,83,99,71,71,86
C-024,2023-08-31,1.6577081791895252,85,61,65,79,83,87,80,91,91
C-025,2023-11-27,6.306979152965288,99,86,85,82,62,87,82,94,71
C-026,2023-09-06,5.897562322696426,94,86,90,81,91,74,84,83,61
C-027,2023-01-28,2.5489493514822126,92,83,62,96,64,86,70,72,69
C-028,2023-09-29,8.698290362120169,99,76,90,85,85,97,100,99,71
C-029,2023-07-10,2.0459492946778455,94,94,92,74,91,91,87,60,77
C-030,2023-12-24,1.6261710094507373,94,79,71,64,93,88,95,87,99
C-031,2023-08-29,3.13202985307514,97,84,96,91,96,84,66,87,90
C-032,2023-06-22,13.487897420143202,95,86,70,70,87,80,94,95,70
C-033,2023-03-02,12.468371894386923,99,79,74,70,77,67,94,90,74
C-034,2023-08-08,13.818127717477367,91,81,100,76,65,63,69,77,81
C-035,2023-10-21,12.451536560288563,75,79,87,100,91,99,72,69,83
C-036,2023-03-03,11.718932572493598,71,98,79,87,99,65,79,98,73
C-037,2023-07-23,5.622953127401146,91,95,76,67,94,60,81,71,100
C-038,2023-04-02,6.136602562146541,94,94,67,78,89,62,61,88,95
C-039,2023-04-11,3.5570962393396117,70,99,93,67,76,91,95,72,73
C-040,2023-02-18,1.8883199799204515,99,70,91,77,68,70,70,70,98
C-041,2023-04-25,5.934858941174505,89,78,69,94,92,85,93,84,71
C-042,2023-04-28,3.2599624232247746,90,87,72,93,93,82,90,65,66
C-043,2023-04-09,6.8928087545863015,94,64,64,86,87,71,61,82,79
C-044,2023-08-13,10.328897616875073,69,72,99,85,93,94,63,98,76
C-045,2023-05-12,14.437265608445617,79,89,78,82,84,88,63,96,81
C-046,2023-08-26,9.935167238870145,62,83,71,64,65,74,85,71,61
C-047,2023-09-02,4.149685174471103,80,65,71,85,61,91,68,97,69
C-048,2023-01-20,3.049071800137469,85,62,76,69,64,90,94,91,73
C-049,2023-10-14,7.054983911805514,83,62,87,83,77,71,76,92,75
C-050,2023-05-12,2.972742186399296,70,65,72,96,64,79,100,96,63
C-051,2023-10-28,7.480045428083933,72,84,69,69,78,67,91,87,69
C-052,2023-03-01,2.564524236062918,98,80,67,78,85,65,66,100,68
C-053,2023-10-16,8.447781166425576,88,67,67,96,76,65,80,79,78
C-054,2023-12-21,5.071345601376467,62,72,69,74,93,85,82,92,62
C-055,2023-11-28,2.629372379852915,87,65,69,76,83,74,74,66,86
C-056,2023-11-19,7.638077679272966,68,80,72,73,97,87,80,96,95
C-057,2023-11-24,7.681182445329537,60,85,85,66,86,90,65,88,73
C-058,2023-03-30,1.746926945099955,82,85,65,60,81,87,71,96,86
C-059,2023-12-22,12.874293097926472,92,86,64,80,74,81,76,78,62
C-060,2023-03-27,14.963331246030535,99,83,68,74,66,81,87,70,91
C-061,2023-07-11,0.8981622526432664,75,92,61,86,67,64,76,96,79
C-062,2023-03-03,8.779019870122289,65,81,62,87,73,95,90,75,93
C-063,2023-04-27,2.6657592571972177,66,62,97,79,81,82,70,65,98
C-064,2023-06-18,6.788553808735946,67,100,71,86,87,60,100,83,100
C-065,2023-02-19,2.071630679899653,73,77,97,68,68,79,69,76,95
C-066,2023-10-18,13.420455415391308,79,61,90,64,62,82,78,86,83
C-067,2023-08-05,14.706576472205029,89,72,89,66,61,77,89,88,67
C-068,2023-05-20,1.757994761313037,78,97,76,67,88,73,81,89,66
C-069,2023-06-27,3.851328742174005,81,64,61,93,67,97,70,86,60
C-070,2023-04-18,11.459860087549382,70,90,97,76,91,62,80,95,91
C-071,2024-01-01,9.345885910238833,86,69,74,79,84,85,71,79,88
C-072,2023-03-19,11.206222128806122,75,80,89,97,99,68,89,64,86
C-073,2023-07-24,9.132853478120929,98,96,61,73,85,63,67,60,61
C-074,2023-04-20,14.128797478437974,72,90,74,92,63,61,87,82,74
C-075,2023-12-04,13.393418143416095,94,87,67,71,80,78,90,65,75
C-076,2023-12-14,12.552436806748384,88,80,86,99,87,89,96,96,98
C-077,2023-07-08,10.419009584177626,88,69,97,87,64,93,96,94,63
C-078,2023-10-10,8.464330099145108,77,79,75,93,74,86,76,77,62
C-079,2023-04-10,7.790064615405378,93,95,74,72,97,76,95,94,85
C-080,2023-02-15,14.545607489187335,65,65,86,97,74,78,86,79,92
C-081,2023-12-28,1.4395660357000368,86,74,85,75,69,88,83,66,72
C-082,2023-06-28,3.986988271200233,75,99,65,79,87,75,87,72,95
C-083,2023-07-21,4.219357245823454,70,66,94,86,88,100,84,60,93
C-084,2023-11-19,3.8296378450411788,61,75,80,99,98,91,89,90,96
C-085,2023-01-01,11.318073413147307,93,93,96,100,74,61,60,79,84
C-086,2023-10-23,11.176532301406345,80,81,69,84,64,74,83,71,67
C-087,2023-03-19,10.047543751615835,84,61,80,80,66,80,81,85,76
C-088,2023-09-03,7.0063066096186155,90,73,66,90,79,75,63,74,97
C-089,2023-09-27,11.058674081469295,93,69,71,93,80,63,89,93,73
C-090,2023-10-30,9.827720396103567,65,85,71,86,91,73,66,85,81
C-091,2023-05-25,4.160200341443126,83,89,99,60,91,76,85,66,98
C-092,2023-06-04,1.0748031360684827,77,80,96,98,69,71,63,100,95
C-093,2023-07-21,12.968145855922039,60,65,81,61,95,87,64,94,66
C-094,2023-03-09,1.0530178022963432,97,64,81,84,83,87,63,80,91
C-095,2023-03-22,12.820945793799966,92,84,91,63,87,65,68,74,84
C-096,2023-02-17,0.6158922917973725,79,67,96,61,68,95,91,67,71
C-097,2023-10-28,1.9435500867703301,60,62,63,94,87,64,71,73,61
C-098,2023-08-29,14.978983257342115,96,62,85,61,96,65,76,94,70
C-099,2023-11-09,4.863496555982739,65,93,63,85,61,96,77,100,95
C-100,2023-01-26,1.2662227936437533,74,69,92,69,81,67,69,75,68
C-101,2023-02-17,0.5738007046232663,73,85,62,66,61,74,87,89,99
C-102,2023-10-11,14.00341018085677,95,90,65,93,61,84,87,85,80
C-103,2023-02-24,9.540503338802916,80,70,82,85,89,100,71,62,69
C-104,2023-04-14,7.976259614260293,63,73,85,91,62,65,74,85,78
C-105,2023-03-24,12.348029073830292,96,71,93,81,98,64,83,68,72
C-106,2023-12-22,4.730588794156149,65,62,69,91,91,76,86,83,76
C-107,2023-10-21,13.397390210459497,88,78,93,84,79,65,85,64,63
C-108,2023-05-29,14.91468603843882,75,73,62,98,99,92,86,82,86
C-109,2023-04-26,14.556813963445773,72,81,89,70,78,61,88,61,81
C-110,2023-07-04,11.109986886724307,90,67,84,67,91,99,76,68,90
C-111,2023-04-30,14.240630169976093,62,63,69,71,62,71,68,74,88
C-112,2023-10-02,10.42666404057691,76,93,98,79,98,71,78,75,66
C-113,2023-07-02,3.801977057645684,63,73,71,90,69,76,68,66,100
C-114,2023-06-03,9.388775279431849,92,75,75,86,97,69,100,99,64
C-115,2023-07-19,8.939562204763426,76,68,96,73,64,82,98,69,75
C-116,2023-05-01,8.311532838612951,71,100,61,90,80,100,82,91,69
