Crew_ID,department,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken
C-001,Safety and Maintenance Support,2023-12-10,111.88,6.79,597.98,2.38,Sunny,Equipment_B,1,19.01,1,2023-01-01 03:44:00,1
C-002,Equipment Operation and Maintenance,2023-05-06,36.48,29.02,585.09,9.18,Sunny,Equipment_C,6,7.17,0,2023-01-01 08:15:00,2
C-003,Emergency and Contingency Tasks,2023-04-03,109.44,40.46,492.51,1.35,Cloudy,Equipment_D,9,10.99,0,2023-01-01 00:13:00,1
C-004,Aircraft and Passenger Operations,2023-01-20,29.01,9.13,569.49,3.16,Sunny,Equipment_A,3,10.79,1,2023-01-01 14:38:00,2
C-005,Aircraft Servicing,2023-03-15,64.09,41.58,508.85,5.3,Rainy,Equipment_D,1,9.08,0,2023-01-01 02:09:00,4
C-006,Communication and Coordination,2023-12-19,52.28,18.86,537.15,6.39,Rainy,Equipment_B,4,19.54,1,2023-01-01 09:50:00,3
C-007,Equipment Operation and Maintenance,2023-06-09,71.51,14.45,568.08,3.45,Rainy,Equipment_A,8,14.71,0,2023-01-01 03:21:00,4
C-008,Baggage and Cargo Handling,2023-06-06,76.63,53.98,514.53,8.71,Rainy,Equipment_C,9,8.86,0,2023-01-01 01:43:00,3
C-009,Equipment Operation and Maintenance,2023-08-04,89.4,50.98,503.11,3.25,Cloudy,Equipment_A,9,10.19,1,2023-01-01 20:20:00,2
C-010,Aircraft Servicing,2023-06-03,16.0,53.76,513.14,4.93,Sunny,Equipment_A,2,18.27,0,2023-01-01 02:39:00,3
C-011,Aircraft Servicing,2023-01-12,98.28,52.32,490.19,1.25,Rainy,Equipment_B,1,15.09,1,2023-01-01 17:48:00,1
C-012,Aircraft Servicing,2023-08-15,42.82,17.27,513.46,9.08,Windy,Equipment_D,8,1.46,0,2023-01-01 05:06:00,2
C-013,Equipment Operation and Maintenance,2023-01-12,93.91,8.88,549.93,8.5,Rainy,Equipment_A,3,13.76,1,2023-01-01 04:52:00,2
C-014,Aircraft and Passenger Operations,2023-08-29,109.7,23.64,497.69,3.39,Rainy,Equipment_B,7,7.1,0,2023-01-01 17:06:00,2
C-015,Equipment Operation and Maintenance,2023-04-18,38.84,10.33,495.45,8.65,Cloudy,Equipment_A,1,19.13,0,2023-01-01 01:31:00,1
C-016,Aircraft and Passenger Operations,2023-04-06,33.0,5.4,588.9,2.56,Rainy,Equipment_C,9,11.55,0,2023-01-01 13:34:00,3
C-017,Baggage and Cargo Handling,2023-08-02,18.49,24.46,582.77,8.07,Windy,Equipment_D,4,3.05,1,2023-01-01 03:56:00,4
C-018,Equipment Operation and Maintenance,2023-05-04,82.87,9.44,509.64,7.18,Sunny,Equipment_D,4,14.67,1,2023-01-01 21:01:00,4
C-019,Communication and Coordination,2023-05-15,13.83,13.21,565.96,1.04,Sunny,Equipment_D,4,9.73,1,2023-01-01 20:59:00,1
C-020,Baggage and Cargo Handling,2023-01-22,91.67,14.26,496.68,6.72,Rainy,Equipment_B,8,2.65,1,2023-01-01 07:31:00,1
C-021,Communication and Coordination,2023-03-15,81.1,32.71,593.36,5.66,Windy,Equipment_C,1,12.41,0,2023-01-01 23:09:00,4
C-022,Aircraft and Passenger Operations,2023-02-06,68.49,8.14,579.85,1.63,Sunny,Equipment_B,9,5.74,1,2023-01-01 18:59:00,1
C-023,Emergency and Contingency Tasks,2023-12-24,96.6,30.67,513.85,9.93,Cloudy,Equipment_B,8,3.57,0,2023-01-01 01:08:00,4
C-024,Communication and Coordination,2023-08-19,46.09,50.18,552.89,4.03,Rainy,Equipment_D,9,3.84,1,2023-01-01 17:54:00,2
C-025,Aircraft Servicing,2023-03-31,38.28,38.47,550.69,3.79,Windy,Equipment_C,5,7.18,0,2023-01-01 11:53:00,2
C-026,Emergency and Contingency Tasks,2023-09-23,99.02,37.05,481.72,8.54,Rainy,Equipment_C,4,7.7,0,2023-01-01 01:54:00,1
C-027,Equipment Operation and Maintenance,2023-04-16,79.13,6.78,553.34,6.73,Rainy,Equipment_D,5,17.17,1,2023-01-01 14:38:00,4
C-028,Emergency and Contingency Tasks,2023-07-18,99.56,52.49,574.4,1.37,Sunny,Equipment_A,7,7.68,0,2023-01-01 09:33:00,4
C-029,Communication and Coordination,2023-03-19,68.37,53.4,502.79,4.87,Cloudy,Equipment_D,4,4.37,0,2023-01-01 05:24:00,2
C-030,Communication and Coordination,2023-06-13,87.37,29.38,503.34,7.56,Cloudy,Equipment_D,3,18.97,0,2023-01-01 12:34:00,4
C-031,Aircraft Servicing,2023-05-23,84.26,31.33,494.7,4.93,Rainy,Equipment_B,2,19.71,0,2023-01-01 15:37:00,3
C-032,Safety and Maintenance Support,2023-04-02,25.23,30.75,544.07,5.5,Cloudy,Equipment_D,5,15.81,0,2023-01-01 11:10:00,1
C-033,Baggage and Cargo Handling,2023-07-10,44.32,56.66,565.47,1.55,Windy,Equipment_B,1,16.85,0,2023-01-01 10:59:00,2
C-034,Safety and Maintenance Support,2023-06-22,59.19,57.54,487.3,9.24,Rainy,Equipment_B,9,14.44,0,2023-01-01 00:53:00,3
C-035,Baggage and Cargo Handling,2023-08-21,43.53,9.14,516.81,1.43,Sunny,Equipment_B,7,3.94,1,2023-01-01 08:56:00,2
C-036,Aircraft and Passenger Operations,2023-03-26,54.17,47.92,499.99,4.23,Cloudy,Equipment_A,7,1.56,1,2023-01-01 15:51:00,1
C-037,Emergency and Contingency Tasks,2023-09-05,76.51,14.42,571.71,2.19,Cloudy,Equipment_A,2,12.58,1,2023-01-01 19:43:00,4
C-038,Safety and Maintenance Support,2023-11-03,80.73,40.29,492.35,8.05,Rainy,Equipment_B,2,2.05,0,2023-01-01 23:58:00,1
C-039,Aircraft and Passenger Operations,2023-10-12,75.92,39.03,573.04,7.12,Sunny,Equipment_A,4,1.71,1,2023-01-01 08:11:00,1
C-040,Baggage and Cargo Handling,2023-09-17,40.42,28.01,531.88,7.4,Sunny,Equipment_A,2,3.93,0,2023-01-01 13:27:00,3
C-041,Aircraft and Passenger Operations,2023-10-14,104.57,8.97,552.93,2.42,Windy,Equipment_A,7,16.67,0,2023-01-01 01:06:00,1
