crew_id,training_module,completion_date,score,feedback
C-001,Basic Safety Training,2023-04-15,74,Outstanding performance and engagement
C-001,Advanced Technical Operations,2023-12-01,100,Demonstrates great potential for advancement
C-001,Team Building,2023-05-21,98,Outstanding performance and engagement
C-001,Risk Assessment,2023-02-07,72,Demonstrates great potential for advancement
C-001,Communication Workshop,2023-11-21,80,Good progress but needs more confidence
C-001,Communication Workshop,2023-08-15,97,Good progress but needs more confidence
C-002,Equipment Handling,2023-11-02,83,Good progress but needs more confidence
C-002,Communication Workshop,2023-02-14,82,Outstanding performance and engagement
C-002,Team Building,2023-07-25,74,Good progress but needs more confidence
C-002,Emergency Response Protocol,2023-07-11,100,Strong theoretical knowledge but requires practice
C-002,Emergency Response Protocol,2023-05-09,98,Outstanding performance and engagement
C-002,Risk Assessment,2023-03-28,83,Excellent understanding of concepts
C-002,Leadership Development,2023-11-15,73,Strong theoretical knowledge but requires practice
C-002,Quality Management Systems,2023-08-26,76,Demonstrates great potential for advancement
C-003,Communication Workshop,2023-05-12,80,Demonstrates great potential for advancement
C-003,Communication Workshop,2023-01-22,79,Excellent understanding of concepts
C-003,Communication Workshop,2023-07-22,98,Strong theoretical knowledge but requires practice
C-003,Advanced Technical Operations,2023-07-30,76,Good progress but needs more confidence
C-004,Communication Workshop,2023-03-30,96,Excellent understanding of concepts
C-004,Communication Workshop,2023-10-31,79,Outstanding performance and engagement
C-004,Emergency Response Protocol,2023-07-04,72,Demonstrates great potential for advancement
C-004,Team Building,2024-03-16,70,Outstanding performance and engagement
C-004,Emergency Response Protocol,2024-02-22,75,Needs improvement in practical application
C-005,Communication Workshop,2023-10-28,89,Good progress but needs more confidence
C-005,Risk Assessment,2023-08-17,89,Needs improvement in practical application
C-005,Leadership Development,2023-07-24,75,Strong theoretical knowledge but requires practice
C-005,Leadership Development,2023-04-28,85,Excellent understanding of concepts
C-005,Leadership Development,2023-04-24,82,Outstanding performance and engagement
C-005,Leadership Development,2023-08-03,77,Good progress but needs more confidence
C-005,Quality Management Systems,2024-02-28,95,Strong theoretical knowledge but requires practice
C-005,Risk Assessment,2023-07-29,81,Good progress but needs more confidence
C-006,Equipment Handling,2023-12-09,94,Good progress but needs more confidence
C-006,Emergency Response Protocol,2023-10-14,74,Demonstrates great potential for advancement
C-006,Equipment Handling,2023-10-02,76,Strong theoretical knowledge but requires practice
C-007,Equipment Handling,2023-07-13,74,Strong theoretical knowledge but requires practice
C-007,Quality Management Systems,2023-09-25,97,Demonstrates great potential for advancement
C-007,Basic Safety Training,2023-04-13,100,Outstanding performance and engagement
C-007,Advanced Technical Operations,2023-12-16,97,Strong theoretical knowledge but requires practice
C-007,Basic Safety Training,2023-04-21,82,Strong theoretical knowledge but requires practice
C-007,Leadership Development,2024-01-03,71,Strong theoretical knowledge but requires practice
C-008,Advanced Technical Operations,2023-03-05,85,Outstanding performance and engagement
C-008,Advanced Technical Operations,2023-05-05,98,Strong theoretical knowledge but requires practice
C-008,Risk Assessment,2023-05-17,75,Excellent understanding of concepts
C-009,Advanced Technical Operations,2023-03-17,87,Excellent understanding of concepts
C-009,Communication Workshop,2023-08-23,72,Good progress but needs more confidence
C-009,Risk Assessment,2023-02-19,79,Needs improvement in practical application
C-009,Quality Management Systems,2023-07-01,80,Good progress but needs more confidence
C-009,Basic Safety Training,2023-06-19,74,Needs improvement in practical application
C-010,Quality Management Systems,2023-08-23,96,Good progress but needs more confidence
C-010,Emergency Response Protocol,2023-10-29,100,Outstanding performance and engagement
C-010,Leadership Development,2023-06-19,71,Needs improvement in practical application
C-010,Basic Safety Training,2024-03-11,89,Needs improvement in practical application
C-010,Communication Workshop,2023-09-14,87,Needs improvement in practical application
C-010,Emergency Response Protocol,2023-11-28,88,Needs improvement in practical application
C-010,Communication Workshop,2023-04-01,75,Strong theoretical knowledge but requires practice
C-011,Leadership Development,2023-10-29,81,Outstanding performance and engagement
C-011,Advanced Technical Operations,2023-09-03,73,Good progress but needs more confidence
C-011,Basic Safety Training,2023-06-29,90,Strong theoretical knowledge but requires practice
C-011,Leadership Development,2023-03-24,72,Outstanding performance and engagement
C-011,Leadership Development,2023-01-07,87,Good progress but needs more confidence
C-012,Risk Assessment,2023-11-12,99,Excellent understanding of concepts
C-012,Equipment Handling,2023-09-19,78,Needs improvement in practical application
C-012,Quality Management Systems,2024-03-15,100,Strong theoretical knowledge but requires practice
C-012,Risk Assessment,2023-06-26,90,Needs improvement in practical application
C-013,Basic Safety Training,2023-09-25,81,Demonstrates great potential for advancement
C-013,Basic Safety Training,2024-01-14,77,Outstanding performance and engagement
C-013,Leadership Development,2023-09-19,73,Strong theoretical knowledge but requires practice
C-013,Leadership Development,2023-09-25,75,Strong theoretical knowledge but requires practice
C-013,Communication Workshop,2024-03-01,83,Strong theoretical knowledge but requires practice
C-014,Advanced Technical Operations,2023-03-11,75,Strong theoretical knowledge but requires practice
C-014,Equipment Handling,2023-10-28,88,Strong theoretical knowledge but requires practice
C-014,Equipment Handling,2024-02-28,87,Demonstrates great potential for advancement
C-014,Basic Safety Training,2023-08-30,75,Demonstrates great potential for advancement
C-014,Communication Workshop,2023-05-23,85,Good progress but needs more confidence
C-014,Quality Management Systems,2024-01-03,84,Needs improvement in practical application
C-015,Emergency Response Protocol,2024-03-01,89,Needs improvement in practical application
C-015,Team Building,2024-01-05,84,Good progress but needs more confidence
C-015,Emergency Response Protocol,2023-03-29,94,Good progress but needs more confidence
C-015,Communication Workshop,2023-07-03,85,Demonstrates great potential for advancement
C-016,Equipment Handling,2024-02-08,74,Strong theoretical knowledge but requires practice
C-016,Quality Management Systems,2023-07-24,80,Strong theoretical knowledge but requires practice
C-016,Equipment Handling,2023-03-06,100,Strong theoretical knowledge but requires practice
C-016,Emergency Response Protocol,2023-02-08,91,Strong theoretical knowledge but requires practice
C-016,Advanced Technical Operations,2023-10-11,93,Outstanding performance and engagement
C-016,Team Building,2023-01-16,76,Needs improvement in practical application
C-016,Emergency Response Protocol,2023-03-13,80,Demonstrates great potential for advancement
C-016,Basic Safety Training,2024-02-05,96,Demonstrates great potential for advancement
C-017,Advanced Technical Operations,2023-10-03,87,Demonstrates great potential for advancement
