crew_id,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken,Location
C-234,2023-03-19,80.05,18.07,590.29,9.27,Windy,Equipment_A,5,4.73,0,2023-01-01 13:36:00,1,MT2
C-070,2023-04-09,90.47,31.89,508.53,2.84,Rainy,Equipment_B,5,13.89,1,2023-01-01 08:04:00,1,MT2
C-019,2023-07-05,87.55,55.27,568.74,1.32,Cloudy,Equipment_C,4,7.62,1,2023-01-01 23:31:00,4,BT1
C-109,2023-05-10,68.96,47.03,578.28,5.04,Cloudy,Equipment_C,1,6.82,0,2023-01-01 17:41:00,3,MT2
C-082,2023-12-01,81.26,59.46,576.06,7.73,Sunny,Equipment_B,6,7.43,0,2023-01-01 02:54:00,3,DT3
C-088,2023-07-21,93.11,26.12,535.01,2.56,Cloudy,Equipment_B,8,7.35,0,2023-01-01 23:55:00,1,BT2
C-046,2023-11-05,75.52,17.2,595.08,5.15,Cloudy,Equipment_C,5,10.87,1,2023-01-01 08:01:00,2,BT2
C-027,2023-09-25,43.16,43.09,503.8,8.33,Sunny,Equipment_A,9,14.93,0,2023-01-01 06:31:00,4,HT1
C-081,2023-03-07,19.56,46.62,588.3,1.63,Cloudy,Equipment_B,9,14.95,1,2023-01-01 17:12:00,4,BT2
C-078,2023-11-18,54.4,58.67,530.68,2.89,Rainy,Equipment_C,6,5.76,1,2023-01-01 06:51:00,1,DT3
C-011,2023-07-08,24.5,15.66,582.87,1.65,Rainy,Equipment_B,8,12.8,0,2023-01-01 06:16:00,4,DT1
C-029,2023-06-29,105.18,46.5,550.04,9.81,Rainy,Equipment_A,4,18.36,1,2023-01-01 13:20:00,1,DT1
C-226,2023-12-01,101.94,25.3,537.68,9.47,Rainy,Equipment_D,1,6.42,1,2023-01-01 19:05:00,3,HT1
C-242,2023-01-24,50.58,37.78,504.13,1.96,Sunny,Equipment_B,2,12.59,0,2023-01-01 01:23:00,4,DT1
C-097,2023-05-02,42.19,26.62,589.14,5.89,Windy,Equipment_D,1,9.55,0,2023-01-01 08:26:00,4,MT1
C-236,2023-09-28,25.46,17.87,506.74,1.04,Windy,Equipment_A,1,12.01,1,2023-01-01 09:18:00,4,DT3
C-062,2023-04-07,113.33,51.13,509.41,4.64,Sunny,Equipment_A,8,15.49,1,2023-01-01 23:43:00,3,MT1
C-069,2023-03-22,34.1,39.2,534.44,4.9,Sunny,Equipment_A,5,17.01,0,2023-01-01 02:55:00,3,MT1
C-026,2023-04-07,84.01,54.74,501.78,3.29,Sunny,Equipment_A,5,6.54,0,2023-01-01 06:59:00,4,DT2
C-220,2023-05-11,87.48,55.5,573.22,3.4,Rainy,Equipment_B,4,12.3,1,2023-01-01 22:43:00,1,DT2
C-105,2023-08-04,30.61,30.17,497.89,7.72,Windy,Equipment_B,5,16.11,1,2023-01-01 18:48:00,3,DT1
C-077,2023-05-23,117.51,10.67,500.07,6.66,Rainy,Equipment_B,8,17.63,1,2023-01-01 13:07:00,2,BT1
C-179,2023-04-22,97.29,31.74,579.23,7.08,Rainy,Equipment_A,6,15.25,0,2023-01-01 14:00:00,2,BT2
C-115,2023-11-14,64.62,28.97,505.62,2.49,Sunny,Equipment_D,7,19.68,0,2023-01-01 10:51:00,1,DT1
C-235,2023-02-26,24.34,52.69,537.4,1.71,Windy,Equipment_C,9,19.72,1,2023-01-01 02:32:00,2,BT2
C-133,2023-01-31,22.93,27.8,550.72,8.58,Windy,Equipment_A,2,15.16,0,2023-01-01 23:02:00,3,HT1
C-182,2023-08-04,89.28,13.55,482.41,6.55,Windy,Equipment_C,6,14.67,1,2023-01-01 20:13:00,2,MT1
C-041,2023-05-15,45.51,44.03,530.29,1.58,Rainy,Equipment_C,6,9.29,1,2023-01-01 13:24:00,4,DT1
C-069,2023-09-24,67.87,18.91,579.03,7.37,Cloudy,Equipment_A,8,10.08,1,2023-01-01 01:24:00,2,MT1
C-072,2023-09-22,101.29,30.52,594.38,8.66,Cloudy,Equipment_C,8,16.68,1,2023-01-01 13:44:00,3,BT2
C-190,2023-11-27,47.69,12.14,486.7,3.74,Cloudy,Equipment_C,9,2.99,1,2023-01-01 18:50:00,2,DT1
C-077,2023-10-02,35.29,56.79,510.36,3.79,Cloudy,Equipment_C,9,14.93,0,2023-01-01 19:46:00,4,BT1
