crew_id,training_module,completion_date,score,feedback
C-001,Team Building,2023-04-10,79,Demonstrates great potential for advancement
C-001,Quality Management Systems,2023-11-07,94,Strong theoretical knowledge but requires practice
C-001,Advanced Technical Operations,2023-02-19,86,Demonstrates great potential for advancement
C-001,Communication Workshop,2024-03-26,88,Outstanding performance and engagement
C-001,Advanced Technical Operations,2023-04-30,73,Excellent understanding of concepts
C-001,Leadership Development,2023-05-06,83,Needs improvement in practical application
C-001,Advanced Technical Operations,2023-05-12,92,Good progress but needs more confidence
C-001,Quality Management Systems,2024-02-04,99,Good progress but needs more confidence
C-002,Quality Management Systems,2023-08-11,75,Outstanding performance and engagement
C-002,Equipment Handling,2023-07-30,75,Demonstrates great potential for advancement
C-002,Communication Workshop,2023-05-25,98,Good progress but needs more confidence
C-003,Advanced Technical Operations,2024-02-07,100,Strong theoretical knowledge but requires practice
C-003,Basic Safety Training,2024-03-06,79,Good progress but needs more confidence
C-004,Emergency Response Protocol,2024-01-26,99,Strong theoretical knowledge but requires practice
C-004,Basic Safety Training,2023-06-03,73,Needs improvement in practical application
C-004,Communication Workshop,2023-05-18,91,Needs improvement in practical application
C-004,Emergency Response Protocol,2023-08-26,72,Needs improvement in practical application
C-004,Advanced Technical Operations,2023-05-17,93,Outstanding performance and engagement
C-004,Emergency Response Protocol,2023-03-01,83,Outstanding performance and engagement
C-004,Communication Workshop,2023-08-17,79,Needs improvement in practical application
C-004,Basic Safety Training,2023-09-17,85,Excellent understanding of concepts
C-005,Equipment Handling,2023-09-26,91,Excellent understanding of concepts
C-005,Team Building,2023-10-30,79,Outstanding performance and engagement
C-005,Quality Management Systems,2024-02-15,96,Outstanding performance and engagement
C-006,Advanced Technical Operations,2023-10-03,78,Demonstrates great potential for advancement
C-006,Team Building,2023-07-01,100,Good progress but needs more confidence
C-006,Emergency Response Protocol,2023-06-13,91,Demonstrates great potential for advancement
C-006,Communication Workshop,2023-11-15,97,Strong theoretical knowledge but requires practice
C-006,Advanced Technical Operations,2023-10-18,97,Strong theoretical knowledge but requires practice
C-006,Communication Workshop,2023-02-10,90,Good progress but needs more confidence
C-006,Communication Workshop,2023-12-15,79,Excellent understanding of concepts
C-006,Basic Safety Training,2023-03-10,89,Strong theoretical knowledge but requires practice
C-007,Risk Assessment,2023-08-25,97,Strong theoretical knowledge but requires practice
C-007,Emergency Response Protocol,2023-06-09,76,Excellent understanding of concepts
C-008,Risk Assessment,2023-05-20,72,Strong theoretical knowledge but requires practice
C-008,Risk Assessment,2023-05-10,90,Strong theoretical knowledge but requires practice
C-008,Communication Workshop,2024-01-28,78,Needs improvement in practical application
C-008,Advanced Technical Operations,2023-07-31,77,Demonstrates great potential for advancement
C-009,Leadership Development,2023-02-07,100,Good progress but needs more confidence
C-009,Communication Workshop,2023-04-03,90,Needs improvement in practical application
C-010,Communication Workshop,2023-08-15,77,Outstanding performance and engagement
C-010,Equipment Handling,2023-12-26,80,Strong theoretical knowledge but requires practice
C-011,Communication Workshop,2023-06-11,95,Outstanding performance and engagement
C-011,Communication Workshop,2023-06-05,88,Needs improvement in practical application
C-011,Risk Assessment,2024-03-08,95,Strong theoretical knowledge but requires practice
C-011,Advanced Technical Operations,2023-05-11,73,Needs improvement in practical application
C-011,Basic Safety Training,2023-05-29,82,Demonstrates great potential for advancement
C-012,Equipment Handling,2023-10-22,84,Needs improvement in practical application
C-012,Team Building,2023-04-07,72,Excellent understanding of concepts
C-012,Risk Assessment,2023-01-24,84,Strong theoretical knowledge but requires practice
C-012,Quality Management Systems,2023-11-07,93,Needs improvement in practical application
C-013,Quality Management Systems,2023-05-04,93,Outstanding performance and engagement
C-013,Communication Workshop,2023-01-19,79,Excellent understanding of concepts
C-013,Risk Assessment,2023-02-21,80,Good progress but needs more confidence
C-013,Quality Management Systems,2023-07-05,99,Demonstrates great potential for advancement
C-014,Team Building,2023-10-17,92,Good progress but needs more confidence
C-014,Communication Workshop,2023-08-01,91,Strong theoretical knowledge but requires practice
C-014,Team Building,2023-09-13,72,Demonstrates great potential for advancement
C-015,Advanced Technical Operations,2024-01-30,78,Outstanding performance and engagement
C-015,Leadership Development,2024-02-06,73,Demonstrates great potential for advancement
C-015,Risk Assessment,2023-01-08,92,Demonstrates great potential for advancement
C-015,Team Building,2023-04-01,79,Needs improvement in practical application
C-015,Risk Assessment,2023-07-14,90,Good progress but needs more confidence
C-016,Team Building,2024-01-03,76,Outstanding performance and engagement
C-016,Advanced Technical Operations,2023-04-27,75,Excellent understanding of concepts
C-016,Basic Safety Training,2023-04-27,78,Needs improvement in practical application
C-016,Communication Workshop,2023-09-21,100,Demonstrates great potential for advancement
C-016,Advanced Technical Operations,2023-08-12,77,Good progress but needs more confidence
