Crew_ID,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken,Location
C-216,2023-02-04,92.24,37.88,506.11,3.86,Rainy,Equipment_B,5,9.82,1,2023-01-01 07:22:00,2,HT1
C-167,2023-08-06,44.72,42.49,525.2,9.66,Sunny,Equipment_C,2,5.19,0,2023-01-01 10:24:00,3,DT3
C-142,2023-09-10,51.2,26.68,536.38,6.39,Cloudy,Equipment_B,1,13.82,1,2023-01-01 04:30:00,1,DT1
C-048,2023-05-03,72.9,59.38,584.76,3.97,Cloudy,Equipment_D,4,13.99,0,2023-01-01 11:23:00,1,HT1
C-222,2023-02-08,22.27,20.06,502.21,5.89,Sunny,Equipment_C,4,9.73,1,2023-01-01 06:06:00,2,DT3
C-243,2023-11-07,50.55,11.37,523.72,3.59,Rainy,Equipment_A,4,12.63,0,2023-01-01 04:36:00,1,DT3
C-004,2023-08-10,77.39,37.94,505.8,6.31,Cloudy,Equipment_B,5,6.16,1,2023-01-01 17:44:00,1,HT1
C-149,2023-12-12,72.95,5.28,578.47,5.07,Sunny,Equipment_B,6,18.37,1,2023-01-01 05:23:00,1,BT1
C-152,2023-02-28,112.24,46.94,570.4,3.33,Windy,Equipment_B,7,10.14,1,2023-01-01 15:15:00,2,BT1
C-200,2023-07-11,77.52,16.1,541.98,7.28,Windy,Equipment_A,8,14.72,1,2023-01-01 10:06:00,1,DT1
C-152,2023-10-05,27.05,35.15,517.83,3.07,Rainy,Equipment_C,4,18.39,1,2023-01-01 15:28:00,4,BT1
C-139,2023-12-28,23.65,26.65,518.82,4.77,Cloudy,Equipment_C,4,18.22,0,2023-01-01 07:20:00,1,MT2
C-143,2023-11-17,106.47,56.15,541.71,1.91,Sunny,Equipment_C,3,6.63,0,2023-01-01 07:49:00,4,DT1
C-206,2023-02-17,37.08,5.77,489.65,7.54,Sunny,Equipment_D,8,19.36,0,2023-01-01 18:18:00,4,BT2
C-051,2023-01-18,112.93,21.67,560.77,9.47,Windy,Equipment_C,7,14.41,1,2023-01-01 02:54:00,3,DT3
C-213,2023-11-23,80.3,46.83,529.62,4.14,Windy,Equipment_B,9,1.03,0,2023-01-01 18:09:00,2,DT1
C-105,2023-04-05,20.21,13.09,529.36,5.2,Cloudy,Equipment_D,5,18.83,0,2023-01-01 00:59:00,1,MT2
C-102,2023-02-02,86.5,12.23,499.32,9.99,Rainy,Equipment_A,6,13.01,0,2023-01-01 02:02:00,3,BT1
C-004,2023-10-19,94.56,48.48,564.33,3.93,Rainy,Equipment_B,3,11.37,1,2023-01-01 02:08:00,3,HT1
C-207,2023-03-21,52.81,26.64,526.5,7.25,Windy,Equipment_D,8,1.03,1,2023-01-01 23:20:00,1,HT1
C-181,2023-12-14,106.92,18.43,531.34,9.18,Windy,Equipment_C,1,1.79,1,2023-01-01 19:03:00,4,DT1
C-002,2023-09-13,51.74,7.37,560.09,3.96,Rainy,Equipment_B,8,3.43,1,2023-01-01 15:44:00,2,BT1
C-187,2023-05-28,23.66,37.77,523.03,2.93,Windy,Equipment_A,4,10.97,0,2023-01-01 15:18:00,4,MT1
C-091,2023-05-13,48.83,56.18,536.77,7.66,Rainy,Equipment_A,5,3.54,0,2023-01-01 20:54:00,1,HT1
C-126,2023-01-13,78.31,43.53,484.9,5.77,Rainy,Equipment_B,8,8.51,0,2023-01-01 15:41:00,2,HT1
C-010,2023-01-06,76.22,33.0,511.43,2.39,Cloudy,Equipment_C,3,9.82,0,2023-01-01 04:20:00,1,BT2
