Task ID,Crew ID
TSK0001,CRW0001
TSK0002,CRW0001
TSK0003,CRW0001
TSK0004,CRW0002
TSK0005,CRW0002
TSK0006,CRW0002
TSK0007,CRW0003
TSK0008,CRW0003
TSK0009,CRW0003
TSK0010,CRW0004
TSK0011,CRW0004
TSK0012,CRW0004
TSK0013,CRW0005
TSK0014,CRW0005
TSK0015,CRW0005
TSK0016,CRW0006
TSK0017,CRW0006
TSK0018,CRW0006
TSK0019,CRW0007
TSK0020,CRW0007
TSK0021,CRW0007
TSK0022,CRW0008
TSK0023,CRW0008
TSK0024,CRW0008
TSK0025,CRW0009
TSK0026,CRW0009
TSK0027,CRW0009
TSK0028,CRW0010
TSK0029,CRW0010
TSK0030,CRW0010
TSK0031,CRW0011
TSK0032,CRW0011
TSK0033,CRW0011
TSK0034,CRW0012
TSK0035,CRW0012
TSK0036,CRW0012
TSK0037,CRW0013
TSK0038,CRW0013
TSK0039,CRW0013
TSK0040,CRW0014
TSK0041,CRW0014
TSK0042,CRW0014
TSK0043,CRW0015
TSK0044,CRW0015
TSK0045,CRW0015
TSK0046,CRW0016
TSK0047,CRW0016
TSK0048,CRW0016
TSK0049,CRW0017
TSK0050,CRW0017
TSK0051,CRW0017
TSK0052,CRW0018
TSK0053,CRW0018
TSK0054,CRW0018
TSK0055,CRW0019
TSK0056,CRW0019
TSK0057,CRW0019
TSK0058,CRW0020
TSK0059,CRW0020
TSK0060,CRW0020
TSK0061,CRW0021
TSK0062,CRW0021
TSK0063,CRW0021
TSK0064,CRW0022
TSK0065,CRW0022
TSK0066,CRW0022
TSK0067,CRW0023
TSK0068,CRW0023
TSK0069,CRW0023
TSK0070,CRW0024
TSK0071,CRW0024
TSK0072,CRW0024
TSK0073,CRW0025
TSK0074,CRW0025
TSK0075,CRW0025
TSK0076,CRW0026
TSK0077,CRW0026
TSK0078,CRW0026
TSK0079,CRW0027
TSK0080,CRW0027
TSK0081,CRW0027
TSK0082,CRW0028
TSK0083,CRW0028
TSK0084,CRW0028
TSK0085,CRW0029
TSK0086,CRW0029
TSK0087,CRW0029
TSK0088,CRW0030
TSK0089,CRW0030
TSK0090,CRW0030
TSK0091,CRW0031
TSK0092,CRW0031
TSK0093,CRW0031
TSK0094,CRW0032
TSK0095,CRW0032
TSK0096,CRW0032
TSK0097,CRW0033
TSK0098,CRW0033
TSK0099,CRW0033
TSK0100,CRW0034
TSK0101,CRW0034
TSK0102,CRW0034
TSK0103,CRW0035
TSK0104,CRW0035
TSK0105,CRW0035
TSK0106,CRW0036
TSK0107,CRW0036
TSK0108,CRW0036
TSK0109,CRW0037
TSK0110,CRW0037
TSK0111,CRW0037
TSK0112,CRW0038
TSK0113,CRW0038
TSK0114,CRW0038
TSK0115,CRW0039
TSK0116,CRW0039
TSK0117,CRW0039
TSK0118,CRW0040
TSK0119,CRW0040
TSK0120,CRW0040
TSK0121,CRW0041
TSK0122,CRW0041
TSK0123,CRW0041
TSK0124,CRW0042
TSK0125,CRW0042
TSK0126,CRW0042
TSK0127,CRW0043
TSK0128,CRW0043
TSK0129,CRW0043
TSK0130,CRW0044
TSK0131,CRW0044
TSK0132,CRW0044
TSK0133,CRW0045
TSK0134,CRW0045
TSK0135,CRW0045
TSK0136,CRW0046
TSK0137,CRW0046
TSK0138,CRW0046
TSK0139,CRW0047
TSK0140,CRW0047
TSK0141,CRW0047
TSK0142,CRW0048
TSK0143,CRW0048
TSK0144,CRW0048
TSK0145,CRW0049
TSK0146,CRW0049
TSK0147,CRW0049
TSK0148,CRW0050
TSK0149,CRW0050
TSK0150,CRW0050
TSK0151,CRW0051
TSK0152,CRW0051
TSK0153,CRW0051
TSK0154,CRW0052
TSK0155,CRW0052
TSK0156,CRW0052
TSK0157,CRW0053
TSK0158,CRW0053
TSK0159,CRW0053
TSK0160,CRW0054
TSK0161,CRW0054
TSK0162,CRW0054
TSK0163,CRW0055
TSK0164,CRW0055
TSK0165,CRW0055
TSK0166,CRW0056
TSK0167,CRW0056
TSK0168,CRW0056
TSK0169,CRW0057
TSK0170,CRW0057
TSK0171,CRW0057
TSK0172,CRW0058
TSK0173,CRW0058
TSK0174,CRW0058
TSK0175,CRW0059
TSK0176,CRW0059
TSK0177,CRW0059
TSK0178,CRW0060
TSK0179,CRW0060
TSK0180,CRW0060
TSK0181,CRW0061
TSK0182,CRW0061
TSK0183,CRW0061
TSK0184,CRW0062
TSK0185,CRW0062
TSK0186,CRW0062
TSK0187,CRW0063
TSK0188,CRW0063
TSK0189,CRW0063
TSK0190,CRW0064
TSK0191,CRW0064
TSK0192,CRW0064
TSK0193,CRW0065
TSK0194,CRW0065
TSK0195,CRW0065
TSK0196,CRW0066
TSK0197,CRW0066
TSK0198,CRW0066
TSK0199,CRW0067
TSK0200,CRW0067
TSK0201,CRW0067
TSK0202,CRW0068
TSK0203,CRW0068
TSK0204,CRW0068
TSK0205,CRW0069
TSK0206,CRW0069
TSK0207,CRW0069
TSK0208,CRW0070
TSK0209,CRW0070
TSK0210,CRW0070
TSK0211,CRW0071
TSK0212,CRW0071
TSK0213,CRW0071
TSK0214,CRW0072
TSK0215,CRW0072
TSK0216,CRW0072
TSK0217,CRW0073
TSK0218,CRW0073
TSK0219,CRW0073
TSK0220,CRW0074
TSK0221,CRW0074
TSK0222,CRW0074
TSK0223,CRW0075
TSK0224,CRW0075
TSK0225,CRW0075
TSK0226,CRW0076
TSK0227,CRW0076
TSK0228,CRW0076
TSK0229,CRW0077
TSK0230,CRW0077
TSK0231,CRW0077
TSK0232,CRW0078
TSK0233,CRW0078
TSK0234,CRW0078
TSK0235,CRW0079
TSK0236,CRW0079
TSK0237,CRW0079
TSK0238,CRW0080
TSK0239,CRW0080
TSK0240,CRW0080
TSK0241,CRW0081
TSK0242,CRW0081
TSK0243,CRW0081
TSK0244,CRW0082
TSK0245,CRW0082
TSK0246,CRW0082
TSK0247,CRW0083
TSK0248,CRW0083
TSK0249,CRW0083
TSK0250,CRW0084
TSK0251,CRW0084
TSK0252,CRW0084
TSK0253,CRW0085
TSK0254,CRW0085
TSK0255,CRW0085
TSK0256,CRW0086
TSK0257,CRW0086
TSK0258,CRW0086
TSK0259,CRW0087
TSK0260,CRW0087
TSK0261,CRW0087
TSK0262,CRW0088
TSK0263,CRW0088
TSK0264,CRW0088
TSK0265,CRW0089
TSK0266,CRW0089
TSK0267,CRW0089
TSK0268,CRW0090
TSK0269,CRW0090
TSK0270,CRW0090
TSK0271,CRW0091
TSK0272,CRW0091
TSK0273,CRW0091
TSK0274,CRW0092
TSK0275,CRW0092
TSK0276,CRW0092
TSK0277,CRW0093
TSK0278,CRW0093
TSK0279,CRW0093
TSK0280,CRW0094
TSK0281,CRW0094
TSK0282,CRW0094
TSK0283,CRW0095
TSK0284,CRW0095
TSK0285,CRW0095
TSK0286,CRW0096
TSK0287,CRW0096
TSK0288,CRW0096
TSK0289,CRW0097
TSK0290,CRW0097
TSK0291,CRW0097
TSK0292,CRW0098
TSK0293,CRW0098
TSK0294,CRW0098
TSK0295,CRW0099
TSK0296,CRW0099
TSK0297,CRW0099
TSK0298,CRW0100
TSK0299,CRW0100
TSK0300,CRW0100
TSK0301,CRW0101
TSK0302,CRW0101
TSK0303,CRW0101
TSK0304,CRW0102
TSK0305,CRW0102
TSK0306,CRW0102
TSK0307,CRW0103
TSK0308,CRW0103
TSK0309,CRW0103
TSK0310,CRW0104
TSK0311,CRW0104
TSK0312,CRW0104
TSK0313,CRW0105
TSK0314,CRW0105
TSK0315,CRW0105
TSK0316,CRW0106
TSK0317,CRW0106
TSK0318,CRW0106
TSK0319,CRW0107
TSK0320,CRW0107
TSK0321,CRW0107
TSK0322,CRW0108
TSK0323,CRW0108
TSK0324,CRW0108
TSK0325,CRW0109
TSK0326,CRW0109
TSK0327,CRW0109
TSK0328,CRW0110
TSK0329,CRW0110
TSK0330,CRW0110
TSK0331,CRW0111
TSK0332,CRW0111
TSK0333,CRW0111
TSK0334,CRW0112
TSK0335,CRW0112
TSK0336,CRW0112
TSK0337,CRW0113
TSK0338,CRW0113
TSK0339,CRW0113
TSK0340,CRW0114
TSK0341,CRW0114
TSK0342,CRW0114
TSK0343,CRW0115
TSK0344,CRW0115
TSK0345,CRW0115
TSK0346,CRW0116
TSK0347,CRW0116
TSK0348,CRW0116
TSK0349,CRW0117
TSK0350,CRW0117
TSK0351,CRW0117
TSK0352,CRW0118
TSK0353,CRW0118
TSK0354,CRW0118
TSK0355,CRW0119
TSK0356,CRW0119
TSK0357,CRW0119
TSK0358,CRW0120
TSK0359,CRW0120
TSK0360,CRW0120
TSK0361,CRW0121
TSK0362,CRW0121
TSK0363,CRW0121
TSK0364,CRW0122
TSK0365,CRW0122
TSK0366,CRW0122
TSK0367,CRW0123
TSK0368,CRW0123
TSK0369,CRW0123
TSK0370,CRW0124
TSK0371,CRW0124
TSK0372,CRW0124
TSK0373,CRW0125
TSK0374,CRW0125
TSK0375,CRW0125
TSK0376,CRW0126
TSK0377,CRW0126
TSK0378,CRW0126
TSK0379,CRW0127
TSK0380,CRW0127
TSK0381,CRW0127
TSK0382,CRW0128
TSK0383,CRW0128
TSK0384,CRW0128
TSK0385,CRW0129
TSK0386,CRW0129
TSK0387,CRW0129
TSK0388,CRW0130
TSK0389,CRW0130
TSK0390,CRW0130
TSK0391,CRW0131
TSK0392,CRW0131
TSK0393,CRW0131
TSK0394,CRW0132
TSK0395,CRW0132
TSK0396,CRW0132
TSK0397,CRW0133
TSK0398,CRW0133
TSK0399,CRW0133
TSK0400,CRW0134
TSK0401,CRW0134
TSK0402,CRW0134
TSK0403,CRW0135
TSK0404,CRW0135
TSK0405,CRW0135
TSK0406,CRW0136
