task_ID,Gate_number,Floor_No,shift_no,date,Number_of_Personnel,crew_demand
T-001,0,0,1,2023-01-18,48,2
T-001,0,0,1,2023-01-16,48,0
T-001,0,0,1,2023-01-12,48,3
T-001,0,0,1,2023-01-08,48,1
T-001,0,0,1,2023-02-07,48,1
T-001,0,0,1,2023-02-03,48,3
T-001,0,0,1,2023-02-28,48,2
T-001,0,0,1,2023-02-26,48,-1
T-001,0,0,1,2023-03-18,48,5
T-001,0,0,1,2023-03-30,48,1
T-001,0,0,1,2023-03-22,48,-2
T-001,0,0,1,2023-03-19,48,4
T-001,0,0,1,2023-04-27,48,5
T-001,0,0,1,2023-04-16,48,5
T-001,0,0,1,2023-04-14,48,2
T-001,0,0,1,2023-04-06,48,1
T-001,0,0,1,2023-05-28,48,3
T-001,0,0,1,2023-05-26,48,0
T-001,0,0,1,2023-05-14,48,1
T-001,0,0,1,2023-05-13,48,5
T-001,0,0,1,2023-06-09,48,2
T-001,0,0,1,2023-06-25,48,2
T-001,0,0,1,2023-06-19,48,3
T-001,0,0,1,2023-06-20,48,5
T-001,0,0,1,2023-07-22,48,2
T-001,0,0,1,2023-07-04,48,1
T-001,0,0,1,2023-07-10,48,-2
T-001,0,0,1,2023-07-31,48,0
T-001,0,0,1,2023-08-04,48,-2
T-001,0,0,1,2023-08-05,48,1
T-001,0,0,1,2023-08-22,48,2
T-001,0,0,1,2023-08-08,48,-1
T-001,0,0,1,2023-09-16,48,2
T-001,0,0,1,2023-09-14,48,-2
T-001,0,0,1,2023-09-24,48,5
T-001,0,0,1,2023-09-29,48,3
T-001,0,0,1,2023-10-12,48,-1
T-001,0,0,1,2023-10-21,48,4
T-001,0,0,1,2023-10-16,48,4
T-001,0,0,1,2023-10-30,48,5
T-001,0,0,1,2023-11-01,48,3
T-001,0,0,1,2023-11-13,48,-1
T-001,0,0,1,2023-11-27,48,0
T-001,0,0,1,2023-11-09,48,-1
T-001,0,0,1,2023-12-24,48,5
T-001,0,0,1,2023-12-22,48,5
T-001,0,0,1,2023-12-27,48,1
T-001,0,0,1,2023-12-25,48,-1
T-001,0,0,2,2023-01-18,48,-1
T-001,0,0,2,2023-01-16,48,4
T-001,0,0,2,2023-01-12,48,3
T-001,0,0,2,2023-01-08,48,-1
T-001,0,0,2,2023-02-07,48,4
T-001,0,0,2,2023-02-03,48,0
T-001,0,0,2,2023-02-28,48,4
T-001,0,0,2,2023-02-26,48,5
T-001,0,0,2,2023-03-18,48,5
T-001,0,0,2,2023-03-30,48,2
T-001,0,0,2,2023-03-22,48,0
T-001,0,0,2,2023-03-19,48,-2
T-001,0,0,2,2023-04-27,48,-1
T-001,0,0,2,2023-04-16,48,-1
T-001,0,0,2,2023-04-14,48,1
T-001,0,0,2,2023-04-06,48,3
