task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel,Cluster,crew_demand,shift_no,date
T-001,0,0,3,48,0,1,1,2023-02-25
T-001,0,0,3,48,0,8,1,2023-02-02
T-001,0,0,3,48,0,9,1,2023-07-07
T-001,0,0,3,48,0,5,1,2023-07-15
T-001,0,0,3,48,0,9,1,2023-05-19
T-001,0,0,3,48,0,2,1,2023-05-22
T-001,0,0,3,48,0,10,1,2023-05-16
T-001,0,0,3,48,0,1,1,2023-05-02
T-001,0,0,3,48,0,3,1,2023-07-03
T-001,0,0,3,48,0,10,1,2023-06-07
T-001,0,0,3,48,0,6,1,2023-02-15
T-001,0,0,3,48,0,2,1,2023-05-18
T-001,0,0,3,48,0,9,1,2023-12-12
T-001,0,0,3,48,0,10,1,2023-10-04
T-001,0,0,3,48,0,3,1,2023-05-19
T-001,0,0,3,48,0,2,1,2023-04-26
T-001,0,0,3,48,0,6,1,2023-01-06
T-001,0,0,3,48,0,7,1,2023-05-19
T-001,0,0,3,48,0,6,1,2023-05-07
T-001,0,0,3,48,0,0,1,2023-11-15
T-001,0,0,3,48,0,7,1,2023-10-25
T-001,0,0,3,48,0,9,1,2023-07-18
T-001,0,0,3,48,0,8,1,2023-08-14
T-001,0,0,3,48,0,9,1,2023-08-27
T-001,0,0,3,48,0,6,1,2023-10-24
T-001,0,0,3,48,0,3,1,2023-09-10
T-001,0,0,3,48,0,1,1,2023-05-25
T-001,0,0,3,48,0,3,1,2023-10-01
T-001,0,0,3,48,0,0,1,2023-10-13
T-001,0,0,3,48,0,10,1,2023-01-04
T-001,0,0,3,48,0,4,1,2023-07-01
T-001,0,0,3,48,0,4,1,2023-01-15
T-001,0,0,3,48,0,8,1,2023-03-28
T-001,0,0,3,48,0,9,1,2023-05-08
T-001,0,0,3,48,0,6,1,2023-08-07
T-001,0,0,3,48,0,2,1,2023-01-01
T-001,0,0,3,48,0,5,1,2023-07-23
T-001,0,0,3,48,0,9,1,2023-11-18
T-001,0,0,3,48,0,2,1,2023-12-06
T-001,0,0,3,48,0,10,1,2023-04-11
T-001,0,0,3,48,0,9,2,2023-09-17
T-001,0,0,3,48,0,8,2,2023-11-02
T-001,0,0,3,48,0,1,2,2023-09-06
T-001,0,0,3,48,0,10,2,2023-02-15
T-001,0,0,3,48,0,0,2,2023-12-11
T-001,0,0,3,48,0,8,2,2023-05-11
T-001,0,0,3,48,0,4,2,2023-07-28
T-001,0,0,3,48,0,2,2,2023-07-03
T-001,0,0,3,48,0,5,2,2023-08-21
T-001,0,0,3,48,0,1,2,2023-01-08
T-001,0,0,3,48,0,3,2,2023-10-06
T-001,0,0,3,48,0,2,2,2023-05-15
T-001,0,0,3,48,0,3,2,2023-06-12
T-001,0,0,3,48,0,10,2,2023-08-26
T-001,0,0,3,48,0,4,2,2023-08-27
T-001,0,0,3,48,0,7,2,2023-09-17
T-001,0,0,3,48,0,5,2,2023-06-13
T-001,0,0,3,48,0,3,2,2023-10-30
T-001,0,0,3,48,0,8,2,2023-01-30
T-001,0,0,3,48,0,8,2,2023-01-17
T-001,0,0,3,48,0,0,2,2023-03-24
T-001,0,0,3,48,0,1,2,2023-07-01
T-001,0,0,3,48,0,1,2,2023-06-04
T-001,0,0,3,48,0,8,2,2023-02-09
T-001,0,0,3,48,0,0,2,2023-08-31
T-001,0,0,3,48,0,8,2,2023-03-06
T-001,0,0,3,48,0,1,2,2023-07-25
T-001,0,0,3,48,0,7,2,2023-01-24
T-001,0,0,3,48,0,6,2,2023-01-27
T-001,0,0,3,48,0,5,2,2023-07-08
T-001,0,0,3,48,0,5,2,2023-12-28
T-001,0,0,3,48,0,10,2,2023-05-15
T-001,0,0,3,48,0,9,2,2023-06-09
T-001,0,0,3,48,0,8,2,2023-05-28
T-001,0,0,3,48,0,0,2,2023-10-04
T-001,0,0,3,48,0,2,2,2023-06-03
T-001,0,0,3,48,0,7,2,2023-04-09
T-001,0,0,3,48,0,8,2,2023-08-30
T-001,0,0,3,48,0,3,2,2023-03-15
T-001,0,0,3,48,0,0,2,2023-04-14
T-001,0,0,3,48,0,4,3,2023-07-11
T-001,0,0,3,48,0,7,3,2023-02-27
T-001,0,0,3,48,0,7,3,2023-05-20
T-001,0,0,3,48,0,1,3,2023-05-18
T-001,0,0,3,48,0,1,3,2023-01-29
T-001,0,0,3,48,0,7,3,2023-07-26
T-001,0,0,3,48,0,4,3,2023-02-13
T-001,0,0,3,48,0,10,3,2023-02-16
T-001,0,0,3,48,0,4,3,2023-04-29
T-001,0,0,3,48,0,9,3,2023-05-23
T-001,0,0,3,48,0,6,3,2023-06-04
T-001,0,0,3,48,0,8,3,2023-04-22
T-001,0,0,3,48,0,5,3,2023-01-04
T-001,0,0,3,48,0,0,3,2023-03-15
T-001,0,0,3,48,0,9,3,2023-10-18
T-001,0,0,3,48,0,3,3,2023-12-09
T-001,0,0,3,48,0,0,3,2023-11-11
