Crew_ID,task_ID,task_Name,Floor_No,Gate_number,Shift_No
C-001,T-001,Aircraft Marshalling,0,0,1
C-002,T-001,Aircraft Marshalling,0,0,1
C-003,T-001,Aircraft Marshalling,0,0,1
C-004,T-001,Aircraft Marshalling,0,0,1
C-005,T-001,Aircraft Marshalling,0,0,1
C-006,T-001,Aircraft Marshalling,0,0,1
C-007,T-001,Aircraft Marshalling,0,0,1
C-008,T-001,Aircraft Marshalling,0,0,1
C-009,T-001,Aircraft Marshalling,0,0,1
C-010,T-001,Aircraft Marshalling,0,0,1
C-011,T-002,Passenger Assistance,0,0,1
C-012,T-002,Passenger Assistance,0,0,1
C-013,T-002,Passenger Assistance,0,0,1
C-014,T-002,Passenger Assistance,0,0,1
C-015,T-002,Passenger Assistance,0,0,1
C-016,T-002,Passenger Assistance,0,0,1
C-017,T-002,Passenger Assistance,0,0,1
C-018,T-002,Passenger Assistance,0,0,1
C-019,T-002,Passenger Assistance,0,0,1
C-020,T-002,Passenger Assistance,0,0,1
C-021,T-002,Passenger Assistance,0,0,1
C-022,T-002,Passenger Assistance,0,0,1
C-023,T-002,Passenger Assistance,0,0,1
C-024,T-002,Passenger Assistance,0,0,1
C-025,T-002,Passenger Assistance,0,0,1
C-026,T-003,Loading and Unloading Baggage,0,0,1
C-027,T-003,Loading and Unloading Baggage,0,0,1
C-028,T-003,Loading and Unloading Baggage,0,0,1
C-029,T-003,Loading and Unloading Baggage,0,0,1
C-030,T-003,Loading and Unloading Baggage,0,0,1
C-031,T-003,Loading and Unloading Baggage,0,0,1
C-032,T-003,Loading and Unloading Baggage,0,0,1
C-033,T-003,Loading and Unloading Baggage,0,0,1
C-034,T-003,Loading and Unloading Baggage,0,0,1
C-035,T-003,Loading and Unloading Baggage,0,0,1
C-036,T-003,Loading and Unloading Baggage,0,0,1
C-037,T-003,Loading and Unloading Baggage,0,0,1
C-038,T-003,Loading and Unloading Baggage,0,0,1
C-039,T-004,Baggage Sorting,0,0,1
C-040,T-004,Baggage Sorting,0,0,1
C-041,T-004,Baggage Sorting,0,0,1
C-042,T-004,Baggage Sorting,0,0,1
C-043,T-004,Baggage Sorting,0,0,1
C-044,T-004,Baggage Sorting,0,0,1
C-045,T-004,Baggage Sorting,0,0,1
C-046,T-004,Baggage Sorting,0,0,1
C-047,T-004,Baggage Sorting,0,0,1
C-048,T-004,Baggage Sorting,0,0,1
C-049,T-004,Baggage Sorting,0,0,1
C-050,T-004,Baggage Sorting,0,0,1
C-051,T-005,Cargo Management,0,0,1
C-052,T-005,Cargo Management,0,0,1
C-053,T-005,Cargo Management,0,0,1
C-054,T-005,Cargo Management,0,0,1
C-055,T-005,Cargo Management,0,0,1
C-056,T-005,Cargo Management,0,0,1
C-057,T-005,Cargo Management,0,0,1
C-058,T-005,Cargo Management,0,0,1
C-059,T-005,Cargo Management,0,0,1
C-060,T-005,Cargo Management,0,0,1
C-061,T-005,Cargo Management,0,0,1
C-062,T-005,Cargo Management,0,0,1
C-063,T-005,Cargo Management,0,0,1
C-064,T-006,Refueling,0,0,1
C-065,T-006,Refueling,0,0,1
C-066,T-006,Refueling,0,0,1
C-067,T-006,Refueling,0,0,1
C-068,T-006,Refueling,0,0,1
C-069,T-006,Refueling,0,0,1
C-070,T-006,Refueling,0,0,1
C-071,T-006,Refueling,0,0,1
C-072,T-006,Refueling,0,0,1
C-073,T-006,Refueling,0,0,1
C-074,T-006,Refueling,0,0,1
C-075,T-006,Refueling,0,0,1
C-076,T-007,Cleaning,0,0,1
C-077,T-007,Cleaning,0,0,1
C-078,T-007,Cleaning,0,0,1
C-079,T-007,Cleaning,0,0,1
C-080,T-007,Cleaning,0,0,1
C-081,T-007,Cleaning,0,0,1
C-082,T-007,Cleaning,0,0,1
C-083,T-007,Cleaning,0,0,1
C-084,T-007,Cleaning,0,0,1
C-085,T-007,Cleaning,0,0,1
C-086,T-008,De-icing,0,0,1
C-087,T-008,De-icing,0,0,1
C-088,T-008,De-icing,0,0,1
C-089,T-008,De-icing,0,0,1
C-090,T-008,De-icing,0,0,1
C-091,T-008,De-icing,0,0,1
C-092,T-008,De-icing,0,0,1
C-093,T-008,De-icing,0,0,1
C-094,T-008,De-icing,0,0,1
C-095,T-008,De-icing,0,0,1
C-096,T-008,De-icing,0,0,1
C-097,T-008,De-icing,0,0,1
C-098,T-008,De-icing,0,0,1
C-099,T-009,Water and Waste Services,0,0,1
C-100,T-009,Water and Waste Services,0,0,1
C-101,T-009,Water and Waste Services,0,0,1
C-102,T-009,Water and Waste Services,0,0,1
C-103,T-009,Water and Waste Services,0,0,1
C-104,T-009,Water and Waste Services,0,0,1
C-105,T-009,Water and Waste Services,0,0,1
C-106,T-009,Water and Waste Services,0,0,1
C-107,T-009,Water and Waste Services,0,0,1
C-108,T-009,Water and Waste Services,0,0,1
C-109,T-009,Water and Waste Services,0,0,1
C-110,T-010,Aircraft Inspections,0,0,1
C-111,T-010,Aircraft Inspections,0,0,1
C-112,T-010,Aircraft Inspections,0,0,1
C-113,T-010,Aircraft Inspections,0,0,1
C-114,T-010,Aircraft Inspections,0,0,1
C-115,T-010,Aircraft Inspections,0,0,1
C-116,T-010,Aircraft Inspections,0,0,1
C-117,T-010,Aircraft Inspections,0,0,1
C-118,T-010,Aircraft Inspections,0,0,1
C-119,T-010,Aircraft Inspections,0,0,1
C-120,T-010,Aircraft Inspections,0,0,1
C-121,T-010,Aircraft Inspections,0,0,1
C-122,T-010,Aircraft Inspections,0,0,1
C-123,T-011,Ground Power Unit Operations,0,0,1
C-124,T-011,Ground Power Unit Operations,0,0,1
C-125,T-011,Ground Power Unit Operations,0,0,1
C-126,T-011,Ground Power Unit Operations,0,0,1
C-127,T-011,Ground Power Unit Operations,0,0,1
C-128,T-011,Ground Power Unit Operations,0,0,1
C-129,T-011,Ground Power Unit Operations,0,0,1
C-130,T-011,Ground Power Unit Operations,0,0,1
C-131,T-011,Ground Power Unit Operations,0,0,1
C-132,T-011,Ground Power Unit Operations,0,0,1
C-133,T-011,Ground Power Unit Operations,0,0,1
C-134,T-011,Ground Power Unit Operations,0,0,1
C-135,T-011,Ground Power Unit Operations,0,0,1
C-136,T-011,Ground Power Unit Operations,0,0,1
C-137,T-012,Safety Zone Maintenance,0,0,1
C-138,T-012,Safety Zone Maintenance,0,0,1
C-139,T-012,Safety Zone Maintenance,0,0,1
C-140,T-012,Safety Zone Maintenance,0,0,1
C-141,T-012,Safety Zone Maintenance,0,0,1
C-142,T-012,Safety Zone Maintenance,0,0,1
C-143,T-012,Safety Zone Maintenance,0,0,1
C-144,T-012,Safety Zone Maintenance,0,0,1
C-145,T-012,Safety Zone Maintenance,0,0,1
C-146,T-012,Safety Zone Maintenance,0,0,1
C-147,T-012,Safety Zone Maintenance,0,0,1
C-148,T-012,Safety Zone Maintenance,0,0,1
C-149,T-012,Safety Zone Maintenance,0,0,1
C-150,T-013,Pushback and Towing,0,0,1
C-151,T-013,Pushback and Towing,0,0,1
C-152,T-013,Pushback and Towing,0,0,1
C-153,T-013,Pushback and Towing,0,0,1
C-154,T-013,Pushback and Towing,0,0,1
