task_ID,Gate_number,Floor_No,shift_no,date,Number_of_Personnel,crew_demand
T-001,0,0,1,2023-01-16,45,2
T-001,0,0,1,2023-01-04,45,5
T-001,0,0,1,2023-01-01,45,2
T-001,0,0,1,2023-01-07,45,0
T-001,0,0,1,2023-02-27,45,-2
T-001,0,0,1,2023-02-12,45,1
T-001,0,0,1,2023-02-20,45,4
T-001,0,0,1,2023-02-22,45,0
T-001,0,0,1,2023-03-30,45,-1
T-001,0,0,1,2023-03-04,45,2
T-001,0,0,1,2023-03-28,45,4
T-001,0,0,1,2023-03-24,45,-2
T-001,0,0,1,2023-04-06,45,-2
T-001,0,0,1,2023-04-13,45,2
T-001,0,0,1,2023-04-17,45,3
T-001,0,0,1,2023-04-12,45,2
T-001,0,0,1,2023-05-24,45,3
T-001,0,0,1,2023-05-19,45,4
T-001,0,0,1,2023-05-14,45,5
T-001,0,0,1,2023-05-11,45,-1
T-001,0,0,1,2023-06-05,45,-1
T-001,0,0,1,2023-06-23,45,1
T-001,0,0,1,2023-06-04,45,2
T-001,0,0,1,2023-06-26,45,-2
T-001,0,0,1,2023-07-07,45,5
T-001,0,0,1,2023-07-23,45,2
T-001,0,0,1,2023-07-11,45,2
T-001,0,0,1,2023-07-18,45,1
T-001,0,0,1,2023-08-16,45,-2
T-001,0,0,1,2023-08-23,45,0
T-001,0,0,1,2023-08-29,45,2
T-001,0,0,1,2023-08-18,45,4
T-001,0,0,1,2023-09-08,45,-1
T-001,0,0,1,2023-09-18,45,4
T-001,0,0,1,2023-09-27,45,2
T-001,0,0,1,2023-09-19,45,1
T-001,0,0,1,2023-10-21,45,-1
T-001,0,0,1,2023-10-27,45,0
T-001,0,0,1,2023-10-16,45,0
T-001,0,0,1,2023-10-09,45,0
T-001,0,0,1,2023-11-28,45,3
T-001,0,0,1,2023-11-06,45,-2
T-001,0,0,1,2023-11-19,45,-2
T-001,0,0,1,2023-11-16,45,5
T-001,0,0,1,2023-12-12,45,0
T-001,0,0,1,2023-12-18,45,4
T-001,0,0,1,2023-12-11,45,5
T-001,0,0,1,2023-12-30,45,5
T-001,0,0,2,2023-01-16,45,0
T-001,0,0,2,2023-01-04,45,0
T-001,0,0,2,2023-01-01,45,5
T-001,0,0,2,2023-01-07,45,4
T-001,0,0,2,2023-02-27,45,5
T-001,0,0,2,2023-02-12,45,2
T-001,0,0,2,2023-02-20,45,-2
T-001,0,0,2,2023-02-22,45,-1
T-001,0,0,2,2023-03-30,45,2
T-001,0,0,2,2023-03-04,45,0
T-001,0,0,2,2023-03-28,45,-2
T-001,0,0,2,2023-03-24,45,1
T-001,0,0,2,2023-04-06,45,-1
T-001,0,0,2,2023-04-13,45,3
T-001,0,0,2,2023-04-17,45,5
T-001,0,0,2,2023-04-12,45,-1
T-001,0,0,2,2023-05-24,45,0
T-001,0,0,2,2023-05-19,45,1
T-001,0,0,2,2023-05-14,45,2
T-001,0,0,2,2023-05-11,45,3
T-001,0,0,2,2023-06-05,45,-2
T-001,0,0,2,2023-06-23,45,-2
T-001,0,0,2,2023-06-04,45,-1
T-001,0,0,2,2023-06-26,45,1
T-001,0,0,2,2023-07-07,45,1
T-001,0,0,2,2023-07-23,45,4
T-001,0,0,2,2023-07-11,45,0
T-001,0,0,2,2023-07-18,45,-2
T-001,0,0,2,2023-08-16,45,2
T-001,0,0,2,2023-08-23,45,-1
T-001,0,0,2,2023-08-29,45,-1
T-001,0,0,2,2023-08-18,45,-2
T-001,0,0,2,2023-09-08,45,2
T-001,0,0,2,2023-09-18,45,5
T-001,0,0,2,2023-09-27,45,-2
T-001,0,0,2,2023-09-19,45,5
T-001,0,0,2,2023-10-21,45,4
T-001,0,0,2,2023-10-27,45,5
T-001,0,0,2,2023-10-16,45,0
T-001,0,0,2,2023-10-09,45,0
