Task_ID,Gate_number,Floor_No,Shift_no,Actual,Predicted
T-002,23,1,3,-1.0,0.0
T-005,25,1,4,1.0,1.0
T-008,12,1,1,2.0,2.0
T-009,7,1,2,-1.0000000000000002,-1.0
T-019,20,1,2,-2.0,-1.0
T-004,25,1,2,1.0,1.0
T-013,6,1,1,0.0,-1.0
T-011,22,1,2,2.0,1.0
T-012,1,1,3,2.0,3.0
T-013,9,1,2,-1.0000000000000002,-1.0
T-016,12,1,1,1.0,0.0
T-004,25,1,2,0.0,-0.0
T-002,3,1,4,2.0,2.0
T-003,24,1,1,4.0,3.0
T-007,15,1,3,2.0,1.0
T-001,15,1,3,1.0,-0.0
T-011,3,1,3,-1.0000000000000002,-1.0
T-011,14,1,1,1.0,-0.0
T-004,25,1,2,3.0,2.0
T-018,23,1,2,-2.0,-2.0
T-013,4,1,3,2.0,2.0
T-018,23,1,2,0.0,-1.0
T-002,12,1,3,-1.0000000000000002,-1.0
T-003,23,1,4,-2.0,-1.0
T-003,28,1,4,1.0,1.0
T-019,1,1,4,1.0,0.0
T-011,6,1,3,-2.0,-1.0
T-002,12,1,2,-2.0,-1.0
T-019,10,1,1,1.0,2.0
T-016,12,1,3,-2.0,-1.0
T-010,4,1,2,-2.0,-1.0
T-011,22,1,4,3.0,3.0
T-015,21,1,3,1.0,0.0
T-005,11,1,1,1.0,0.0
T-008,27,1,4,2.0,3.0
T-009,19,1,3,-1.0,-0.0
T-019,21,1,3,2.0,2.0
T-016,19,1,1,0.0,-1.0
T-004,25,1,4,-2.0,-2.0
T-019,17,1,4,-1.0000000000000002,0.0
T-004,7,1,2,2.0,1.0
T-007,8,1,3,2.0,2.0
T-004,10,1,2,2.0,1.0
T-008,16,1,1,-1.0000000000000002,-1.0
T-017,24,1,3,3.0,3.0
T-011,0,0,2,-1.0000000000000002,-1.0
T-017,4,1,4,-2.0,-2.0
T-010,19,1,2,-1.0,-1.0
T-017,28,1,1,3.0,2.0
T-017,2,1,4,-2.0,-1.0
T-008,15,1,4,-1.0000000000000002,0.0
T-011,20,1,4,-2.0,-2.0
T-011,3,1,1,-1.0000000000000002,-1.0
T-007,27,1,4,3.0000000000000004,1.0
T-013,16,1,3,-2.0,-1.0
T-008,7,1,4,-2.0,-1.0
