task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel
T-001,0,0,3,45
T-001,1,1,3,4
T-001,1,2,3,4
T-001,1,3,3,4
T-001,1,4,3,4
T-001,1,5,3,4
T-001,1,6,3,4
T-001,1,7,3,4
T-001,1,8,3,4
T-001,1,9,3,4
T-001,1,10,3,4
T-001,1,11,3,4
T-001,1,12,3,4
T-001,1,13,3,4
T-001,1,14,3,4
T-001,1,15,3,4
T-001,1,16,3,4
T-001,1,17,3,4
T-001,1,18,3,4
T-001,1,19,3,4
T-001,1,20,3,4
T-001,1,21,3,4
T-001,1,22,3,4
T-001,1,23,3,4
T-001,1,24,3,4
T-001,1,25,3,4
T-001,1,26,3,4
T-001,1,27,3,4
T-001,1,28,3,4
T-002,0,0,2,52
T-002,1,1,2,4
T-002,1,2,2,4
T-002,1,3,2,4
T-002,1,4,2,4
T-002,1,5,2,4
T-002,1,6,2,4
T-002,1,7,2,4
T-002,1,8,2,4
T-002,1,9,2,4
T-002,1,10,2,4
T-002,1,11,2,4
T-002,1,12,2,4
T-002,1,13,2,4
T-002,1,14,2,4
T-002,1,15,2,4
T-002,1,16,2,4
T-002,1,17,2,4
T-002,1,18,2,4
T-002,1,19,2,4
T-002,1,20,2,4
T-002,1,21,2,4
T-002,1,22,2,4
T-002,1,23,2,4
T-002,1,24,2,4
T-002,1,25,2,4
T-002,1,26,2,4
T-002,1,27,2,4
T-002,1,28,2,4
T-003,0,0,2,50
T-003,1,1,2,12
T-003,1,2,2,12
T-003,1,3,2,12
T-003,1,4,2,12
T-003,1,5,2,12
T-003,1,6,2,12
T-003,1,7,2,12
T-003,1,8,2,12
T-003,1,9,2,12
T-003,1,10,2,12
T-003,1,11,2,12
T-003,1,12,2,12
T-003,1,13,2,12
T-003,1,14,2,12
T-003,1,15,2,12
T-003,1,16,2,12
T-003,1,17,2,12
T-003,1,18,2,12
T-003,1,19,2,12
T-003,1,20,2,12
T-003,1,21,2,12
T-003,1,22,2,12
T-003,1,23,2,12
T-003,1,24,2,12
T-003,1,25,2,12
T-003,1,26,2,12
T-003,1,27,2,12
T-003,1,28,2,12
T-004,0,0,1,51
T-004,1,1,1,16
T-004,1,2,1,16
T-004,1,3,1,16
T-004,1,4,1,16
T-004,1,5,1,16
T-004,1,6,1,16
T-004,1,7,1,16
T-004,1,8,1,16
T-004,1,9,1,16
T-004,1,10,1,16
T-004,1,11,1,16
T-004,1,12,1,16
T-004,1,13,1,16
T-004,1,14,1,16
T-004,1,15,1,16
T-004,1,16,1,16
T-004,1,17,1,16
T-004,1,18,1,16
T-004,1,19,1,16
T-004,1,20,1,16
T-004,1,21,1,16
T-004,1,22,1,16
T-004,1,23,1,16
T-004,1,24,1,16
T-004,1,25,1,16
T-004,1,26,1,16
T-004,1,27,1,16
T-004,1,28,1,16
T-005,0,0,2,53
T-005,1,1,2,8
T-005,1,2,2,8
T-005,1,3,2,8
T-005,1,4,2,8
T-005,1,5,2,8
T-005,1,6,2,8
T-005,1,7,2,8
T-005,1,8,2,8
T-005,1,9,2,8
T-005,1,10,2,8
T-005,1,11,2,8
T-005,1,12,2,8
T-005,1,13,2,8
T-005,1,14,2,8
T-005,1,15,2,8
T-005,1,16,2,8
T-005,1,17,2,8
T-005,1,18,2,8
T-005,1,19,2,8
T-005,1,20,2,8
T-005,1,21,2,8
T-005,1,22,2,8
T-005,1,23,2,8
T-005,1,24,2,8
T-005,1,25,2,8
T-005,1,26,2,8
T-005,1,27,2,8
T-005,1,28,2,8
T-006,0,0,3,52
T-006,1,1,3,8
T-006,1,2,3,8
T-006,1,3,3,8
T-006,1,4,3,8
T-006,1,5,3,8
T-006,1,6,3,8
T-006,1,7,3,8
T-006,1,8,3,8
T-006,1,9,3,8
T-006,1,10,3,8
T-006,1,11,3,8
T-006,1,12,3,8
T-006,1,13,3,8
T-006,1,14,3,8
T-006,1,15,3,8
T-006,1,16,3,8
T-006,1,17,3,8
T-006,1,18,3,8
T-006,1,19,3,8
T-006,1,20,3,8
T-006,1,21,3,8
T-006,1,22,3,8
T-006,1,23,3,8
T-006,1,24,3,8
T-006,1,25,3,8
T-006,1,26,3,8
T-006,1,27,3,8
T-006,1,28,3,8
T-007,0,0,2,44
T-007,1,1,2,12
T-007,1,2,2,12
T-007,1,3,2,12
T-007,1,4,2,12
T-007,1,5,2,12
T-007,1,6,2,12
T-007,1,7,2,12
T-007,1,8,2,12
T-007,1,9,2,12
T-007,1,10,2,12
T-007,1,11,2,12
T-007,1,12,2,12
T-007,1,13,2,12
T-007,1,14,2,12
T-007,1,15,2,12
T-007,1,16,2,12
T-007,1,17,2,12
T-007,1,18,2,12
T-007,1,19,2,12
T-007,1,20,2,12
T-007,1,21,2,12
T-007,1,22,2,12
T-007,1,23,2,12
T-007,1,24,2,12
T-007,1,25,2,12
T-007,1,26,2,12
T-007,1,27,2,12
T-007,1,28,2,12
T-008,0,0,1,51
T-008,1,1,1,8
T-008,1,2,1,8
T-008,1,3,1,8
T-008,1,4,1,8
T-008,1,5,1,8
T-008,1,6,1,8
T-008,1,7,1,8
T-008,1,8,1,8
T-008,1,9,1,8
T-008,1,10,1,8
T-008,1,11,1,8
T-008,1,12,1,8
T-008,1,13,1,8
T-008,1,14,1,8
T-008,1,15,1,8
T-008,1,16,1,8
T-008,1,17,1,8
T-008,1,18,1,8
T-008,1,19,1,8
T-008,1,20,1,8
T-008,1,21,1,8
T-008,1,22,1,8
T-008,1,23,1,8
T-008,1,24,1,8
T-008,1,25,1,8
T-008,1,26,1,8
T-008,1,27,1,8
T-008,1,28,1,8
T-009,0,0,2,51
T-009,1,1,2,4
T-009,1,2,2,4
T-009,1,3,2,4
T-009,1,4,2,4
T-009,1,5,2,4
T-009,1,6,2,4
T-009,1,7,2,4
T-009,1,8,2,4
T-009,1,9,2,4
T-009,1,10,2,4
T-009,1,11,2,4
T-009,1,12,2,4
T-009,1,13,2,4
T-009,1,14,2,4
T-009,1,15,2,4
T-009,1,16,2,4
T-009,1,17,2,4
T-009,1,18,2,4
T-009,1,19,2,4
T-009,1,20,2,4
T-009,1,21,2,4
T-009,1,22,2,4
T-009,1,23,2,4
T-009,1,24,2,4
T-009,1,25,2,4
T-009,1,26,2,4
T-009,1,27,2,4
T-009,1,28,2,4
T-010,0,0,3,50
T-010,1,1,3,4
T-010,1,2,3,4
T-010,1,3,3,4
T-010,1,4,3,4
T-010,1,5,3,4
T-010,1,6,3,4
T-010,1,7,3,4
T-010,1,8,3,4
T-010,1,9,3,4
T-010,1,10,3,4
T-010,1,11,3,4
T-010,1,12,3,4
T-010,1,13,3,4
T-010,1,14,3,4
T-010,1,15,3,4
T-010,1,16,3,4
T-010,1,17,3,4
T-010,1,18,3,4
T-010,1,19,3,4
T-010,1,20,3,4
T-010,1,21,3,4
T-010,1,22,3,4
T-010,1,23,3,4
T-010,1,24,3,4
T-010,1,25,3,4
T-010,1,26,3,4
T-010,1,27,3,4
T-010,1,28,3,4
T-011,0,0,1,50
T-011,1,1,1,4
T-011,1,2,1,4
T-011,1,3,1,4
T-011,1,4,1,4
T-011,1,5,1,4
T-011,1,6,1,4
T-011,1,7,1,4
T-011,1,8,1,4
T-011,1,9,1,4
T-011,1,10,1,4
T-011,1,11,1,4
T-011,1,12,1,4
T-011,1,13,1,4
T-011,1,14,1,4
T-011,1,15,1,4
T-011,1,16,1,4
T-011,1,17,1,4
T-011,1,18,1,4
T-011,1,19,1,4
T-011,1,20,1,4
