Task_ID,Gate_number,Floor_No,Shift_no,Actual,Predicted
T-002,29,2,2,0.0,0.0
T-011,5,3,2,-2.0,-2.0
T-006,44,1,4,0.0,-0.0
T-010,45,1,4,-2.0,-1.0
T-014,30,2,2,1.0,-0.0
T-013,18,3,3,-1.0,-0.0
T-008,24,2,2,0.0,0.0
T-004,44,1,2,2.0,2.0
T-006,28,2,3,0.0,-0.0
T-004,47,1,1,-2.0,-1.0
T-003,49,1,3,-1.0000000000000002,-1.0
T-012,0,1,4,2.0,2.0
T-014,27,2,4,-1.0,0.0
T-011,40,1,3,0.0,0.0
T-007,8,3,4,-2.0,-1.0
T-006,26,2,3,1.0,1.0
T-004,21,2,4,-2.0,-2.0
T-014,27,2,3,-1.0,-1.0
T-008,38,2,1,1.0,1.0
T-001,10,3,2,1.0,1.0
T-014,30,2,1,4.0,3.0
T-013,18,3,2,-2.0,-1.0
T-010,26,2,3,2.0,2.0
T-001,15,3,4,-2.0,-0.0
T-007,6,3,4,4.0,2.0
T-016,30,2,4,1.0,-0.0
T-009,16,3,2,0.0,0.0
T-015,35,2,2,1.0,1.0
T-009,0,1,4,-1.0000000000000002,-0.0
T-005,18,3,3,1.0,2.0
T-009,33,2,3,0.0,0.0
T-004,28,2,3,0.0,1.0
T-009,44,1,4,1.0,2.0
T-012,16,3,1,1.0,0.0
T-011,13,3,3,-2.0,-1.0
T-001,31,2,4,-2.0,-2.0
T-015,13,3,4,-2.0,-1.0
T-008,27,2,4,-1.0,0.0
T-002,9,3,2,4.0,3.0
T-006,22,2,2,0.0,0.0
T-011,2,3,3,1.0,0.0
T-017,26,2,4,-1.0000000000000002,-0.0
T-014,46,1,2,-1.0000000000000002,0.0
T-001,4,3,2,-1.0,0.0
T-012,16,3,4,2.0,1.0
T-012,47,1,3,0.0,-1.0
T-013,20,2,4,2.0,1.0
T-015,25,2,4,3.0,2.0
T-005,0,1,1,2.0,3.0
T-012,1,3,4,-2.0,-0.0
T-011,17,3,1,2.0,0.0
T-017,23,2,2,-1.0,-1.0
T-002,1,3,3,0.0,1.0
T-002,27,2,3,1.0,2.0
T-015,24,2,1,1.0,0.0
T-004,30,2,2,0.0,-0.0
T-014,49,1,3,2.0,1.0
T-010,7,3,1,2.0,0.0
T-012,43,1,3,3.0,3.0
T-016,42,1,1,-2.0,-1.0
T-017,26,2,1,2.0,2.0
T-007,42,1,3,2.0,2.0
T-015,5,3,3,0.0,0.0
T-004,3,3,1,0.0,-0.0
T-012,3,3,1,0.0,-0.0
T-014,37,2,2,1.0,1.0
T-016,27,2,3,-2.0,-2.0
T-015,21,2,2,3.0,1.0
T-006,48,1,3,-2.0,-2.0
T-013,19,3,1,2.0,1.0
T-006,10,3,3,3.0000000000000004,2.0
T-001,19,3,1,1.0,2.0
T-015,29,2,3,3.0000000000000004,2.0
T-012,45,1,3,-2.0,-1.0
T-009,4,3,2,-2.0,-1.0
T-002,47,1,3,1.0,1.0
T-009,1,3,1,4.0,2.0
T-011,27,2,2,-2.0,-2.0
T-011,11,3,1,2.0,0.0
T-013,34,2,3,1.0,-0.0
T-016,37,2,4,2.0,1.0
T-011,49,1,3,3.0000000000000004,1.0
T-005,43,1,4,2.0,0.0
T-005,1,3,3,1.0,2.0
T-008,43,1,3,0.0,-1.0
T-003,16,3,1,1.0,0.0
T-005,3,3,3,-2.0,-1.0
T-009,9,3,3,-2.0,-1.0
T-012,31,2,1,-2.0,-2.0
T-013,25,2,4,-2.0,-1.0
T-013,44,1,4,1.0,0.0
T-009,31,2,2,1.0,1.0
T-016,40,1,3,3.0,1.0
T-003,2,3,4,-1.0000000000000002,-1.0
T-006,17,3,1,-2.0,-1.0
