task_ID,Gate_number,Floor_No,shift_no,date,Number_of_Personnel,crew_demand
T-001,0,1,1,2023-01-20,40,3
T-001,0,1,1,2023-01-18,40,-2
T-001,0,1,1,2023-01-12,40,2
T-001,0,1,1,2023-01-25,40,-1
T-001,0,1,1,2023-02-16,40,5
T-001,0,1,1,2023-02-03,40,3
T-001,0,1,1,2023-02-11,40,4
T-001,0,1,1,2023-02-28,40,1
T-001,0,1,1,2023-03-27,40,0
T-001,0,1,1,2023-03-02,40,0
T-001,0,1,1,2023-03-14,40,0
T-001,0,1,1,2023-03-22,40,1
T-001,0,1,1,2023-04-06,40,3
T-001,0,1,1,2023-04-15,40,5
T-001,0,1,1,2023-04-20,40,0
T-001,0,1,1,2023-04-04,40,-1
T-001,0,1,1,2023-05-06,40,2
T-001,0,1,1,2023-05-29,40,-2
T-001,0,1,1,2023-05-22,40,1
T-001,0,1,1,2023-05-27,40,1
T-001,0,1,1,2023-06-02,40,1
T-001,0,1,1,2023-06-30,40,4
T-001,0,1,1,2023-06-19,40,-1
T-001,0,1,1,2023-06-12,40,2
T-001,0,1,1,2023-07-29,40,0
T-001,0,1,1,2023-07-08,40,5
T-001,0,1,1,2023-07-09,40,4
T-001,0,1,1,2023-07-26,40,1
T-001,0,1,1,2023-08-19,40,0
T-001,0,1,1,2023-08-17,40,4
T-001,0,1,1,2023-08-11,40,0
T-001,0,1,1,2023-08-05,40,1
T-001,0,1,1,2023-09-04,40,4
T-001,0,1,1,2023-09-07,40,3
T-001,0,1,1,2023-09-17,40,1
T-001,0,1,1,2023-09-23,40,5
T-001,0,1,1,2023-10-04,40,5
T-001,0,1,1,2023-10-21,40,1
T-001,0,1,1,2023-10-14,40,4
T-001,0,1,1,2023-10-18,40,4
T-001,0,1,1,2023-11-07,40,5
T-001,0,1,1,2023-11-05,40,2
T-001,0,1,1,2023-11-23,40,5
T-001,0,1,1,2023-11-11,40,3
T-001,0,1,1,2023-12-08,40,1
T-001,0,1,1,2023-12-12,40,-2
T-001,0,1,1,2023-12-21,40,-2
