task_ID,Gate_number,Floor_No,shift_no
T-001,0,0,1
T-001,0,0,2
T-001,0,0,3
T-001,0,0,4
T-001,1,0,1
T-001,1,0,2
T-001,1,0,3
T-001,1,0,4
T-001,2,0,1
T-001,2,0,2
T-001,2,0,3
T-001,2,0,4
T-001,3,0,1
T-001,3,0,2
T-001,3,0,3
T-001,3,0,4
T-001,4,0,1
T-001,4,0,2
T-001,4,0,3
T-001,4,0,4
T-001,5,0,1
T-001,5,0,2
T-001,5,0,3
T-001,5,0,4
T-001,6,0,1
T-001,6,0,2
T-001,6,0,3
T-001,6,0,4
T-001,7,0,1
T-001,7,0,2
T-001,7,0,3
T-001,7,0,4
T-001,8,0,1
T-001,8,0,2
T-001,8,0,3
T-001,8,0,4
T-001,9,0,1
T-001,9,0,2
T-001,9,0,3
T-001,9,0,4
T-001,10,0,1
T-001,10,0,2
T-001,10,0,3
T-001,10,0,4
T-001,11,0,1
T-001,11,0,2
T-001,11,0,3
T-001,11,0,4
T-001,12,0,1
T-001,12,0,2
T-001,12,0,3
T-001,12,0,4
T-001,13,0,1
T-001,13,0,2
T-001,13,0,3
T-001,13,0,4
T-001,14,0,1
T-001,14,0,2
T-001,14,0,3
T-001,14,0,4
T-001,15,0,1
T-001,15,0,2
T-001,15,0,3
T-001,15,0,4
T-001,16,0,1
T-001,16,0,2
T-001,16,0,3
T-001,16,0,4
T-001,17,0,1
T-001,17,0,2
T-001,17,0,3
T-001,17,0,4
T-001,18,0,1
T-001,18,0,2
T-001,18,0,3
T-001,18,0,4
T-001,19,0,1
T-001,19,0,2
T-001,19,0,3
T-001,19,0,4
T-001,20,0,1
T-001,20,0,2
T-001,20,0,3
T-001,20,0,4
T-001,21,0,1
T-001,21,0,2
T-001,21,0,3
T-001,21,0,4
T-001,22,0,1
T-001,22,0,2
T-001,22,0,3
T-001,22,0,4
T-001,23,0,1
T-001,23,0,2
T-001,23,0,3
T-001,23,0,4
T-001,24,0,1
T-001,24,0,2
T-001,24,0,3
T-001,24,0,4
T-001,25,0,1
T-001,25,0,2
T-001,25,0,3
T-001,25,0,4
T-001,26,0,1
T-001,26,0,2
T-001,26,0,3
T-001,26,0,4
T-001,27,1,1
T-001,27,1,2
T-001,27,1,3
T-001,27,1,4
T-001,28,1,1
T-001,28,1,2
T-001,28,1,3
T-001,28,1,4
T-001,29,1,1
T-001,29,1,2
T-001,29,1,3
T-001,29,1,4
T-001,30,1,1
T-001,30,1,2
T-001,30,1,3
T-001,30,1,4
T-001,31,1,1
T-001,31,1,2
T-001,31,1,3
T-001,31,1,4
T-001,32,1,1
T-001,32,1,2
T-001,32,1,3
T-001,32,1,4
T-001,33,1,1
T-001,33,1,2
T-001,33,1,3
T-001,33,1,4
T-001,34,1,1
T-001,34,1,2
T-001,34,1,3
T-001,34,1,4
T-001,35,1,1
T-001,35,1,2
T-001,35,1,3
T-001,35,1,4
T-001,36,1,1
T-001,36,1,2
T-001,36,1,3
T-001,36,1,4
T-001,37,1,1
T-001,37,1,2
T-001,37,1,3
T-001,37,1,4
T-001,38,1,1
T-001,38,1,2
T-001,38,1,3
T-001,38,1,4
T-001,39,1,1
T-001,39,1,2
T-001,39,1,3
T-001,39,1,4
T-001,40,1,1
T-001,40,1,2
T-001,40,1,3
T-001,40,1,4
T-001,41,1,1
T-001,41,1,2
T-001,41,1,3
T-001,41,1,4
T-001,42,1,1
T-001,42,1,2
T-001,42,1,3
T-001,42,1,4
T-001,43,1,1
T-001,43,1,2
T-001,43,1,3
T-001,43,1,4
T-001,44,1,1
T-001,44,1,2
T-001,44,1,3
T-001,44,1,4
T-001,45,1,1
T-001,45,1,2
T-001,45,1,3
T-001,45,1,4
T-001,46,1,1
T-001,46,1,2
T-001,46,1,3
T-001,46,1,4
T-001,47,1,1
T-001,47,1,2
T-001,47,1,3
T-001,47,1,4
T-001,48,1,1
T-001,48,1,2
T-001,48,1,3
T-001,48,1,4
T-001,49,1,1
T-001,49,1,2
T-001,49,1,3
T-001,49,1,4
T-001,50,1,1
T-001,50,1,2
T-001,50,1,3
T-001,50,1,4
T-001,51,1,1
T-001,51,1,2
T-001,51,1,3
T-001,51,1,4
T-001,52,1,1
T-001,52,1,2
T-001,52,1,3
T-001,52,1,4
T-001,53,1,1
T-001,53,1,2
T-001,53,1,3
T-001,53,1,4
T-001,54,1,1
T-001,54,1,2
T-001,54,1,3
T-001,54,1,4
T-001,55,1,1
T-001,55,1,2
T-001,55,1,3
T-001,55,1,4
T-001,56,1,1
T-001,56,1,2
T-001,56,1,3
T-001,56,1,4
T-001,57,1,1
T-001,57,1,2
T-001,57,1,3
T-001,57,1,4
T-001,58,1,1
T-001,58,1,2
T-001,58,1,3
T-001,58,1,4
T-001,59,1,1
T-001,59,1,2
T-001,59,1,3
T-001,59,1,4
T-001,60,1,1
T-001,60,1,2
T-001,60,1,3
T-001,60,1,4
T-001,61,1,1
T-001,61,1,2
T-001,61,1,3
T-001,61,1,4
T-001,62,1,1
T-001,62,1,2
T-001,62,1,3
T-001,62,1,4
T-001,63,2,1
T-001,63,2,2
T-001,63,2,3
T-001,63,2,4
T-001,64,2,1
T-001,64,2,2
T-001,64,2,3
T-001,64,2,4
T-001,65,2,1
T-001,65,2,2
T-001,65,2,3
T-001,65,2,4
T-001,66,2,1
T-001,66,2,2
T-001,66,2,3
T-001,66,2,4
T-001,67,2,1
T-001,67,2,2
T-001,67,2,3
T-001,67,2,4
T-001,69,2,1
T-001,69,2,2
T-001,69,2,3
T-001,69,2,4
T-001,70,2,1
T-001,70,2,2
T-001,70,2,3
T-001,70,2,4
T-001,71,2,1
T-001,71,2,2
T-001,71,2,3
T-001,71,2,4
T-001,72,2,1
