Task_ID,Gate_number,Floor_No,Shift_no,Actual,Predicted
T-005,55,2,2,-2.0,-2.0
T-006,13,1,1,-2.0,-0.0
T-016,3,0,2,0.0,1.0
T-014,50,2,3,-2.0,-1.0
T-014,19,1,2,-1.0,-0.0
T-009,35,1,3,0.0,0.0
T-008,20,1,4,-1.0000000000000002,-1.0
T-001,43,4,1,1.0,-0.0
T-003,47,4,3,2.0,1.0
T-016,12,0,1,-1.0000000000000002,-0.0
T-006,49,4,3,-1.0000000000000002,-0.0
T-017,49,4,1,-1.0,-1.0
T-010,44,5,3,2.0,2.0
T-004,47,3,4,2.0,1.0
T-006,48,4,3,2.0,1.0
T-007,49,5,1,-2.0,-1.0
T-016,28,1,4,-1.0,-1.0
T-012,55,5,1,0.0,-1.0
T-009,50,4,2,1.0,1.0
T-001,20,1,4,2.0,0.0
T-002,9,0,1,-2.0,-1.0
T-004,47,3,3,-1.0000000000000002,0.0
T-016,36,1,3,3.0,1.0
T-012,1,0,2,-1.0000000000000002,-1.0
T-005,0,0,1,0.0,0.0
T-006,44,5,3,2.0,1.0
T-011,44,4,1,-2.0,-0.0
T-011,21,1,1,-1.0000000000000002,-1.0
T-011,49,5,1,-2.0,-1.0
T-014,44,4,1,5.0,4.0
T-010,55,5,2,-2.0,-1.0
T-003,18,1,2,2.0,1.0
T-002,43,3,1,3.0,1.0
T-010,6,0,4,3.0,2.0
T-014,52,5,2,0.0,0.0
T-009,52,5,3,-1.0000000000000002,-0.0
T-005,22,1,3,-2.0,-1.0
T-010,13,1,2,2.0,1.0
T-001,43,4,2,-1.0,0.0
T-015,20,1,4,0.0,-0.0
T-001,49,2,1,0.0,0.0
T-014,47,4,3,1.0,-0.0
T-003,23,1,1,0.0,0.0
T-017,20,1,3,-2.0,-2.0
T-015,3,0,4,3.0000000000000004,1.0
T-017,43,4,2,-2.0,-2.0
T-004,13,1,4,1.0,1.0
T-011,12,0,4,0.0,0.0
T-007,31,1,2,-2.0,-2.0
T-015,32,1,1,-2.0,-1.0
