task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel
T-001,0,0,3,48
T-001,0,1,3,4
T-001,0,2,3,4
T-001,0,3,3,4
T-001,0,4,3,4
T-001,0,5,3,4
T-001,0,6,3,4
T-001,0,7,3,4
T-001,0,8,3,4
T-001,0,9,3,4
T-001,0,10,3,4
T-001,0,11,3,4
T-001,0,12,3,4
T-001,1,13,3,4
T-001,1,14,3,4
T-001,1,15,3,4
T-001,1,16,3,4
T-001,1,17,3,4
T-001,1,18,3,4
T-001,1,19,3,4
T-001,1,20,3,4
T-001,1,21,3,4
T-001,1,22,3,4
T-001,1,23,3,4
T-001,1,24,3,4
T-001,1,25,3,4
T-001,1,26,3,4
T-001,1,27,3,4
T-001,1,28,3,4
T-001,1,29,3,4
T-001,1,30,3,4
T-001,1,31,3,4
T-001,1,32,3,4
T-001,1,33,3,4
T-001,1,34,3,4
T-001,1,35,3,4
T-001,1,36,3,4
T-001,1,37,3,4
T-001,1,38,3,4
T-001,1,39,3,4
T-001,1,40,3,4
T-001,1,41,3,4
T-001,1,42,3,4
T-001,2,45,3,1
T-001,2,46,3,2
T-001,2,48,3,2
T-001,2,49,3,1
T-001,2,50,3,1
T-001,2,51,3,2
T-001,2,53,3,1
T-001,2,55,3,3
T-001,3,43,3,1
T-001,3,44,3,1
T-001,3,47,3,2
T-001,3,49,3,1
T-001,4,43,3,1
T-001,4,44,3,2
T-001,4,45,3,2
T-001,4,47,3,1
T-001,4,48,3,1
T-001,4,49,3,1
T-001,4,50,3,1
T-001,4,52,3,1
T-001,4,53,3,2
T-001,5,43,3,2
T-001,5,44,3,1
T-001,5,45,3,1
T-001,5,46,3,2
T-001,5,47,3,1
T-001,5,48,3,1
T-001,5,49,3,1
T-001,5,50,3,2
T-001,5,51,3,2
T-001,5,52,3,3
T-001,5,53,3,1
T-001,5,54,3,4
T-001,5,55,3,1
T-002,0,0,2,40
T-002,0,1,2,4
T-002,0,2,2,4
T-002,0,3,2,4
T-002,0,4,2,4
T-002,0,5,2,4
T-002,0,6,2,4
T-002,0,7,2,4
T-002,0,8,2,4
T-002,0,9,2,4
T-002,0,10,2,4
T-002,0,11,2,4
T-002,0,12,2,4
T-002,1,13,2,4
T-002,1,14,2,4
T-002,1,15,2,4
T-002,1,16,2,4
T-002,1,17,2,4
T-002,1,18,2,4
T-002,1,19,2,4
T-002,1,20,2,4
T-002,1,21,2,4
T-002,1,22,2,4
T-002,1,23,2,4
T-002,1,24,2,4
T-002,1,25,2,4
T-002,1,26,2,4
T-002,1,27,2,4
T-002,1,28,2,4
T-002,1,29,2,4
T-002,1,30,2,4
T-002,1,31,2,4
T-002,1,32,2,4
T-002,1,33,2,4
T-002,1,34,2,4
T-002,1,35,2,4
T-002,1,36,2,4
T-002,1,37,2,4
T-002,1,38,2,4
T-002,1,39,2,4
T-002,1,40,2,4
T-002,1,41,2,4
T-002,1,42,2,4
T-002,2,45,2,1
T-002,2,46,2,2
T-002,2,48,2,2
T-002,2,49,2,1
T-002,2,50,2,1
T-002,2,51,2,2
T-002,2,53,2,1
T-002,2,55,2,3
T-002,3,43,2,1
T-002,3,44,2,1
T-002,3,47,2,2
T-002,3,49,2,1
T-002,4,43,2,1
T-002,4,44,2,2
T-002,4,45,2,2
T-002,4,47,2,1
T-002,4,48,2,1
T-002,4,49,2,1
T-002,4,50,2,1
T-002,4,52,2,1
T-002,4,53,2,2
T-002,5,43,2,2
T-002,5,44,2,1
T-002,5,45,2,1
T-002,5,46,2,2
T-002,5,47,2,1
T-002,5,48,2,1
T-002,5,49,2,1
T-002,5,50,2,2
T-002,5,51,2,2
T-002,5,52,2,3
T-002,5,53,2,1
T-002,5,54,2,4
T-002,5,55,2,1
T-003,0,0,2,42
T-003,0,1,2,16
T-003,0,2,2,16
T-003,0,3,2,16
T-003,0,4,2,16
T-003,0,5,2,16
T-003,0,6,2,16
T-003,0,7,2,16
T-003,0,8,2,16
T-003,0,9,2,16
T-003,0,10,2,16
T-003,0,11,2,16
T-003,0,12,2,16
T-003,1,13,2,16
T-003,1,14,2,16
T-003,1,15,2,16
T-003,1,16,2,16
T-003,1,17,2,16
T-003,1,18,2,16
T-003,1,19,2,16
T-003,1,20,2,16
T-003,1,21,2,16
T-003,1,22,2,16
T-003,1,23,2,16
T-003,1,24,2,16
T-003,1,25,2,16
T-003,1,26,2,16
T-003,1,27,2,16
T-003,1,28,2,16
T-003,1,29,2,16
T-003,1,30,2,16
T-003,1,31,2,16
T-003,1,32,2,16
T-003,1,33,2,16
T-003,1,34,2,16
T-003,1,35,2,16
T-003,1,36,2,16
T-003,1,37,2,16
T-003,1,38,2,16
T-003,1,39,2,16
T-003,1,40,2,16
T-003,1,41,2,16
T-003,1,42,2,16
T-003,2,45,2,4
T-003,2,46,2,8
T-003,2,48,2,8
T-003,2,49,2,4
T-003,2,50,2,4
T-003,2,51,2,8
T-003,2,53,2,4
T-003,2,55,2,12
T-003,3,43,2,4
T-003,3,44,2,4
T-003,3,47,2,8
T-003,3,49,2,4
T-003,4,43,2,4
T-003,4,44,2,8
T-003,4,45,2,8
T-003,4,47,2,4
T-003,4,48,2,4
T-003,4,49,2,4
T-003,4,50,2,4
T-003,4,52,2,4
T-003,4,53,2,8
T-003,5,43,2,8
T-003,5,44,2,4
T-003,5,45,2,4
T-003,5,46,2,8
T-003,5,47,2,4
T-003,5,48,2,4
T-003,5,49,2,4
T-003,5,50,2,8
T-003,5,51,2,8
T-003,5,52,2,12
T-003,5,53,2,4
T-003,5,54,2,16
T-003,5,55,2,4
T-004,0,0,1,36
T-004,0,1,1,12
T-004,0,2,1,12
T-004,0,3,1,12
T-004,0,4,1,12
T-004,0,5,1,12
