task_ID,Gate_number,Floor_No,shift_no,date,Number_of_Personnel
T-001,0,0,1,2023-01-22,48
T-001,0,0,1,2023-01-07,48
T-001,0,0,1,2023-01-29,48
T-001,0,0,1,2023-01-23,48
T-001,0,0,1,2023-02-25,48
T-001,0,0,1,2023-02-07,48
T-001,0,0,1,2023-02-06,48
T-001,0,0,1,2023-02-13,48
T-001,0,0,1,2023-03-16,48
T-001,0,0,1,2023-03-10,48
T-001,0,0,1,2023-03-31,48
T-001,0,0,1,2023-03-26,48
T-001,0,0,1,2023-04-07,48
T-001,0,0,1,2023-04-04,48
T-001,0,0,1,2023-04-17,48
T-001,0,0,1,2023-04-25,48
T-001,0,0,1,2023-05-25,48
T-001,0,0,1,2023-05-04,48
T-001,0,0,1,2023-05-10,48
T-001,0,0,1,2023-05-16,48
T-001,0,0,1,2023-06-17,48
T-001,0,0,1,2023-06-16,48
T-001,0,0,1,2023-06-11,48
T-001,0,0,1,2023-06-08,48
T-001,0,0,1,2023-07-03,48
T-001,0,0,1,2023-07-17,48
T-001,0,0,1,2023-07-28,48
T-001,0,0,1,2023-07-18,48
T-001,0,0,1,2023-08-23,48
T-001,0,0,1,2023-08-19,48
T-001,0,0,1,2023-08-04,48
T-001,0,0,1,2023-08-06,48
T-001,0,0,1,2023-09-01,48
T-001,0,0,1,2023-09-05,48
T-001,0,0,1,2023-09-03,48
T-001,0,0,1,2023-09-29,48
T-001,0,0,1,2023-10-27,48
T-001,0,0,1,2023-10-31,48
T-001,0,0,1,2023-10-04,48
T-001,0,0,1,2023-10-09,48
T-001,0,0,1,2023-11-21,48
T-001,0,0,1,2023-11-12,48
T-001,0,0,1,2023-11-23,48
T-001,0,0,1,2023-11-18,48
T-001,0,0,1,2023-12-02,48
T-001,0,0,1,2023-12-27,48
T-001,0,0,1,2023-12-07,48
T-001,0,0,1,2023-12-25,48
T-001,0,0,2,2023-01-22,48
T-001,0,0,2,2023-01-07,48
T-001,0,0,2,2023-01-29,48
T-001,0,0,2,2023-01-23,48
T-001,0,0,2,2023-02-25,48
T-001,0,0,2,2023-02-07,48
T-001,0,0,2,2023-02-06,48
T-001,0,0,2,2023-02-13,48
T-001,0,0,2,2023-03-16,48
T-001,0,0,2,2023-03-10,48
T-001,0,0,2,2023-03-31,48
T-001,0,0,2,2023-03-26,48
T-001,0,0,2,2023-04-07,48
T-001,0,0,2,2023-04-04,48
T-001,0,0,2,2023-04-17,48
T-001,0,0,2,2023-04-25,48
T-001,0,0,2,2023-05-25,48
T-001,0,0,2,2023-05-04,48
T-001,0,0,2,2023-05-10,48
T-001,0,0,2,2023-05-16,48
T-001,0,0,2,2023-06-17,48
T-001,0,0,2,2023-06-16,48
T-001,0,0,2,2023-06-11,48
T-001,0,0,2,2023-06-08,48
T-001,0,0,2,2023-07-03,48
T-001,0,0,2,2023-07-17,48
T-001,0,0,2,2023-07-28,48
T-001,0,0,2,2023-07-18,48
T-001,0,0,2,2023-08-23,48
T-001,0,0,2,2023-08-19,48
T-001,0,0,2,2023-08-04,48
T-001,0,0,2,2023-08-06,48
T-001,0,0,2,2023-09-01,48
T-001,0,0,2,2023-09-05,48
T-001,0,0,2,2023-09-03,48
T-001,0,0,2,2023-09-29,48
T-001,0,0,2,2023-10-27,48
T-001,0,0,2,2023-10-31,48
T-001,0,0,2,2023-10-04,48
T-001,0,0,2,2023-10-09,48
T-001,0,0,2,2023-11-21,48
T-001,0,0,2,2023-11-12,48
T-001,0,0,2,2023-11-23,48
T-001,0,0,2,2023-11-18,48
T-001,0,0,2,2023-12-02,48
T-001,0,0,2,2023-12-27,48
T-001,0,0,2,2023-12-07,48
T-001,0,0,2,2023-12-25,48
T-001,0,0,3,2023-01-22,48
T-001,0,0,3,2023-01-07,48
T-001,0,0,3,2023-01-29,48
T-001,0,0,3,2023-01-23,48
T-001,0,0,3,2023-02-25,48
T-001,0,0,3,2023-02-07,48
T-001,0,0,3,2023-02-06,48
T-001,0,0,3,2023-02-13,48
T-001,0,0,3,2023-03-16,48
T-001,0,0,3,2023-03-10,48
T-001,0,0,3,2023-03-31,48
T-001,0,0,3,2023-03-26,48
T-001,0,0,3,2023-04-07,48
T-001,0,0,3,2023-04-04,48
T-001,0,0,3,2023-04-17,48
T-001,0,0,3,2023-04-25,48
T-001,0,0,3,2023-05-25,48
T-001,0,0,3,2023-05-04,48
T-001,0,0,3,2023-05-10,48
T-001,0,0,3,2023-05-16,48
T-001,0,0,3,2023-06-17,48
T-001,0,0,3,2023-06-16,48
T-001,0,0,3,2023-06-11,48
T-001,0,0,3,2023-06-08,48
T-001,0,0,3,2023-07-03,48
T-001,0,0,3,2023-07-17,48
T-001,0,0,3,2023-07-28,48
T-001,0,0,3,2023-07-18,48
T-001,0,0,3,2023-08-23,48
T-001,0,0,3,2023-08-19,48
T-001,0,0,3,2023-08-04,48
T-001,0,0,3,2023-08-06,48
T-001,0,0,3,2023-09-01,48
T-001,0,0,3,2023-09-05,48
T-001,0,0,3,2023-09-03,48
T-001,0,0,3,2023-09-29,48
T-001,0,0,3,2023-10-27,48
T-001,0,0,3,2023-10-31,48
T-001,0,0,3,2023-10-04,48
T-001,0,0,3,2023-10-09,48
T-001,0,0,3,2023-11-21,48
T-001,0,0,3,2023-11-12,48
T-001,0,0,3,2023-11-23,48
T-001,0,0,3,2023-11-18,48
T-001,0,0,3,2023-12-02,48
T-001,0,0,3,2023-12-27,48
T-001,0,0,3,2023-12-07,48
T-001,0,0,3,2023-12-25,48
T-001,0,0,4,2023-01-22,48
T-001,0,0,4,2023-01-07,48
T-001,0,0,4,2023-01-29,48
T-001,0,0,4,2023-01-23,48
T-001,0,0,4,2023-02-25,48
T-001,0,0,4,2023-02-07,48
T-001,0,0,4,2023-02-06,48
T-001,0,0,4,2023-02-13,48
T-001,0,0,4,2023-03-16,48
T-001,0,0,4,2023-03-10,48
T-001,0,0,4,2023-03-31,48
T-001,0,0,4,2023-03-26,48
T-001,0,0,4,2023-04-07,48
T-001,0,0,4,2023-04-04,48
T-001,0,0,4,2023-04-17,48
T-001,0,0,4,2023-04-25,48
T-001,0,0,4,2023-05-25,48
T-001,0,0,4,2023-05-04,48
T-001,0,0,4,2023-05-10,48
T-001,0,0,4,2023-05-16,48
T-001,0,0,4,2023-06-17,48
T-001,0,0,4,2023-06-16,48
T-001,0,0,4,2023-06-11,48
T-001,0,0,4,2023-06-08,48
T-001,0,0,4,2023-07-03,48
T-001,0,0,4,2023-07-17,48
T-001,0,0,4,2023-07-28,48
T-001,0,0,4,2023-07-18,48
T-001,0,0,4,2023-08-23,48
T-001,0,0,4,2023-08-19,48
T-001,0,0,4,2023-08-04,48
T-001,0,0,4,2023-08-06,48
T-001,0,0,4,2023-09-01,48
T-001,0,0,4,2023-09-05,48
T-001,0,0,4,2023-09-03,48
T-001,0,0,4,2023-09-29,48
T-001,0,0,4,2023-10-27,48
T-001,0,0,4,2023-10-31,48
T-001,0,0,4,2023-10-04,48
T-001,0,0,4,2023-10-09,48
T-001,0,0,4,2023-11-21,48
T-001,0,0,4,2023-11-12,48
T-001,0,0,4,2023-11-23,48
T-001,0,0,4,2023-11-18,48
T-001,0,0,4,2023-12-02,48
T-001,0,0,4,2023-12-27,48
T-001,0,0,4,2023-12-07,48
T-001,0,0,4,2023-12-25,48
T-001,1,1,1,2023-01-22,4
