task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel
T-001,0,0,3,48
T-001,1,1,3,4
T-001,1,2,3,4
T-001,1,3,3,4
T-001,1,4,3,4
T-001,1,5,3,4
T-001,1,6,3,4
T-001,1,7,3,4
T-001,1,8,3,4
T-001,1,9,3,4
T-001,1,10,3,4
T-001,1,11,3,4
T-001,1,12,3,4
T-002,0,0,2,50
T-002,1,1,2,8
T-002,1,2,2,8
T-002,1,3,2,8
T-002,1,4,2,8
T-002,1,5,2,8
T-002,1,6,2,8
T-002,1,7,2,8
T-002,1,8,2,8
T-002,1,9,2,8
T-002,1,10,2,8
T-002,1,11,2,8
T-002,1,12,2,8
T-003,0,0,2,56
T-003,1,1,2,8
T-003,1,2,2,8
T-003,1,3,2,8
T-003,1,4,2,8
T-003,1,5,2,8
T-003,1,6,2,8
T-003,1,7,2,8
T-003,1,8,2,8
T-003,1,9,2,8
T-003,1,10,2,8
T-003,1,11,2,8
T-003,1,12,2,8
T-004,0,0,1,51
T-004,1,1,1,12
T-004,1,2,1,12
T-004,1,3,1,12
T-004,1,4,1,12
T-004,1,5,1,12
T-004,1,6,1,12
T-004,1,7,1,12
T-004,1,8,1,12
T-004,1,9,1,12
T-004,1,10,1,12
T-004,1,11,1,12
T-004,1,12,1,12
T-005,0,0,2,53
T-005,1,1,2,8
T-005,1,2,2,8
T-005,1,3,2,8
T-005,1,4,2,8
T-005,1,5,2,8
T-005,1,6,2,8
T-005,1,7,2,8
T-005,1,8,2,8
T-005,1,9,2,8
T-005,1,10,2,8
T-005,1,11,2,8
T-005,1,12,2,8
T-006,0,0,3,53
T-006,1,1,3,8
T-006,1,2,3,8
T-006,1,3,3,8
T-006,1,4,3,8
T-006,1,5,3,8
T-006,1,6,3,8
T-006,1,7,3,8
T-006,1,8,3,8
T-006,1,9,3,8
T-006,1,10,3,8
T-006,1,11,3,8
T-006,1,12,3,8
T-007,0,0,2,45
T-007,1,1,2,8
T-007,1,2,2,8
T-007,1,3,2,8
T-007,1,4,2,8
T-007,1,5,2,8
T-007,1,6,2,8
T-007,1,7,2,8
T-007,1,8,2,8
T-007,1,9,2,8
T-007,1,10,2,8
T-007,1,11,2,8
T-007,1,12,2,8
T-008,0,0,1,49
T-008,1,1,1,4
T-008,1,2,1,4
T-008,1,3,1,4
T-008,1,4,1,4
T-008,1,5,1,4
T-008,1,6,1,4
T-008,1,7,1,4
T-008,1,8,1,4
T-008,1,9,1,4
T-008,1,10,1,4
T-008,1,11,1,4
T-008,1,12,1,4
T-009,0,0,2,52
T-009,1,1,2,8
T-009,1,2,2,8
T-009,1,3,2,8
T-009,1,4,2,8
T-009,1,5,2,8
T-009,1,6,2,8
T-009,1,7,2,8
T-009,1,8,2,8
T-009,1,9,2,8
T-009,1,10,2,8
T-009,1,11,2,8
T-009,1,12,2,8
T-010,0,0,3,44
T-010,1,1,3,8
T-010,1,2,3,8
T-010,1,3,3,8
T-010,1,4,3,8
T-010,1,5,3,8
T-010,1,6,3,8
T-010,1,7,3,8
T-010,1,8,3,8
T-010,1,9,3,8
T-010,1,10,3,8
T-010,1,11,3,8
T-010,1,12,3,8
T-011,0,0,1,53
T-011,1,1,1,4
T-011,1,2,1,4
T-011,1,3,1,4
T-011,1,4,1,4
T-011,1,5,1,4
T-011,1,6,1,4
T-011,1,7,1,4
T-011,1,8,1,4
T-011,1,9,1,4
T-011,1,10,1,4
T-011,1,11,1,4
T-011,1,12,1,4
T-012,0,0,1,45
