Incident_ID,Report_Text,Location,Severity,Status,Timestamp,Crew_Assigned,Resolution_Time,Estimated_Resolution_Time
INC20250206233103,fire fire fire,ATC Tower,4,Resolved,2025-02-06 23:31:03.677482,CRW0008,,41.0
INC20250206233349,fire 2,ATC Tower,4,Resolved,2025-02-06 23:33:49.202913,CRW0074,0.3510188,24.0
INC20250206233742,fire againnnn,ATC Tower,4,Resolved,2025-02-06 23:37:42.423867,CRW0009,23.0,24.0
INC20250206233840,fooreeee,ATC Tower,1,Resolved,2025-02-06 23:38:40.286746,CRW0083,0.4308356166666666,248.0
INC20250207000611,low staff,ATC Tower,1,Resolved,2025-02-07 00:06:11.249173,,33.29627013333333,
INC20250207000653,fire,ATC Tower,4,Resolved,2025-02-07 00:06:53.184412,,33.025512633333335,
INC20250207000837,fire,ATC Tower,4,Resolved,2025-02-07 00:08:37.545390,,32.672157983333335,
INC20250207001051,fire,ATC Tower,4,Resolved,2025-02-07 00:10:51.158781,,48.283360349999995,
INC20250207001336,fire,ATC Tower,4,Resolved,2025-02-07 00:13:36.673917,,45.63478276666667,
INC20250207001541,fire,ATC Tower,4,Resolved,2025-02-07 00:15:41.075751,CRW0069,15.99258995,23.0
INC20250207001632,fire again,ATC Tower,4,Resolved,2025-02-07 00:16:32.362524,CRW0052,13.710795383333334,37.0
INC20250207001724,low staff,Gate 1,1,Resolved,2025-02-07 00:17:24.302740,CRW0028,0.5395981166666667,183.0
INC20250207002419,fire againnn,ATC Tower,4,Resolved,2025-02-07 00:24:19.353779,CRW0001,4.583736099999999,30.0
INC20250207002435,fire againnnn,ATC Tower,4,Resolved,2025-02-07 00:24:35.062943,CRW0073,0.13873965,37.0
INC20250207005749,Weather,Air Mail Building,3,Resolved,2025-02-07 00:57:49.368534,CRW0064,1.1086086333333334,32.0
INC20250207011113,hehe,ATC Tower,1,Resolved,2025-02-07 01:11:13.183720,CRW0084,0.2499828666666666,172.0
INC20250207013548,water,ATC Tower,1,Resolved,2025-02-07 01:35:48.364559,CRW0078,3.263454533333334,228.0
INC20250207013620,weather,Air Mail Building,3,Resolved,2025-02-07 01:36:20.306038,CRW0039,0.3214233666666667,44.0
INC20250207013814,weather,Air Mail Building,3,Resolved,2025-02-07 01:38:14.659728,CRW0082,0.1638526333333333,74.0
INC20250207013934,weather,Air Mail Building,3,Resolved,2025-02-07 01:39:34.510742,CRW0078,0.1020124166666666,43.0
INC20250207014124,weather,Air Mail Building,3,Resolved,2025-02-07 01:41:24.552221,CRW0058,0.05703085,37.0
INC20250207014438,weather,Air Mail Building,3,Resolved,2025-02-07 01:44:38.926920,CRW0077,0.04767415,63.0
INC20250207014516,fire,ATC Tower,4,Resolved,2025-02-07 01:45:16.810719,CRW0006,0.0629647666666666,38.0
INC20250207014537,fire,ATC Tower,4,Resolved,2025-02-07 01:45:37.436831,CRW0070,0.3793809,25.0
INC20250207014550,water,ATC Tower,1,Resolved,2025-02-07 01:45:50.539010,CRW0060,0.1072199,237.0
INC20250207015236,fire,ATC Tower,4,Resolved,2025-02-07 01:52:36.465786,CRW0030,0.0453701833333333,39.0
INC20250207015409,fire,ATC Tower,4,Resolved,2025-02-07 01:54:09.805674,CRW0028,0.0719460166666666,34.0
INC20250207015703,fire,ATC Tower,4,Resolved,2025-02-07 01:57:03.946504,CRW0057,0.0722099,23.0
INC20250207015908,weather,ATC Tower,3,Resolved,2025-02-07 01:59:08.833656,CRW0059,0.2066899666666666,37.0
INC20250207020215,weather,ATC Tower,3,Resolved,2025-02-07 02:02:15.121980,CRW0001,0.05168543333333333,86.0
