Task_ID,Gate_number,Shift_no,Allocated
T-011,4,1,1.0
T-011,9,2,3.0
T-011,9,4,2.0
T-011,9,1,3.0
T-011,9,3,3.0
T-011,8,1,1.0
T-011,1,1,2.0
T-011,3,4,2.0
T-011,3,3,2.0
T-011,11,4,3.0
T-011,0,2,2.0
T-011,0,1,2.0
T-011,0,3,2.0
T-011,7,3,1.0
T-011,6,3,2.0
T-011,5,1,2.0
T-011,12,2,1.0
T-011,12,4,1.0
T-011,12,1,1.0
T-011,12,3,2.0
T-016,2,2,1.0
T-016,2,1,1.0
T-016,2,3,2.0
T-016,10,3,2.0
T-016,8,3,1.0
T-016,1,2,1.0
T-016,3,2,1.0
T-016,3,3,1.0
T-016,0,3,1.0
T-016,7,1,2.0
T-016,6,3,4.0
T-016,5,2,2.0
T-016,5,4,1.0
T-016,12,1,2.0
T-014,4,3,1.0
T-014,2,2,1.0
T-014,9,3,2.0
T-014,8,4,1.0
T-014,8,1,3.0
T-014,8,3,3.0
T-014,1,1,1.0
T-014,1,3,2.0
T-014,3,4,4.0
T-014,3,3,1.0
T-014,0,1,2.0
T-014,0,3,2.0
T-014,7,4,2.0
T-014,6,4,1.0
T-014,6,1,2.0
T-014,6,3,1.0
T-014,5,2,1.0
T-014,5,1,2.0
T-014,12,1,2.0
T-015,2,2,3.0
T-015,2,1,1.0
T-015,10,2,2.0
T-015,10,3,3.0
T-015,9,1,2.0
T-015,9,3,1.0
T-015,8,4,1.0
T-015,8,3,2.0
T-015,11,2,1.0
T-015,11,3,1.0
T-015,0,2,1.0
T-015,6,3,1.0
T-015,5,2,2.0
T-015,5,1,1.0
T-018,4,1,1.0
T-018,4,3,1.0
T-018,2,4,3.0
T-018,2,3,1.0
T-018,10,4,1.0
T-018,10,3,2.0
T-018,9,3,1.0
T-018,8,3,2.0
T-018,1,2,1.0
T-018,11,1,2.0
T-018,0,1,2.0
T-018,0,3,2.0
T-018,6,2,3.0
T-018,6,3,2.0
T-018,5,4,1.0
T-018,5,1,2.0
T-018,5,3,2.0
T-018,12,2,1.0
T-012,2,4,1.0
T-012,2,1,1.0
T-012,2,3,1.0
T-012,10,4,3.0
T-012,10,3,1.0
T-012,8,1,2.0
T-012,1,1,1.0
T-012,1,3,2.0
T-012,3,1,1.0
T-012,11,2,1.0
T-012,0,2,1.0
T-012,0,1,2.0
T-012,0,3,1.0
T-012,7,2,1.0
T-012,6,4,2.0
T-012,6,1,2.0
T-012,5,4,2.0
T-012,12,4,3.0
T-005,4,4,2.0
T-005,2,1,1.0
T-005,2,3,3.0
T-005,10,2,3.0
T-005,9,4,2.0
T-005,8,2,2.0
T-005,8,1,2.0
T-005,1,4,1.0
T-005,1,1,1.0
T-005,1,3,1.0
T-005,3,2,1.0
T-005,0,3,2.0
T-005,7,1,2.0
T-005,7,3,2.0
T-005,6,4,2.0
T-005,6,3,1.0
T-005,12,4,1.0
T-005,12,1,1.0
T-007,4,4,2.0
T-007,2,4,3.0
T-007,2,1,1.0
T-007,2,3,2.0
T-007,10,4,1.0
T-007,10,1,2.0
T-007,10,3,2.0
T-007,9,4,2.0
T-007,9,3,2.0
T-007,1,2,2.0
T-007,1,3,1.0
T-007,11,4,2.0
T-007,7,4,1.0
T-007,7,1,1.0
T-007,6,4,3.0
T-007,5,1,1.0
T-013,4,2,3.0
T-013,2,2,2.0
T-013,1,4,1.0
T-013,3,2,1.0
T-013,11,3,3.0
T-013,0,2,3.0
T-013,7,4,2.0
T-013,7,3,2.0
T-013,6,2,3.0
T-013,6,1,3.0
T-013,6,3,2.0
T-013,5,2,1.0
T-013,5,3,1.0
T-013,12,3,2.0
T-009,4,2,1.0
T-009,2,1,1.0
T-009,2,3,2.0
T-009,10,1,2.0
T-009,10,3,1.0
T-009,1,1,3.0
T-009,1,3,2.0
T-009,11,3,3.0
T-009,0,3,1.0
T-009,7,1,2.0
T-009,6,4,1.0
T-009,12,1,2.0
T-008,2,4,2.0
T-008,2,3,2.0
T-008,10,4,1.0
T-008,9,2,2.0
T-008,8,2,1.0
T-008,8,1,2.0
T-008,1,2,2.0
T-008,1,4,2.0
T-008,1,3,2.0
T-008,3,1,2.0
T-008,11,2,2.0
T-008,0,2,1.0
T-008,0,1,2.0
T-008,7,4,2.0
T-008,6,4,1.0
T-008,6,1,2.0
T-008,6,3,1.0
T-008,5,2,2.0
T-008,5,4,1.0
T-008,12,4,2.0
T-008,12,3,2.0
T-004,4,3,1.0
T-004,2,2,2.0
T-004,2,1,2.0
T-004,10,1,3.0
T-004,9,1,2.0
T-004,8,2,2.0
T-004,8,1,4.0
T-004,8,3,2.0
T-004,1,4,1.0
T-004,3,3,2.0
T-004,11,2,2.0
T-004,0,1,4.0
T-004,0,3,1.0
T-004,7,2,1.0
T-004,7,3,1.0
T-004,6,1,1.0
T-004,5,2,2.0
T-004,5,4,1.0
T-004,5,3,3.0
T-004,12,4,2.0
T-004,12,3,1.0
T-019,4,3,2.0
T-019,10,1,2.0
T-019,9,2,1.0
T-019,1,2,1.0
T-019,0,2,2.0
T-019,0,4,1.0
T-019,0,3,2.0
T-019,7,3,2.0
T-019,6,3,2.0
T-019,12,2,3.0
T-019,12,1,2.0
T-003,4,4,2.0
T-003,4,3,1.0
T-003,2,2,2.0
T-003,10,2,1.0
T-003,10,4,2.0
T-003,9,1,2.0
T-003,9,3,1.0
T-003,1,2,1.0
T-003,1,4,1.0
T-003,11,2,2.0
T-003,11,4,2.0
T-003,0,2,2.0
T-003,0,1,1.0
T-003,7,2,2.0
T-003,6,4,2.0
T-003,6,3,3.0
T-003,5,2,2.0
T-001,2,4,1.0
T-001,10,2,1.0
T-001,10,1,3.0
T-001,9,3,2.0
T-001,8,1,1.0
T-001,3,2,2.0
T-001,11,4,1.0
T-001,11,1,2.0
T-001,11,3,1.0
T-001,0,4,2.0
T-001,5,1,1.0
T-001,5,3,2.0
T-002,4,3,2.0
T-002,2,3,1.0
T-002,10,1,1.0
T-002,8,2,1.0
T-002,8,4,2.0
T-002,1,2,1.0
T-002,1,1,4.0
T-002,3,4,3.0
T-002,11,2,2.0
T-002,11,1,2.0
T-002,0,1,3.0
T-002,7,3,2.0
T-002,6,4,1.0
T-002,12,2,2.0
T-002,12,1,1.0
T-017,10,4,3.0
T-017,10,1,2.0
T-017,9,3,2.0
T-017,1,1,1.0
T-017,3,4,2.0
T-017,3,1,2.0
T-017,11,1,1.0
T-017,11,3,3.0
T-017,7,3,1.0
T-017,6,2,1.0
T-017,6,4,3.0
T-017,6,1,1.0
T-017,6,3,2.0
T-017,5,4,1.0
T-017,12,4,2.0
T-006,4,1,2.0
T-006,2,2,3.0
T-006,10,1,1.0
T-006,9,2,2.0
T-006,1,1,1.0
T-006,3,4,1.0
T-006,11,2,2.0
T-006,11,1,3.0
T-006,0,2,2.0
T-006,0,4,2.0
T-006,5,2,2.0
T-006,12,2,1.0
T-006,12,4,1.0
T-006,12,1,2.0
T-010,2,4,1.0
T-010,2,1,2.0
T-010,9,2,2.0
T-010,8,2,2.0
T-010,8,4,1.0
T-010,8,3,2.0
T-010,1,2,1.0
T-010,1,4,2.0
T-010,1,1,2.0
T-010,3,3,2.0
T-010,11,1,2.0
T-010,11,3,1.0
T-010,7,2,1.0
T-010,5,2,2.0
T-010,5,4,1.0
T-010,12,1,2.0
T-010,12,3,2.0
