ds,yhat,task_ID,shift_no
2023-01-08,1.2049928634198976,T-001,1
2023-01-12,1.4511705237962929,T-001,1
2023-01-16,1.0953057246591893,T-001,1
2023-01-18,1.6262324375208936,T-001,1
2023-02-03,1.568218569473544,T-001,1
2023-02-07,1.1460086573963988,T-001,1
2023-02-26,1.2688303522307178,T-001,1
2023-02-28,1.1733675819479266,T-001,1
2023-03-18,1.340668689669582,T-001,1
2023-03-19,1.2961892767408594,T-001,1
2023-03-22,1.7083092095880485,T-001,1
2023-03-30,1.5514865783356775,T-001,1
2023-04-06,1.5606062197143153,T-001,1
2023-04-14,1.6594149842613402,T-001,1
2023-04-16,1.3326678424700744,T-001,1
2023-04-27,1.5879651443131295,T-001,1
2023-05-13,1.4136258216722006,T-001,1
2023-05-14,1.3691464085732035,T-001,1
2023-05-26,1.714132831331295,T-001,1
2023-05-28,1.3873975308334048,T-001,1
2023-06-09,1.732455002667857,T-001,1
2023-06-19,1.2960799281485893,T-001,1
2023-06-20,1.3194298587738422,T-001,1
2023-06-25,1.4240418747181234,T-001,1
2023-07-04,1.3377692566849082,T-001,1
2023-07-10,1.323591897000183,T-001,1
2023-07-22,1.5052113902289521,T-001,1
2023-07-31,1.3511153519127181,T-001,1
2023-08-04,1.8058202548245086,T-001,1
2023-08-05,1.5235603608358042,T-001,1
2023-08-08,1.383645251205832,T-001,1
2023-08-22,1.4020108773894773,T-001,1
2023-09-14,1.7712177962758295,T-001,1
2023-09-16,1.5786572394874694,T-001,1
2023-09-24,1.5433696640542718,T-001,1
2023-09-29,1.879281569852091,T-001,1
2023-10-12,1.8079490490071055,T-001,1
2023-10-16,1.4521203485864291,T-001,1
2023-10-21,1.6245713061661111,T-001,1
2023-10-30,1.4704859767336118,T-001,1
2023-11-01,2.001430739074973,T-001,1
2023-11-09,1.8446803053627459,T-001,1
2023-11-13,1.4888516051880811,T-001,1
2023-11-27,1.5072172336418281,T-001,1
2023-12-22,1.9894753384056807,T-001,1
2023-12-24,1.662746245955919,T-001,1
2023-12-25,1.5439484905490533,T-001,1
2023-12-27,2.074893252890901,T-001,1
2023-12-28,1.9089600049520743,T-001,1
2023-12-29,1.998658152632097,T-001,1
2023-12-30,1.7163994484370249,T-001,1
2023-12-31,1.6719290601835362,T-001,1
2024-01-01,1.5531313047762876,T-001,1
2024-01-02,1.576484339244649,T-001,1
2024-01-03,2.0840760671178824,T-001,1
2024-01-04,1.9181428191790888,T-001,1
2024-01-05,2.0078409668590873,T-001,1
2024-01-06,1.7255822626634512,T-001,1
2024-01-07,1.681111874410269,T-001,1
2024-01-08,1.5623141190036565,T-001,1
2024-01-09,1.5856671534717797,T-001,1
2024-01-10,2.093258881345528,T-001,1
2024-01-11,1.927325633406042,T-001,1
2024-01-12,2.017023781086389,T-001,1
2024-01-13,1.7347650768909944,T-001,1
2024-01-14,1.6902946886378862,T-001,1
2024-01-15,1.5714969332308912,T-001,1
2024-01-16,1.5948499676989103,T-001,1
2024-01-17,2.1024416955725096,T-001,1
2024-01-18,1.9365084476330567,T-001,1
2024-01-19,2.0262065953136905,T-001,1
2024-01-20,1.743947891118157,T-001,1
2024-01-21,1.699477502863735,T-001,1
2024-01-22,1.5806797474581258,T-001,1
2024-01-23,1.6040327819267004,T-001,1
2024-01-24,2.1116245097988644,T-001,1
2024-01-25,1.9456912618600097,T-001,1
2024-01-26,2.0353894095405494,T-001,1
2023-01-08,1.5518039678608462,T-001,2
2023-01-12,1.4968757004250604,T-001,2
2023-01-16,1.3051657674462243,T-001,2
2023-01-18,1.5431746428905715,T-001,2
2023-02-03,1.353274914354708,T-001,2
2023-02-07,1.56627991841533,T-001,2
2023-02-26,1.5453121110978174,T-001,2
2023-02-28,1.5634977010408062,T-001,2
2023-03-18,1.515829506510586,T-001,2
