Task_ID,Gate_number,Shift_no,Allocated
T-004,39,3,3.0
T-004,35,3,1.0
T-004,35,1,2.0
T-004,35,2,3.0
T-004,31,3,2.0
T-004,31,1,2.0
T-004,40,3,2.0
T-004,28,3,2.0
T-004,28,2,1.0
T-004,30,3,2.0
T-004,30,1,1.0
T-004,23,1,1.0
T-004,14,3,3.0
T-004,36,3,2.0
T-004,36,2,2.0
T-004,22,4,1.0
T-004,16,2,1.0
T-004,29,2,1.0
T-004,43,4,2.0
T-004,43,2,1.0
T-004,1,3,2.0
T-004,38,4,4.0
T-004,38,1,2.0
T-004,42,4,1.0
T-004,15,4,4.0
T-004,32,3,1.0
T-004,24,4,2.0
T-004,24,2,1.0
T-004,21,1,2.0
T-004,19,3,2.0
T-004,19,2,1.0
T-004,0,1,2.0
T-004,33,2,4.0
T-004,2,4,2.0
T-004,41,3,1.0
T-004,41,4,2.0
T-004,20,3,1.0
T-001,17,4,1.0
T-001,17,2,1.0
T-001,37,4,3.0
T-001,35,2,1.0
T-001,31,3,2.0
T-001,31,1,2.0
T-001,28,4,2.0
T-001,28,1,1.0
T-001,28,2,3.0
T-001,30,3,2.0
T-001,30,4,3.0
T-001,30,1,2.0
T-001,23,4,1.0
T-001,23,2,1.0
T-001,14,3,3.0
T-001,29,3,2.0
T-001,43,3,2.0
T-001,43,1,1.0
T-001,1,1,1.0
T-001,13,1,2.0
T-001,42,1,3.0
T-001,42,2,3.0
T-001,15,4,2.0
T-001,24,3,2.0
T-001,24,2,1.0
T-001,19,1,1.0
T-001,25,1,1.0
T-001,25,2,2.0
T-001,0,4,1.0
T-001,33,2,1.0
T-001,2,1,4.0
T-001,41,3,2.0
T-001,41,4,1.0
T-001,41,1,1.0
T-010,17,2,1.0
T-010,39,2,2.0
T-010,35,3,1.0
T-010,35,4,1.0
T-010,35,2,1.0
T-010,40,4,1.0
T-010,28,1,2.0
T-010,30,4,2.0
T-010,30,1,2.0
T-010,14,1,1.0
T-010,14,2,4.0
T-010,16,4,3.0
T-010,16,1,2.0
T-010,16,2,1.0
T-010,43,4,2.0
T-010,43,1,3.0
T-010,1,3,1.0
T-010,1,1,2.0
T-010,38,4,2.0
T-010,42,4,2.0
T-010,42,1,1.0
T-010,15,4,2.0
T-010,15,2,1.0
T-010,21,3,1.0
T-010,21,4,1.0
T-010,19,3,1.0
T-010,19,4,1.0
T-010,19,1,3.0
T-010,12,3,1.0
T-010,25,4,1.0
T-010,25,1,2.0
T-010,25,2,2.0
T-010,0,3,1.0
T-010,0,1,2.0
T-010,0,2,1.0
T-010,18,3,1.0
T-010,2,3,1.0
T-010,2,4,1.0
T-010,41,3,2.0
T-010,20,2,2.0
T-019,39,4,2.0
T-019,39,1,1.0
T-019,37,4,2.0
T-019,35,3,1.0
T-019,35,2,3.0
T-019,31,1,4.0
T-019,31,2,1.0
T-019,40,3,2.0
T-019,28,3,3.0
T-019,30,3,2.0
T-019,30,4,1.0
T-019,14,3,3.0
T-019,36,2,1.0
T-019,22,1,2.0
T-019,16,4,1.0
T-019,16,2,1.0
T-019,29,2,1.0
T-019,43,3,2.0
T-019,1,4,3.0
T-019,1,1,3.0
T-019,1,2,2.0
T-019,13,4,1.0
T-019,13,1,3.0
T-019,38,1,2.0
T-019,42,3,1.0
T-019,32,4,2.0
T-019,24,3,2.0
T-019,24,2,1.0
T-019,19,3,2.0
T-019,19,2,2.0
T-019,12,4,1.0
T-019,12,1,3.0
T-019,25,3,2.0
T-019,0,3,1.0
T-019,0,1,1.0
T-019,0,2,2.0
T-019,33,1,3.0
T-019,33,2,3.0
T-019,34,1,3.0
T-019,2,4,1.0
T-019,2,2,3.0
T-019,20,1,2.0
T-018,17,3,3.0
T-018,39,4,1.0
T-018,39,1,4.0
T-018,39,2,1.0
T-018,35,4,1.0
T-018,31,3,2.0
T-018,31,4,2.0
T-018,28,3,1.0
T-018,28,4,2.0
T-018,28,1,2.0
T-018,28,2,1.0
T-018,30,4,3.0
T-018,23,4,2.0
T-018,14,1,1.0
T-018,22,1,2.0
T-018,29,4,2.0
T-018,29,2,1.0
T-018,43,4,2.0
T-018,43,1,3.0
T-018,42,4,1.0
T-018,42,2,1.0
T-018,15,4,2.0
T-018,15,2,2.0
T-018,32,4,2.0
T-018,24,1,1.0
T-018,21,4,2.0
T-018,25,2,2.0
T-018,0,3,3.0
T-018,33,4,4.0
T-018,33,1,2.0
T-018,33,2,1.0
T-018,18,2,1.0
T-018,34,3,3.0
T-018,41,2,1.0
T-018,20,3,2.0
T-018,20,4,1.0
T-018,20,1,2.0
T-018,20,2,4.0
T-006,39,4,2.0
T-006,37,3,2.0
T-006,37,1,2.0
T-006,40,3,2.0
T-006,40,4,1.0
T-006,40,1,4.0
T-006,23,3,2.0
T-006,36,3,2.0
T-006,16,1,2.0
T-006,29,3,3.0
T-006,29,2,2.0
T-006,38,1,3.0
T-006,38,2,3.0
T-006,42,2,2.0
T-006,15,3,2.0
T-006,15,1,2.0
T-006,24,3,2.0
T-006,24,2,2.0
T-006,21,1,1.0
T-006,19,3,1.0
T-006,19,4,1.0
T-006,0,1,2.0
T-006,33,1,1.0
T-006,33,2,2.0
T-006,18,3,2.0
T-006,18,4,1.0
T-006,34,1,1.0
T-006,2,4,1.0
T-006,2,1,1.0
T-006,2,2,1.0
T-006,41,3,1.0
T-006,41,4,2.0
T-006,20,4,1.0
T-017,17,1,3.0
T-017,39,3,3.0
T-017,39,2,1.0
T-017,35,3,2.0
T-017,35,4,3.0
T-017,31,3,1.0
T-017,30,1,2.0
T-017,23,2,1.0
T-017,14,3,2.0
T-017,14,1,2.0
T-017,14,2,1.0
T-017,36,3,1.0
T-017,36,1,3.0
T-017,16,4,2.0
T-017,29,4,2.0
T-017,43,3,3.0
T-017,43,1,2.0
T-017,13,4,1.0
T-017,15,3,2.0
T-017,32,1,3.0
T-017,32,2,3.0
T-017,24,1,2.0
T-017,24,2,3.0
T-017,19,3,1.0
T-017,25,1,3.0
T-017,18,4,3.0
T-017,34,4,1.0
T-017,41,4,1.0
T-002,17,2,1.0
T-002,39,1,3.0
T-002,37,1,1.0
T-002,35,2,3.0
T-002,40,1,1.0
T-002,40,2,1.0
T-002,28,3,1.0
T-002,28,2,1.0
T-002,30,3,2.0
T-002,30,4,1.0
T-002,30,1,2.0
T-002,23,1,1.0
T-002,14,3,1.0
T-002,14,2,1.0
T-002,36,4,1.0
T-002,16,3,2.0
T-002,16,4,1.0
T-002,43,2,1.0
T-002,1,4,2.0
T-002,1,2,2.0
T-002,13,4,2.0
T-002,38,3,3.0
T-002,38,1,1.0
T-002,42,4,1.0
T-002,15,1,3.0
T-002,32,4,2.0
T-002,32,1,1.0
T-002,24,4,1.0
T-002,24,1,1.0
T-002,21,4,2.0
T-002,0,4,2.0
T-002,33,3,2.0
T-002,33,1,2.0
T-002,33,2,2.0
T-002,18,4,1.0
T-002,18,1,2.0
T-002,34,3,1.0
T-002,34,2,4.0
T-002,2,4,2.0
T-002,2,1,1.0
T-002,2,2,3.0
T-002,41,2,2.0
T-002,20,1,1.0
T-002,20,2,2.0
T-011,17,2,3.0
T-011,39,3,2.0
T-011,39,1,1.0
T-011,35,3,1.0
T-011,35,2,2.0
T-011,31,1,1.0
T-011,40,4,3.0
T-011,28,3,1.0
T-011,28,1,1.0
T-011,28,2,1.0
T-011,23,2,2.0
T-011,14,4,1.0
T-011,14,1,2.0
T-011,36,4,1.0
T-011,22,1,2.0
T-011,16,3,2.0
T-011,29,3,2.0
T-011,43,1,3.0
T-011,1,3,2.0
T-011,13,3,1.0
T-011,38,3,1.0
T-011,38,2,2.0
T-011,42,3,2.0
T-011,15,4,1.0
T-011,15,1,1.0
T-011,32,3,2.0
T-011,32,4,1.0
T-011,32,1,2.0
T-011,32,2,1.0
T-011,24,1,1.0
T-011,24,2,4.0
T-011,21,1,1.0
T-011,25,3,3.0
T-011,25,2,2.0
T-011,0,4,3.0
T-011,0,1,2.0
T-011,33,2,4.0
T-011,2,1,1.0
T-011,41,2,1.0
T-008,17,2,2.0
T-008,37,1,3.0
T-008,31,1,1.0
T-008,40,2,3.0
T-008,28,2,2.0
T-008,23,2,2.0
T-008,36,2,2.0
T-008,22,1,1.0
T-008,16,3,3.0
T-008,16,4,2.0
T-008,43,3,3.0
T-008,43,1,2.0
T-008,13,3,2.0
T-008,13,4,1.0
T-008,38,3,1.0
T-008,38,4,2.0
T-008,42,4,2.0
T-008,15,4,1.0
T-008,15,1,1.0
T-008,32,2,1.0
T-008,24,1,1.0
T-008,24,2,1.0
T-008,21,4,1.0
T-008,19,3,3.0
T-008,19,4,2.0
T-008,12,3,3.0
T-008,25,4,1.0
T-008,25,2,1.0
T-008,0,3,1.0
T-008,33,2,3.0
T-008,18,3,1.0
T-008,18,4,2.0
T-008,34,4,1.0
T-008,2,1,4.0
T-008,41,4,1.0
T-008,41,2,4.0
T-008,20,1,4.0
T-016,39,4,1.0
T-016,37,4,3.0
T-016,35,1,2.0
T-016,35,2,2.0
T-016,31,2,1.0
T-016,40,4,1.0
T-016,40,2,2.0
T-016,28,2,3.0
T-016,30,2,1.0
T-016,14,2,3.0
T-016,22,1,1.0
T-016,22,2,1.0
T-016,29,4,3.0
T-016,43,4,2.0
T-016,43,2,3.0
T-016,1,3,2.0
T-016,38,3,2.0
T-016,42,3,1.0
T-016,42,4,1.0
T-016,15,4,2.0
T-016,15,1,3.0
T-016,15,2,1.0
T-016,32,2,2.0
T-016,24,1,1.0
