task_ID,Gate_number,Floor_No,shift_no,date,Number_of_Personnel,crew_demand
T-001,0,0,1,2023-01-15,48,-1
T-001,0,0,1,2023-01-08,48,1
T-001,0,0,1,2023-01-06,48,1
T-001,0,0,1,2023-01-16,48,0
T-001,0,0,1,2023-02-18,48,-1
T-001,0,0,1,2023-02-19,48,-2
T-001,0,0,1,2023-02-25,48,-2
T-001,0,0,1,2023-02-15,48,0
T-001,0,0,1,2023-03-19,48,0
T-001,0,0,1,2023-03-14,48,1
T-001,0,0,1,2023-03-30,48,2
T-001,0,0,1,2023-03-24,48,2
T-001,0,0,1,2023-04-18,48,0
T-001,0,0,1,2023-04-01,48,-2
T-001,0,0,1,2023-04-09,48,-2
T-001,0,0,1,2023-04-24,48,0
T-001,0,0,1,2023-05-26,48,-1
T-001,0,0,1,2023-05-27,48,1
T-001,0,0,1,2023-05-19,48,3
T-001,0,0,1,2023-05-29,48,1
T-001,0,0,1,2023-06-19,48,0
T-001,0,0,1,2023-06-12,48,-1
T-001,0,0,1,2023-06-27,48,-2
T-001,0,0,1,2023-06-09,48,-2
T-001,0,0,1,2023-07-02,48,1
T-001,0,0,1,2023-07-01,48,0
T-001,0,0,1,2023-07-12,48,2
T-001,0,0,1,2023-07-17,48,0
T-001,0,0,1,2023-08-18,48,1
T-001,0,0,1,2023-08-04,48,-2
T-001,0,0,1,2023-08-05,48,-2
T-001,0,0,1,2023-08-06,48,0
T-001,0,0,1,2023-09-15,48,1
T-001,0,0,1,2023-09-21,48,2
T-001,0,0,1,2023-09-26,48,1
T-001,0,0,1,2023-09-11,48,0
T-001,0,0,1,2023-10-06,48,1
T-001,0,0,1,2023-10-11,48,0
T-001,0,0,1,2023-10-05,48,-2
T-001,0,0,1,2023-10-02,48,0
T-001,0,0,1,2023-11-12,48,-1
T-001,0,0,1,2023-11-02,48,1
T-001,0,0,1,2023-11-16,48,3
T-001,0,0,1,2023-11-26,48,0
T-001,0,0,1,2023-12-07,48,0
T-001,0,0,1,2023-12-08,48,0
T-001,0,0,1,2023-12-12,48,-2
T-001,0,0,1,2023-12-16,48,-2
T-001,0,0,2,2023-01-15,48,1
T-001,0,0,2,2023-01-08,48,0
T-001,0,0,2,2023-01-06,48,3
T-001,0,0,2,2023-01-16,48,2
T-001,0,0,2,2023-02-18,48,0
T-001,0,0,2,2023-02-19,48,0
T-001,0,0,2,2023-02-25,48,-2
T-001,0,0,2,2023-02-15,48,-1
T-001,0,0,2,2023-03-19,48,0
T-001,0,0,2,2023-03-14,48,1
T-001,0,0,2,2023-03-30,48,2
T-001,0,0,2,2023-03-24,48,2
T-001,0,0,2,2023-04-18,48,1
T-001,0,0,2,2023-04-01,48,0
T-001,0,0,2,2023-04-09,48,-2
T-001,0,0,2,2023-04-24,48,-1
T-001,0,0,2,2023-05-26,48,1
T-001,0,0,2,2023-05-27,48,0
T-001,0,0,2,2023-05-19,48,3
T-001,0,0,2,2023-05-29,48,1
T-001,0,0,2,2023-06-19,48,-1
T-001,0,0,2,2023-06-12,48,-2
T-001,0,0,2,2023-06-27,48,-2
T-001,0,0,2,2023-06-09,48,-1
T-001,0,0,2,2023-07-02,48,0
T-001,0,0,2,2023-07-01,48,1
T-001,0,0,2,2023-07-12,48,2
T-001,0,0,2,2023-07-17,48,2
T-001,0,0,2,2023-08-18,48,1
T-001,0,0,2,2023-08-04,48,0
T-001,0,0,2,2023-08-05,48,-1
T-001,0,0,2,2023-08-06,48,-2
T-001,0,0,2,2023-09-15,48,0
T-001,0,0,2,2023-09-21,48,0
T-001,0,0,2,2023-09-26,48,3
T-001,0,0,2,2023-09-11,48,0
T-001,0,0,2,2023-10-06,48,-1
T-001,0,0,2,2023-10-11,48,0
T-001,0,0,2,2023-10-05,48,-2
T-001,0,0,2,2023-10-02,48,-2
T-001,0,0,2,2023-11-12,48,1
T-001,0,0,2,2023-11-02,48,1
T-001,0,0,2,2023-11-16,48,3
T-001,0,0,2,2023-11-26,48,0
T-001,0,0,2,2023-12-07,48,0
T-001,0,0,2,2023-12-08,48,-2
T-001,0,0,2,2023-12-12,48,-2
T-001,0,0,2,2023-12-16,48,0
T-001,0,0,3,2023-01-15,48,1
T-001,0,0,3,2023-01-08,48,2
T-001,0,0,3,2023-01-06,48,2
T-001,0,0,3,2023-01-16,48,1
T-001,0,0,3,2023-02-18,48,-1
T-001,0,0,3,2023-02-19,48,-2
T-001,0,0,3,2023-02-25,48,-1
T-001,0,0,3,2023-02-15,48,-2
T-001,0,0,3,2023-03-19,48,1
T-001,0,0,3,2023-03-14,48,1
T-001,0,0,3,2023-03-30,48,2
T-001,0,0,3,2023-03-24,48,0
T-001,0,0,3,2023-04-18,48,0
T-001,0,0,3,2023-04-01,48,-2
T-001,0,0,3,2023-04-09,48,-2
T-001,0,0,3,2023-04-24,48,-1
T-001,0,0,3,2023-05-26,48,0
T-001,0,0,3,2023-05-27,48,2
T-001,0,0,3,2023-05-19,48,1
T-001,0,0,3,2023-05-29,48,1
T-001,0,0,3,2023-06-19,48,1
T-001,0,0,3,2023-06-12,48,-2
T-001,0,0,3,2023-06-27,48,-1
T-001,0,0,3,2023-06-09,48,0
T-001,0,0,3,2023-07-02,48,0
T-001,0,0,3,2023-07-01,48,0
T-001,0,0,3,2023-07-12,48,1
T-001,0,0,3,2023-07-17,48,0
T-001,0,0,3,2023-08-18,48,1
T-001,0,0,3,2023-08-04,48,-2
T-001,0,0,3,2023-08-05,48,-2
T-001,0,0,3,2023-08-06,48,-1
T-001,0,0,3,2023-09-15,48,1
T-001,0,0,3,2023-09-21,48,0
T-001,0,0,3,2023-09-26,48,1
T-001,0,0,3,2023-09-11,48,0
T-001,0,0,3,2023-10-06,48,-1
T-001,0,0,3,2023-10-11,48,-1
T-001,0,0,3,2023-10-05,48,-2
T-001,0,0,3,2023-10-02,48,0
T-001,0,0,3,2023-11-12,48,-1
T-001,0,0,3,2023-11-02,48,1
T-001,0,0,3,2023-11-16,48,3
T-001,0,0,3,2023-11-26,48,2
T-001,0,0,3,2023-12-07,48,-1
T-001,0,0,3,2023-12-08,48,-2
T-001,0,0,3,2023-12-12,48,-2
T-001,0,0,3,2023-12-16,48,-1
T-001,0,0,4,2023-01-15,48,0
T-001,0,0,4,2023-01-08,48,0
T-001,0,0,4,2023-01-06,48,2
T-001,0,0,4,2023-01-16,48,2
T-001,0,0,4,2023-02-18,48,0
T-001,0,0,4,2023-02-19,48,-2
T-001,0,0,4,2023-02-25,48,-2
T-001,0,0,4,2023-02-15,48,0
T-001,0,0,4,2023-03-19,48,-1
T-001,0,0,4,2023-03-14,48,2
T-001,0,0,4,2023-03-30,48,2
T-001,0,0,4,2023-03-24,48,0
T-001,0,0,4,2023-04-18,48,0
T-001,0,0,4,2023-04-01,48,-2
T-001,0,0,4,2023-04-09,48,-2
T-001,0,0,4,2023-04-24,48,0
T-001,0,0,4,2023-05-26,48,0
T-001,0,0,4,2023-05-27,48,1
T-001,0,0,4,2023-05-19,48,3
T-001,0,0,4,2023-05-29,48,1
T-001,0,0,4,2023-06-19,48,1
T-001,0,0,4,2023-06-12,48,-2
T-001,0,0,4,2023-06-27,48,-1
T-001,0,0,4,2023-06-09,48,-2
T-001,0,0,4,2023-07-02,48,1
T-001,0,0,4,2023-07-01,48,1
T-001,0,0,4,2023-07-12,48,1
T-001,0,0,4,2023-07-17,48,0
T-001,0,0,4,2023-08-18,48,0
T-001,0,0,4,2023-08-04,48,0
T-001,0,0,4,2023-08-05,48,-2
T-001,0,0,4,2023-08-06,48,-2
T-001,0,0,4,2023-09-15,48,0
T-001,0,0,4,2023-09-21,48,1
T-001,0,0,4,2023-09-26,48,1
